number,value,datetime_start,datetime_complete,duration,params_constant_value,params_kernel_type,params_length_scale,params_noise_level,params_nu,system_attrs_auto:sampler,state
29,0.9228200911396667,2025-04-24 20:59:11.329993,2025-04-24 20:59:13.619240,0 days 00:00:02.289247,0.6677612358682563,Matern,678.798134035412,0.01908233444609122,2.5,TPESampler,COMPLETE
30,0.33018886547065407,2025-04-24 20:59:11.486303,2025-04-24 20:59:13.326207,0 days 00:00:01.839904,0.8278270881327053,Matern,0.38813002888645753,0.1649784938928555,0.5,TPESampler,COMPLETE
31,0.9228200973383208,2025-04-24 20:59:11.562464,2025-04-24 20:59:13.098396,0 days 00:00:01.535932,105.31268478726405,Matern,227.42503089831308,0.005213749557743742,1.5,TPESampler,COMPLETE
32,0.28870764555055484,2025-04-24 20:59:13.286113,2025-04-24 20:59:15.240586,0 days 00:00:01.954473,54.575378599275886,Matern,106.50790546531603,0.8106764241847764,2.5,TPESampler,COMPLETE
33,0.9494322793340724,2025-04-24 20:59:13.524198,2025-04-24 20:59:15.262257,0 days 00:00:01.738059,0.12901384006767086,Matern,49898.22826603421,0.05840556622308653,1.5,TPESampler,COMPLETE
34,0.3301888262850756,2025-04-24 20:59:13.850106,2025-04-24 20:59:15.938764,0 days 00:00:02.088658,8.257797346064785e-07,Matern,1.678052857335696,6.180074939528114e-07,0.5,TPESampler,COMPLETE
35,0.2887076688123893,2025-04-24 20:59:15.373572,2025-04-24 20:59:17.280823,0 days 00:00:01.907251,12084.85202015303,Matern,75.09815931600292,0.17624407159904362,2.5,TPESampler,COMPLETE
36,0.2887076448625027,2025-04-24 20:59:15.423566,2025-04-24 20:59:17.265166,0 days 00:00:01.841600,12.653982385463564,Matern,48.42904381889352,0.41890528975751257,2.5,TPESampler,COMPLETE
37,0.94943227932114,2025-04-24 20:59:16.140119,2025-04-24 20:59:17.874159,0 days 00:00:01.734040,9.95148845009298,RBF,22668.82611902012,0.46034552435363474,2.5,TPESampler,COMPLETE
38,0.28870765563325246,2025-04-24 20:59:17.418154,2025-04-24 20:59:19.330176,0 days 00:00:01.912022,6296.799859121375,Matern,19.151995494101094,0.13578139854577004,2.5,TPESampler,COMPLETE
39,0.3301888550670306,2025-04-24 20:59:17.470206,2025-04-24 20:59:19.155814,0 days 00:00:01.685608,34986.3409665721,Matern,4.665967817366594,0.7781781903980572,0.5,TPESampler,COMPLETE
40,0.2887076609132307,2025-04-24 20:59:18.091555,2025-04-24 20:59:20.823181,0 days 00:00:02.731626,28257.52934753347,Matern,27083.851192594535,0.7525758560177483,2.5,TPESampler,COMPLETE
41,0.9228200934302407,2025-04-24 20:59:19.332333,2025-04-24 20:59:21.168846,0 days 00:00:01.836513,0.2950661437103205,Matern,52.28794209541295,6.340389283252382e-09,2.5,TPESampler,COMPLETE
42,0.9228200911054905,2025-04-24 20:59:19.505030,2025-04-24 20:59:21.755230,0 days 00:00:02.250200,5.4968240082823e-07,Matern,0.04562551104100888,1.9140900855280822e-08,1.5,TPESampler,COMPLETE
43,0.28870765167618534,2025-04-24 20:59:21.026394,2025-04-24 20:59:24.147884,0 days 00:00:03.121490,1896.3335707014255,Matern,30470.121332036542,0.06935979446661415,2.5,TPESampler,COMPLETE
44,0.9228200883686833,2025-04-24 20:59:21.353952,2025-04-24 20:59:22.817882,0 days 00:00:01.463930,9.08942244585399,Matern,0.044645577007909734,0.004076769061554162,2.5,TPESampler,COMPLETE
45,0.2887076508493964,2025-04-24 20:59:22.005336,2025-04-24 20:59:24.310391,0 days 00:00:02.305055,1687.5307706597455,Matern,40.078260165627306,0.0008940200280198472,2.5,TPESampler,COMPLETE
46,0.28870764607653554,2025-04-24 20:59:23.009851,2025-04-24 20:59:25.402918,0 days 00:00:02.393067,93279.60429583694,Matern,3874.162153500707,0.5646489008887333,2.5,TPESampler,COMPLETE
47,0.922820087576561,2025-04-24 20:59:24.317588,2025-04-24 20:59:26.829627,0 days 00:00:02.512039,276.5207041240516,Matern,47049.98186590792,8.942929739700314e-05,2.5,TPESampler,COMPLETE
48,0.9228200916024294,2025-04-24 20:59:24.505462,2025-04-24 20:59:26.137020,0 days 00:00:01.631558,25650.752188075796,Matern,442.06935662669713,9.61031970782818e-06,2.5,TPESampler,COMPLETE
49,0.9228200925307097,2025-04-24 20:59:25.597149,2025-04-24 20:59:27.849032,0 days 00:00:02.251883,2.282848568296849e-06,Matern,5.24008890295141,3.367428320286398e-07,2.5,TPESampler,COMPLETE
50,0.9494317804801571,2025-04-24 20:59:26.343687,2025-04-24 20:59:27.506926,0 days 00:00:01.163239,4813.6808000763895,Matern,2.4661932681642554e-05,8.318643462729796e-07,1.5,TPESampler,COMPLETE
51,0.9494317804789857,2025-04-24 20:59:27.036339,2025-04-24 20:59:28.466779,0 days 00:00:01.430440,56755.845892690864,Matern,0.07995788097699491,0.0005039020071707286,1.5,TPESampler,COMPLETE
52,0.9228200922440012,2025-04-24 20:59:27.715404,2025-04-24 20:59:29.943020,0 days 00:00:02.227616,0.00015452172789776105,Matern,0.02687438921194574,1.5407285196314244e-09,2.5,TPESampler,COMPLETE
53,0.28679729481843547,2025-04-24 20:59:28.042500,2025-04-24 20:59:30.650979,0 days 00:00:02.608479,1036.3165209846222,Matern,4536.365903224702,0.5298208055550239,1.5,TPESampler,COMPLETE
54,0.3301889012187866,2025-04-24 20:59:28.773191,2025-04-24 20:59:30.649229,0 days 00:00:01.876038,45.19795287025518,Matern,931.0513156029424,0.13369692446728554,0.5,TPESampler,COMPLETE
55,0.9494322793332899,2025-04-24 20:59:30.141022,2025-04-24 20:59:32.220462,0 days 00:00:02.079440,63.833225006393995,Matern,53009.624620349445,0.2645107370611494,2.5,TPESampler,COMPLETE
56,0.2867972495431929,2025-04-24 20:59:30.784333,2025-04-24 20:59:33.028189,0 days 00:00:02.243856,4539.91552443172,Matern,775.1021635681276,0.9090864538109054,1.5,TPESampler,COMPLETE
57,0.2867972598539084,2025-04-24 20:59:30.833870,2025-04-24 20:59:32.993405,0 days 00:00:02.159535,2685.4190392814567,Matern,1689.3228382839438,0.04104576059924057,1.5,TPESampler,COMPLETE
58,0.28679722821574544,2025-04-24 20:59:32.435715,2025-04-24 20:59:34.638777,0 days 00:00:02.203062,0.00026563061112446835,Matern,2.9157478303582764,0.1881701346233408,1.5,TPESampler,COMPLETE
59,0.30268458550465793,2025-04-24 20:59:33.143737,2025-04-24 20:59:35.403528,0 days 00:00:02.259791,1355.7077846052862,RBF,87.46134928123233,0.32478623348774943,1.5,TPESampler,COMPLETE
60,0.2867972420568085,2025-04-24 20:59:33.196531,2025-04-24 20:59:35.638811,0 days 00:00:02.442280,28813.453804650864,Matern,26991.241955829235,0.20231276874319806,1.5,TPESampler,COMPLETE
61,0.28679723745504715,2025-04-24 20:59:34.856629,2025-04-24 20:59:37.126888,0 days 00:00:02.270259,2.6878771144847653e-06,Matern,0.44364026963518166,0.009477995195731939,1.5,TPESampler,COMPLETE
62,0.28679726149935314,2025-04-24 20:59:35.601168,2025-04-24 20:59:38.128666,0 days 00:00:02.527498,1949.2612173617822,Matern,43790.53853218437,0.09284791144532348,1.5,TPESampler,COMPLETE
63,0.28679726042007114,2025-04-24 20:59:35.791076,2025-04-24 20:59:39.169651,0 days 00:00:03.378575,0.0007065331298276092,Matern,95.02246793879416,0.7602789704160521,1.5,TPESampler,COMPLETE
64,0.9228200925326637,2025-04-24 20:59:37.330139,2025-04-24 20:59:40.235846,0 days 00:00:02.905707,2.470065038787257e-07,Matern,6.167110358261558,0.0005365915433525827,1.5,TPESampler,COMPLETE
65,0.2867972288824527,2025-04-24 20:59:38.383388,2025-04-24 20:59:40.745808,0 days 00:00:02.362420,2842.1044817769357,Matern,9381.913619814566,0.05302331340146685,1.5,TPESampler,COMPLETE
66,0.28679725304013803,2025-04-24 20:59:39.372945,2025-04-24 20:59:42.169042,0 days 00:00:02.796097,7.285593673718457e-05,Matern,4.496447758378657,0.33546066738937563,1.5,TPESampler,COMPLETE
67,0.9228200931665801,2025-04-24 20:59:40.435407,2025-04-24 20:59:42.334598,0 days 00:00:01.899191,0.03270127499178197,Matern,0.005268276065868357,0.06198269526519369,1.5,TPESampler,COMPLETE
68,0.28679725904148556,2025-04-24 20:59:40.916043,2025-04-24 20:59:42.978281,0 days 00:00:02.062238,4968.991131774289,Matern,9.446199935882154,0.32780382940874153,1.5,TPESampler,COMPLETE
69,0.9228200926588578,2025-04-24 20:59:42.354530,2025-04-24 20:59:44.849501,0 days 00:00:02.494971,1.2477180251561359e-05,Matern,0.0015199801109583842,0.004158784633068362,0.5,TPESampler,COMPLETE
70,0.30268457968214857,2025-04-24 20:59:42.541612,2025-04-24 20:59:46.112709,0 days 00:00:03.571097,0.0027968754225005843,RBF,0.8923575873986827,0.0630716704429569,1.5,TPESampler,COMPLETE
71,0.9494305549056422,2025-04-24 20:59:43.192584,2025-04-24 20:59:44.461536,0 days 00:00:01.268952,5.076375190179331e-06,Matern,0.06970260202467297,0.02082895121605342,1.5,TPESampler,COMPLETE
72,0.28679725271600265,2025-04-24 20:59:44.650579,2025-04-24 20:59:46.511816,0 days 00:00:01.861237,7377.942216670817,Matern,90.25432153497508,0.8220895459613987,1.5,TPESampler,COMPLETE
73,0.286797233446819,2025-04-24 20:59:45.046932,2025-04-24 20:59:47.665136,0 days 00:00:02.618204,1.088376714421487e-05,Matern,4.255622960468791,0.4333474973064478,1.5,TPESampler,COMPLETE
74,0.2867972295121615,2025-04-24 20:59:46.302139,2025-04-24 20:59:47.914550,0 days 00:00:01.612411,4140.191805814035,Matern,26.214598362724654,0.12273709280841462,1.5,TPESampler,COMPLETE
75,0.9228200924718604,2025-04-24 20:59:46.678796,2025-04-24 20:59:49.261716,0 days 00:00:02.582920,6.308234876692211e-06,Matern,15.94576348684521,0.006968881707560778,0.5,TPESampler,COMPLETE
76,0.9494322618379649,2025-04-24 20:59:47.847181,2025-04-24 20:59:48.924610,0 days 00:00:01.077429,3.0396514336190356e-07,Matern,1189.6883066561202,0.2556055667291144,1.5,TPESampler,COMPLETE
77,0.9228200923273895,2025-04-24 20:59:48.166499,2025-04-24 20:59:51.030071,0 days 00:00:02.863572,24793.730988748706,Matern,11236.46626153228,1.6655557451484583e-05,1.5,TPESampler,COMPLETE
78,0.28679724072928636,2025-04-24 20:59:49.112985,2025-04-24 20:59:51.251913,0 days 00:00:02.138928,62699.57480002638,Matern,10.696554207909358,0.0073102306451146735,1.5,TPESampler,COMPLETE
79,0.28679725416397794,2025-04-24 20:59:49.431308,2025-04-24 20:59:51.555228,0 days 00:00:02.123920,82496.50163424744,Matern,32.65961918371164,0.3594506782708669,1.5,TPESampler,COMPLETE
80,0.9228200930885675,2025-04-24 20:59:51.214533,2025-04-24 20:59:53.664272,0 days 00:00:02.449739,14745.878932612919,RBF,11.658829977083291,3.187237493825395e-05,1.5,TPESampler,COMPLETE
81,0.9228200885537238,2025-04-24 20:59:51.441521,2025-04-24 20:59:54.345576,0 days 00:00:02.904055,0.0002564022966207754,Matern,4.376333848062242,0.0015580266088640795,1.5,TPESampler,COMPLETE
82,0.9228200930390178,2025-04-24 20:59:51.772818,2025-04-24 20:59:53.177203,0 days 00:00:01.404385,33651.18925576421,Matern,1006.3626695286779,0.002052281541434141,1.5,TPESampler,COMPLETE
83,0.9228200920210682,2025-04-24 20:59:53.377179,2025-04-24 20:59:56.024729,0 days 00:00:02.647550,2.942789165860371e-06,Matern,5.531022590410351,0.0025023892121685595,2.5,TPESampler,COMPLETE
84,0.30432053982367047,2025-04-24 20:59:53.845297,2025-04-24 20:59:57.773460,0 days 00:00:03.928163,1.7059959992085222e-07,Matern,0.8216602194324578,0.18526907126893952,1.5,TPESampler,COMPLETE
85,0.2867972601612641,2025-04-24 20:59:54.550348,2025-04-24 20:59:57.102037,0 days 00:00:02.551689,78332.40602396025,Matern,1060.1486598249005,0.13074783602478465,1.5,TPESampler,COMPLETE
86,0.2867972540593473,2025-04-24 20:59:56.237284,2025-04-24 20:59:57.779881,0 days 00:00:01.542597,17.862064322821283,Matern,83.16897849821764,0.06578259781485171,1.5,TPESampler,COMPLETE
87,0.33018882485420814,2025-04-24 20:59:57.291892,2025-04-24 20:59:59.162321,0 days 00:00:01.870429,27546.972805242935,Matern,58252.06267459707,0.19197510649098776,0.5,TPESampler,COMPLETE
88,0.28679727345388734,2025-04-24 20:59:57.934899,2025-04-24 20:59:59.412741,0 days 00:00:01.477842,3307.2904962157063,Matern,1.395166691710005,0.0012542204796489203,1.5,TPESampler,COMPLETE
89,0.9228200779284763,2025-04-24 20:59:57.969804,2025-04-24 21:00:00.227844,0 days 00:00:02.258040,23583.38179473084,Matern,40915.492562898544,0.004463022883600965,1.5,TPESampler,COMPLETE
90,0.9494322793299481,2025-04-24 20:59:59.355924,2025-04-24 21:00:01.078448,0 days 00:00:01.722524,4.629203931328724,RBF,25640.991208448504,0.32367503770730505,1.5,TPESampler,COMPLETE
91,0.28679725914034304,2025-04-24 20:59:59.604573,2025-04-24 21:00:01.983099,0 days 00:00:02.378526,20344.89670947093,Matern,9201.10249989303,0.9199004914675172,1.5,TPESampler,COMPLETE
92,0.922820092921595,2025-04-24 21:00:00.429375,2025-04-24 21:00:03.024606,0 days 00:00:02.595231,23764.525921532066,RBF,984.656221297525,4.806438528277448e-09,2.5,TPESampler,COMPLETE
93,0.9494224009437285,2025-04-24 21:00:01.276628,2025-04-24 21:00:02.598245,0 days 00:00:01.321617,4.8271226299228155e-05,Matern,0.31393220128350163,0.04791068099488666,1.5,TPESampler,COMPLETE
94,0.9228200803668059,2025-04-24 21:00:02.189402,2025-04-24 21:00:05.814264,0 days 00:00:03.624862,4.11874093356528e-05,RBF,25629.87400645457,6.075354804920429e-06,0.5,TPESampler,COMPLETE
95,0.9228200924577574,2025-04-24 21:00:02.799735,2025-04-24 21:00:04.212736,0 days 00:00:01.413001,1627.390568336758,Matern,0.03008501529622909,0.29097473310709265,1.5,TPESampler,COMPLETE
96,0.286797259943284,2025-04-24 21:00:03.232682,2025-04-24 21:00:06.381023,0 days 00:00:03.148341,3.707495045447123e-05,Matern,16.419870360360417,0.5167815032522578,1.5,TPESampler,COMPLETE
97,0.28679729753250616,2025-04-24 21:00:04.411727,2025-04-24 21:00:06.399905,0 days 00:00:01.988178,0.0007646999131285418,Matern,0.7759810841267217,0.12072517468043613,1.5,TPESampler,COMPLETE
98,0.9494181585786302,2025-04-24 21:00:06.013647,2025-04-24 21:00:07.113773,0 days 00:00:01.100126,2.7251539529075048e-06,RBF,0.8410425240525731,0.2018591417577403,1.5,TPESampler,COMPLETE
99,0.9228200923062259,2025-04-24 21:00:06.549641,2025-04-24 21:00:08.268605,0 days 00:00:01.718964,4.89224959949274,RBF,0.00022350307715893756,0.0022828629750029266,2.5,TPESampler,COMPLETE
100,0.2867972087301625,2025-04-24 21:00:06.585525,2025-04-24 21:00:08.562749,0 days 00:00:01.977224,430.7657960599699,Matern,217.2825238582632,0.1875193468543739,1.5,TPESampler,COMPLETE
101,0.9228200925266391,2025-04-24 21:00:07.377759,2025-04-24 21:00:09.808991,0 days 00:00:02.431232,0.561404431682624,RBF,2.7669103069001824,4.512727960296278e-09,1.5,TPESampler,COMPLETE
102,0.9228200912791888,2025-04-24 21:00:08.478999,2025-04-24 21:00:10.744110,0 days 00:00:02.265111,3.337212117547936,RBF,43293.40741178914,1.5681352695444905e-10,0.5,TPESampler,COMPLETE
103,0.9228200922590742,2025-04-24 21:00:08.777283,2025-04-24 21:00:10.264773,0 days 00:00:01.487490,8.91208408521023e-05,RBF,3.5964927232722986e-05,9.082395581336619e-06,0.5,TPESampler,COMPLETE
104,0.28679723870851426,2025-04-24 21:00:09.995523,2025-04-24 21:00:11.979249,0 days 00:00:01.983726,235.093664383686,Matern,4.938598920449124,0.018067540051672538,1.5,TPESampler,COMPLETE
105,0.286797257561112,2025-04-24 21:00:10.464348,2025-04-24 21:00:12.407538,0 days 00:00:01.943190,215.55179120314176,Matern,261.70453631128515,0.6879137582651417,1.5,TPESampler,COMPLETE
