number,value,datetime_start,datetime_complete,duration,params_constant_value,params_kernel_type,params_length_scale,params_noise_level,params_nu,system_attrs_auto:sampler,state
26,0.9015767416476295,2025-04-24 21:00:04.410210,2025-04-24 21:00:09.970686,0 days 00:00:05.560476,1.581160232687413e-05,Matern,0.03186864623008665,0.4869527243677971,2.5,TPESampler,COMPLETE
27,0.870340134023413,2025-04-24 21:00:07.977578,2025-04-24 21:00:20.565577,0 days 00:00:12.587999,3315.327153068268,RBF,25157.54597698293,0.04117135681992674,0.5,TPESampler,COMPLETE
28,0.8703401340206758,2025-04-24 21:00:10.211704,2025-04-24 21:00:18.882793,0 days 00:00:08.671089,0.27067186395178783,RBF,78654.64507055879,0.0002589075122258206,0.5,TPESampler,COMPLETE
29,0.1634431706317519,2025-04-24 21:00:11.860822,2025-04-24 21:00:17.047272,0 days 00:00:05.186450,576.6567820096444,Matern,45.22017055922381,0.17326620799599063,2.5,TPESampler,COMPLETE
30,0.8703401340415456,2025-04-24 21:00:17.244874,2025-04-24 21:00:25.763632,0 days 00:00:08.518758,0.029643047195139313,Matern,51.82270530166092,0.014768078782072888,1.5,TPESampler,COMPLETE
31,0.9015779184734973,2025-04-24 21:00:19.087854,2025-04-24 21:00:25.669026,0 days 00:00:06.581172,5.074197724582199e-05,RBF,724.2200969653393,0.14384948458325117,2.5,TPESampler,COMPLETE
32,0.9015779655009732,2025-04-24 21:00:20.776477,2025-04-24 21:00:27.160343,0 days 00:00:06.383866,0.021675395031263648,Matern,2899.718905499778,0.33713425966212246,2.5,TPESampler,COMPLETE
33,0.1634431236642173,2025-04-24 21:00:25.837075,2025-04-24 21:00:31.282529,0 days 00:00:05.445454,3342.1949336660755,Matern,67.05459587903653,0.021342986857460246,2.5,TPESampler,COMPLETE
34,0.1634431926591994,2025-04-24 21:00:26.008766,2025-04-24 21:00:31.872972,0 days 00:00:05.864206,16811.849544822515,Matern,573.1949175803495,0.08815171660879331,2.5,TPESampler,COMPLETE
35,0.16334782137205486,2025-04-24 21:00:27.461068,2025-04-24 21:00:33.342152,0 days 00:00:05.881084,116.72105927655551,RBF,4.319213555850795,0.0014053135423472897,2.5,TPESampler,COMPLETE
36,0.16344312896707805,2025-04-24 21:00:31.597475,2025-04-24 21:00:45.285209,0 days 00:00:13.687734,493.6091256507719,Matern,5.310461944439183,4.761517131168804e-05,2.5,TPESampler,COMPLETE
37,0.16334781313429375,2025-04-24 21:00:32.168079,2025-04-24 21:00:42.067276,0 days 00:00:09.899197,50.939441699773205,RBF,1393.1079748409045,0.04367908442772383,1.5,TPESampler,COMPLETE
38,0.8703400481377283,2025-04-24 21:00:33.685070,2025-04-24 21:00:41.433903,0 days 00:00:07.748833,495.5764486540371,RBF,6.090858263095917,0.00010488502874336027,2.5,TPESampler,COMPLETE
39,0.8703401340219525,2025-04-24 21:00:41.686597,2025-04-24 21:00:47.692274,0 days 00:00:06.005677,11946.95648012685,Matern,0.010043598915672474,0.10761939160424,2.5,TPESampler,COMPLETE
40,0.1633478305365437,2025-04-24 21:00:42.318120,2025-04-24 21:00:52.075576,0 days 00:00:09.757456,76.76825613690723,RBF,463.34088696496474,0.5267819799185702,1.5,TPESampler,COMPLETE
41,0.8703401340188434,2025-04-24 21:00:45.613526,2025-04-24 21:00:59.835959,0 days 00:00:14.222433,0.08649838313513347,RBF,178.70666763874263,0.0007073365785197448,1.5,TPESampler,COMPLETE
42,0.901577195523202,2025-04-24 21:00:47.972522,2025-04-24 21:00:53.505764,0 days 00:00:05.533242,160.93883888336865,RBF,0.1757197108603317,0.0023329963304136656,0.5,TPESampler,COMPLETE
43,0.16334789861600377,2025-04-24 21:00:53.027900,2025-04-24 21:00:58.223992,0 days 00:00:05.196092,45.6730366454716,RBF,49.18205838483064,0.03595219479733672,1.5,TPESampler,COMPLETE
44,0.1633478046593444,2025-04-24 21:00:53.720621,2025-04-24 21:00:58.552745,0 days 00:00:04.832124,3353.716133775494,RBF,38.20032896955945,0.28640989962794094,1.5,TPESampler,COMPLETE
45,0.16334781518188785,2025-04-24 21:00:58.473419,2025-04-24 21:01:05.753275,0 days 00:00:07.279856,1268.25377694637,RBF,18605.06999478044,0.25538686219117984,1.5,TPESampler,COMPLETE
46,0.16334780899826393,2025-04-24 21:00:58.770306,2025-04-24 21:01:03.849734,0 days 00:00:05.079428,21831.188608148193,RBF,0.7388608203918897,0.00541415712385921,1.5,TPESampler,COMPLETE
47,0.9015779431791794,2025-04-24 21:01:00.138527,2025-04-24 21:01:06.470573,0 days 00:00:06.332046,0.018593772714425548,RBF,1520.7130251643637,0.7421315570334323,1.5,TPESampler,COMPLETE
48,0.16334780409397281,2025-04-24 21:01:04.149417,2025-04-24 21:01:12.108990,0 days 00:00:07.959573,26913.090744104924,RBF,0.7176531375940086,0.0014355942563532408,1.5,TPESampler,COMPLETE
49,0.8703401340355468,2025-04-24 21:01:06.011311,2025-04-24 21:01:11.492339,0 days 00:00:05.481028,56524.21393822202,RBF,0.01729616917828215,0.7727381023154104,1.5,TPESampler,COMPLETE
50,0.870340134021326,2025-04-24 21:01:06.732407,2025-04-24 21:01:17.700900,0 days 00:00:10.968493,69220.21943451077,RBF,91334.27323541374,0.0047471624597946105,1.5,TPESampler,COMPLETE
51,0.8703400156533964,2025-04-24 21:01:11.754207,2025-04-24 21:01:20.972401,0 days 00:00:09.218194,9521.938892147618,Matern,0.09635045874804246,0.005115816977203157,1.5,TPESampler,COMPLETE
52,0.8703401334628224,2025-04-24 21:01:12.342679,2025-04-24 21:01:25.325831,0 days 00:00:12.983152,3070.6532486937786,RBF,0.1565668603073322,0.0001104851644302079,1.5,TPESampler,COMPLETE
53,0.16334780830929266,2025-04-24 21:01:18.841311,2025-04-24 21:01:29.146802,0 days 00:00:10.305491,59533.41463633023,RBF,23.420738167617188,0.0007660229539966626,1.5,TPESampler,COMPLETE
54,0.16334780801558088,2025-04-24 21:01:21.685194,2025-04-24 21:01:30.390617,0 days 00:00:08.705423,0.7021224497357603,RBF,216.16053741354645,0.23292138834104625,0.5,TPESampler,COMPLETE
55,0.1633478098343211,2025-04-24 21:01:25.583376,2025-04-24 21:01:31.348255,0 days 00:00:05.764879,1326.2583339333187,RBF,244.2810684827817,0.8930811538961945,1.5,TPESampler,COMPLETE
56,0.8703401340464781,2025-04-24 21:01:29.450287,2025-04-24 21:01:34.302550,0 days 00:00:04.852263,25346.035789943824,RBF,97.6471055983541,3.413777820675898e-05,1.5,TPESampler,COMPLETE
57,0.9015779748921476,2025-04-24 21:01:30.644928,2025-04-24 21:01:36.966949,0 days 00:00:06.322021,1.342806170432012,RBF,48629.83628356188,0.3865516108873294,0.5,TPESampler,COMPLETE
58,0.16334777863366495,2025-04-24 21:01:31.614818,2025-04-24 21:01:37.287553,0 days 00:00:05.672735,59250.279687441376,RBF,6.795928164053882,0.014505408120042229,1.5,TPESampler,COMPLETE
59,0.16334780693326797,2025-04-24 21:01:34.599160,2025-04-24 21:01:42.740675,0 days 00:00:08.141515,0.242731208671157,RBF,8.4478389504581,0.03911668180804717,0.5,TPESampler,COMPLETE
60,0.8703401340288506,2025-04-24 21:01:37.214276,2025-04-24 21:01:43.398829,0 days 00:00:06.184553,82945.68930334113,RBF,268.64215838383313,6.480548397708519e-05,0.5,TPESampler,COMPLETE
61,0.16334781081985553,2025-04-24 21:01:37.539419,2025-04-24 21:01:43.627982,0 days 00:00:06.088563,36491.697982059064,RBF,19.45060823377573,0.009441563402523766,1.5,TPESampler,COMPLETE
62,0.16334780872525118,2025-04-24 21:01:43.041906,2025-04-24 21:01:50.534511,0 days 00:00:07.492605,0.014998957880561494,RBF,22.018934471475745,0.40079994336482494,0.5,TPESampler,COMPLETE
63,0.16334783632127162,2025-04-24 21:01:43.595508,2025-04-24 21:01:48.943011,0 days 00:00:05.347503,17.000653559570598,RBF,179.27648767228962,0.04063920935096019,0.5,TPESampler,COMPLETE
64,0.9015771955345325,2025-04-24 21:01:43.848156,2025-04-24 21:01:48.124519,0 days 00:00:04.276363,61.684244350573344,Matern,6.435227880963999e-05,1.5638486142653296e-06,2.5,TPESampler,COMPLETE
65,0.163347797006686,2025-04-24 21:01:48.421909,2025-04-24 21:02:00.499317,0 days 00:00:12.077408,49326.89616881455,RBF,51242.23258242129,0.7651922349834092,0.5,TPESampler,COMPLETE
66,0.16334780833839502,2025-04-24 21:01:49.184629,2025-04-24 21:02:02.252453,0 days 00:00:13.067824,6.473132986021956,RBF,1.5002869560756278,0.6729017337367571,0.5,TPESampler,COMPLETE
67,0.8703401340213269,2025-04-24 21:01:50.800893,2025-04-24 21:02:00.082813,0 days 00:00:09.281920,0.00445451521828155,RBF,0.13030019054680594,0.00025914836888627,2.5,TPESampler,COMPLETE
68,0.16334781301146853,2025-04-24 21:02:00.331406,2025-04-24 21:02:07.620475,0 days 00:00:07.289069,5506.167548901192,RBF,51957.0327294428,0.05789342976650269,2.5,TPESampler,COMPLETE
69,0.16334780820100667,2025-04-24 21:02:00.705121,2025-04-24 21:02:08.840794,0 days 00:00:08.135673,47403.68056009735,RBF,26385.44219497938,0.3062776217191525,0.5,TPESampler,COMPLETE
70,0.163347806630793,2025-04-24 21:02:02.499602,2025-04-24 21:02:11.390972,0 days 00:00:08.891370,40310.3655916116,RBF,47709.58327317421,0.22091705340817927,0.5,TPESampler,COMPLETE
71,0.8703401340201488,2025-04-24 21:02:07.884791,2025-04-24 21:02:14.086138,0 days 00:00:06.201347,4.624402833315947,RBF,28.03433581842488,0.000614603036702305,0.5,TPESampler,COMPLETE
72,0.8703401340231706,2025-04-24 21:02:09.133024,2025-04-24 21:02:13.028484,0 days 00:00:03.895460,0.007163012997451224,RBF,0.010357328824613475,0.002346205340577941,0.5,TPESampler,COMPLETE
73,0.16334779190237467,2025-04-24 21:02:11.646601,2025-04-24 21:02:19.438803,0 days 00:00:07.792202,243.01013627442214,RBF,15498.839257177107,0.7675241642959487,0.5,TPESampler,COMPLETE
74,0.16334780305480714,2025-04-24 21:02:13.329385,2025-04-24 21:02:18.111771,0 days 00:00:04.782386,60295.327314790426,RBF,187.9418994715291,0.028353990464378746,0.5,TPESampler,COMPLETE
75,0.8703401336182455,2025-04-24 21:02:14.422612,2025-04-24 21:02:24.011538,0 days 00:00:09.588926,123.08938346071795,Matern,20775.426654921852,5.276131748194695e-10,1.5,TPESampler,COMPLETE
76,0.8703401340571569,2025-04-24 21:02:18.398222,2025-04-24 21:02:27.763934,0 days 00:00:09.365712,99981.48109711251,RBF,30614.04583232759,0.003846350378216641,0.5,TPESampler,COMPLETE
77,0.16334781256158565,2025-04-24 21:02:19.757915,2025-04-24 21:02:25.528670,0 days 00:00:05.770755,68115.07838743503,RBF,6.5172571825121395,0.046495219360103826,0.5,TPESampler,COMPLETE
