number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,system_attrs_auto:sampler,state
35,0.4701489337155275,2025-04-24 21:19:11.412384,2025-04-24 21:19:12.087733,0 days 00:00:00.675349,False,squared_error,47,sqrt,1,25,111,TPESampler,COMPLETE
36,0.4224308143018334,2025-04-24 21:19:12.246468,2025-04-24 21:19:13.419909,0 days 00:00:01.173441,False,squared_error,48,,1,13,122,TPESampler,COMPLETE
37,0.4228252539024218,2025-04-24 21:19:13.575386,2025-04-24 21:19:16.250204,0 days 00:00:02.674818,False,squared_error,45,,1,14,398,TPESampler,COMPLETE
38,0.4651443087372209,2025-04-24 21:19:16.421385,2025-04-24 21:19:17.506482,0 days 00:00:01.085097,False,squared_error,44,,2,23,117,TPESampler,COMPLETE
39,0.5193768641885874,2025-04-24 21:19:17.690554,2025-04-24 21:19:18.512205,0 days 00:00:00.821651,False,squared_error,44,log2,1,12,213,TPESampler,COMPLETE
40,0.42664525298984085,2025-04-24 21:19:18.679045,2025-04-24 21:19:19.751585,0 days 00:00:01.072540,False,squared_error,46,,1,12,100,TPESampler,COMPLETE
41,0.433958064811667,2025-04-24 21:19:19.913805,2025-04-24 21:20:08.481578,0 days 00:00:48.567773,False,absolute_error,44,,1,24,337,TPESampler,COMPLETE
42,0.38323455045662635,2025-04-24 21:19:24.889592,2025-04-24 21:19:26.302697,0 days 00:00:01.413105,True,squared_error,38,,1,4,169,TPESampler,COMPLETE
43,0.39110065256478443,2025-04-24 21:19:26.471232,2025-04-24 21:19:28.175282,0 days 00:00:01.704050,True,squared_error,39,,1,6,201,TPESampler,COMPLETE
44,0.3837535335171272,2025-04-24 21:19:28.336158,2025-04-24 21:19:29.842009,0 days 00:00:01.505851,True,squared_error,44,,1,3,176,TPESampler,COMPLETE
45,0.384922150223261,2025-04-24 21:19:30.007983,2025-04-24 21:19:32.146129,0 days 00:00:02.138146,True,squared_error,38,,1,4,302,TPESampler,COMPLETE
46,0.38451243739741514,2025-04-24 21:19:32.406081,2025-04-24 21:19:33.953806,0 days 00:00:01.547725,True,squared_error,40,,1,2,168,TPESampler,COMPLETE
47,0.38243372118433544,2025-04-24 21:19:34.118339,2025-04-24 21:19:35.768831,0 days 00:00:01.650492,True,squared_error,41,,1,2,181,TPESampler,COMPLETE
48,0.3821985399823849,2025-04-24 21:19:35.929078,2025-04-24 21:19:38.033307,0 days 00:00:02.104229,True,squared_error,49,,1,2,249,TPESampler,COMPLETE
49,0.4783559562452192,2025-04-24 21:19:38.197679,2025-04-24 21:19:39.136716,0 days 00:00:00.939037,True,squared_error,35,,3,2,119,TPESampler,COMPLETE
50,0.5729348881413202,2025-04-24 21:19:39.296320,2025-04-24 21:19:40.217876,0 days 00:00:00.921556,True,squared_error,42,sqrt,2,4,276,TPESampler,COMPLETE
51,0.4146164037994765,2025-04-24 21:19:40.388615,2025-04-24 21:19:58.189866,0 days 00:00:17.801251,True,absolute_error,49,,2,2,344,TPESampler,COMPLETE
52,0.38135319280625235,2025-04-24 21:19:45.393114,2025-04-24 21:19:46.809173,0 days 00:00:01.416059,True,squared_error,50,,1,2,142,TPESampler,COMPLETE
53,0.44784832997336316,2025-04-24 21:19:46.971840,2025-04-24 21:19:48.323492,0 days 00:00:01.351652,True,squared_error,47,log2,1,2,310,TPESampler,COMPLETE
54,0.3994625293106143,2025-04-24 21:19:48.474148,2025-04-24 21:19:52.419826,0 days 00:00:03.945678,False,squared_error,41,,1,2,390,TPESampler,COMPLETE
55,0.38169172857459016,2025-04-24 21:19:52.624501,2025-04-24 21:19:53.827473,0 days 00:00:01.202972,True,squared_error,49,,1,2,108,TPESampler,COMPLETE
56,0.37248475598438796,2025-04-24 21:19:53.997094,2025-04-24 21:20:04.730349,0 days 00:00:10.733255,True,absolute_error,46,,1,2,113,TPESampler,COMPLETE
57,0.3873467551670735,2025-04-24 21:19:58.367621,2025-04-24 21:20:02.194846,0 days 00:00:03.827225,True,squared_error,49,,1,2,504,TPESampler,COMPLETE
58,0.3852917408240606,2025-04-24 21:20:02.356413,2025-04-24 21:20:03.693842,0 days 00:00:01.337429,True,squared_error,46,,1,3,124,TPESampler,COMPLETE
59,0.3814560290251299,2025-04-24 21:20:03.856257,2025-04-24 21:20:05.356207,0 days 00:00:01.499950,True,squared_error,47,,1,2,131,TPESampler,COMPLETE
60,0.5175098132542753,2025-04-24 21:20:04.897186,2025-04-24 21:20:07.566173,0 days 00:00:02.668987,True,absolute_error,39,log2,1,4,179,TPESampler,COMPLETE
61,0.37642444313220935,2025-04-24 21:20:05.572136,2025-04-24 21:20:15.432860,0 days 00:00:09.860724,True,absolute_error,35,,1,2,105,TPESampler,COMPLETE
62,0.4071254029021611,2025-04-24 21:20:07.804448,2025-04-24 21:20:14.121863,0 days 00:00:06.317415,True,absolute_error,42,sqrt,1,2,317,TPESampler,COMPLETE
63,0.37148650973038616,2025-04-24 21:20:08.674529,2025-04-24 21:20:18.861605,0 days 00:00:10.187076,True,absolute_error,49,,1,2,105,TPESampler,COMPLETE
64,0.41600048713116194,2025-04-24 21:20:14.323110,2025-04-24 21:20:15.875137,0 days 00:00:01.552027,True,squared_error,49,,2,2,229,TPESampler,COMPLETE
65,0.4153320891436102,2025-04-24 21:20:15.683932,2025-04-24 21:20:37.381876,0 days 00:00:21.697944,True,absolute_error,18,,1,2,254,TPESampler,COMPLETE
66,0.37775952772208815,2025-04-24 21:20:16.035987,2025-04-24 21:20:28.972494,0 days 00:00:12.936507,True,absolute_error,37,,1,2,107,TPESampler,COMPLETE
67,0.3684204841942153,2025-04-24 21:20:19.016968,2025-04-24 21:20:41.258681,0 days 00:00:22.241713,True,absolute_error,50,,1,2,212,TPESampler,COMPLETE
68,0.3748542284030312,2025-04-24 21:20:29.136098,2025-04-24 21:20:40.492459,0 days 00:00:11.356361,True,absolute_error,36,,1,3,122,TPESampler,COMPLETE
69,0.37106634936574895,2025-04-24 21:20:37.541860,2025-04-24 21:20:51.889485,0 days 00:00:14.347625,True,absolute_error,43,,1,2,154,TPESampler,COMPLETE
70,0.3774594958664966,2025-04-24 21:20:40.658589,2025-04-24 21:20:57.834538,0 days 00:00:17.175949,True,absolute_error,31,,1,2,184,TPESampler,COMPLETE
71,0.37527430331090894,2025-04-24 21:20:41.408603,2025-04-24 21:20:54.031447,0 days 00:00:12.622844,True,absolute_error,47,,1,4,136,TPESampler,COMPLETE
72,0.37116010149383627,2025-04-24 21:20:52.059208,2025-04-24 21:21:10.319324,0 days 00:00:18.260116,True,absolute_error,47,,1,2,194,TPESampler,COMPLETE
73,0.37416720143224075,2025-04-24 21:20:54.194209,2025-04-24 21:21:06.210060,0 days 00:00:12.015851,True,absolute_error,41,,1,3,125,TPESampler,COMPLETE
74,0.5100062323060643,2025-04-24 21:20:58.017146,2025-04-24 21:21:01.011721,0 days 00:00:02.994575,False,absolute_error,48,sqrt,2,2,130,TPESampler,COMPLETE
75,0.37685026606790484,2025-04-24 21:21:01.182037,2025-04-24 21:21:43.619122,0 days 00:00:42.437085,True,absolute_error,31,,1,2,437,TPESampler,COMPLETE
76,0.37791831306996004,2025-04-24 21:21:06.383415,2025-04-24 21:21:17.775864,0 days 00:00:11.392449,True,absolute_error,49,,1,4,106,TPESampler,COMPLETE
77,0.8283874353486977,2025-04-24 21:21:10.494017,2025-04-24 21:21:11.548548,0 days 00:00:01.054531,True,absolute_error,48,log2,2,2,142,TPESampler,COMPLETE
78,0.3681912900989029,2025-04-24 21:21:11.718052,2025-04-24 21:21:37.192730,0 days 00:00:25.474678,True,absolute_error,49,,1,2,254,TPESampler,COMPLETE
79,0.41710334602694804,2025-04-24 21:21:17.964365,2025-04-24 21:21:24.729506,0 days 00:00:06.765141,True,absolute_error,49,,2,2,125,TPESampler,COMPLETE
80,0.570142067188463,2025-04-24 21:21:24.890481,2025-04-24 21:21:26.944953,0 days 00:00:02.054472,True,absolute_error,46,sqrt,2,5,145,TPESampler,COMPLETE
81,0.40127613728439665,2025-04-24 21:21:27.107772,2025-04-24 21:21:56.523138,0 days 00:00:29.415366,True,absolute_error,26,,1,10,320,TPESampler,COMPLETE
82,0.37108656973026205,2025-04-24 21:21:37.371548,2025-04-24 21:21:58.141141,0 days 00:00:20.769593,True,absolute_error,47,,1,2,195,TPESampler,COMPLETE
83,0.3728235737267268,2025-04-24 21:21:43.797752,2025-04-24 21:22:34.890350,0 days 00:00:51.092598,True,absolute_error,49,,1,4,409,TPESampler,COMPLETE
84,0.43580211436185795,2025-04-24 21:21:56.679506,2025-04-24 21:22:28.993667,0 days 00:00:32.314161,False,absolute_error,48,,1,2,209,TPESampler,COMPLETE
85,0.367402771739391,2025-04-24 21:21:58.301761,2025-04-24 21:22:37.018595,0 days 00:00:38.716834,True,absolute_error,50,,1,2,292,TPESampler,COMPLETE
86,0.3675685311640558,2025-04-24 21:22:29.150980,2025-04-24 21:22:50.944337,0 days 00:00:21.793357,True,absolute_error,50,,1,2,208,TPESampler,COMPLETE
87,0.38094533564382405,2025-04-24 21:22:35.053793,2025-04-24 21:23:26.668408,0 days 00:00:51.614615,True,absolute_error,48,,1,8,399,TPESampler,COMPLETE
88,0.3719030248298662,2025-04-24 21:22:37.183992,2025-04-24 21:23:23.019534,0 days 00:00:45.835542,True,absolute_error,46,,1,2,358,TPESampler,COMPLETE
