number,value,datetime_start,datetime_complete,duration,params_L1_dropout,params_L1_hidden_dim,params_L1_layers_atom,params_L1_layers_mol,params_L1_out_dim,params_L2_dropout,params_L2_hidden_dim,params_L2_layers_atom,params_L2_layers_mol,params_L2_out_dim,params_L3_dropout,params_L3_hidden_dim,params_L3_layers_atom,params_L3_layers_mol,params_L3_out_dim,params_final_dropout,params_mlp_dim_0,params_mlp_dim_1,params_mlp_dim_2,params_n_mlp_layers,params_num_heads,params_train_learning_rate,params_train_lr_reduce,user_attrs_best_state_dict_path,user_attrs_training_params,system_attrs_auto:sampler,state
12,0.06287896633148193,2025-04-25 13:52:48.053560,2025-04-25 13:53:31.440434,0 days 00:00:43.386874,0.07937658346247953,176,1,1,112,0.13878673752939186,160,2,1,96,0.24408058405922353,112,4,3,112,0.28716248476503853,424,48.0,,2,2,0.002625918713729886,0.6,/work3/arnaou/checkpoints/groupgat_Omega_trial_12_best_state.pt,"{'learning_rate': 0.002625918713729886, 'lr_reduce': 0.6}",TPESampler,COMPLETE
13,0.07543385028839111,2025-04-25 13:53:29.726321,2025-04-25 13:54:52.581297,0 days 00:01:22.854976,0.14845908551091141,240,3,1,64,0.1058098542309012,80,2,2,112,0.19069534019614137,112,3,4,112,0.20523169564784752,280,,,1,2,0.00088513694875278,0.6,/work3/arnaou/checkpoints/groupgat_Omega_trial_13_best_state.pt,"{'learning_rate': 0.00088513694875278, 'lr_reduce': 0.6}",TPESampler,COMPLETE
14,0.13664431869983673,2025-04-25 13:53:31.564143,2025-04-25 13:55:35.513767,0 days 00:02:03.949624,0.16813883459964513,80,2,2,48,0.09356638736747291,64,3,3,96,0.12093565424866791,48,1,4,112,0.11620282547526041,368,32.0,304.0,3,2,0.0002434500177296391,0.6,/work3/arnaou/checkpoints/groupgat_Omega_trial_14_best_state.pt,"{'learning_rate': 0.0002434500177296391, 'lr_reduce': 0.6}",TPESampler,COMPLETE
15,0.07757139950990677,2025-04-25 13:54:37.045123,2025-04-25 13:56:08.474331,0 days 00:01:31.429208,0.008075139657235941,64,4,2,48,0.005706336471028261,160,4,2,128,0.09693607957579617,32,1,3,112,0.002842548720147678,176,136.0,504.0,3,2,0.00018908710597214886,0.6,/work3/arnaou/checkpoints/groupgat_Omega_trial_15_best_state.pt,"{'learning_rate': 0.00018908710597214886, 'lr_reduce': 0.6}",TPESampler,COMPLETE
16,0.08968374878168106,2025-04-25 13:54:52.812419,2025-04-25 13:55:21.735469,0 days 00:00:28.923050,0.14294861893022928,256,1,1,112,0.032895864419031515,176,2,2,112,0.2143374113915445,112,4,1,112,0.25214453196026904,504,144.0,,2,1,0.004333359693605812,0.6,/work3/arnaou/checkpoints/groupgat_Omega_trial_16_best_state.pt,"{'learning_rate': 0.004333359693605812, 'lr_reduce': 0.6}",TPESampler,COMPLETE
17,0.06178128719329834,2025-04-25 13:55:21.951095,2025-04-25 13:56:21.182105,0 days 00:00:59.231010,0.06419726501062431,112,1,1,96,0.08224072710322754,208,3,1,80,0.22907299291833308,112,4,3,112,0.23483345587288712,424,56.0,256.0,3,2,0.003675865095301343,0.6,/work3/arnaou/checkpoints/groupgat_Omega_trial_17_best_state.pt,"{'learning_rate': 0.003675865095301343, 'lr_reduce': 0.6}",TPESampler,COMPLETE
18,0.0773610770702362,2025-04-25 13:55:35.700544,2025-04-25 13:56:55.781126,0 days 00:01:20.080582,0.03976840758662826,192,3,1,64,0.09027068819613782,80,3,3,112,0.13355890092639938,64,3,3,96,0.05136932091379985,296,200.0,360.0,3,2,0.00055361944841048,0.6,/work3/arnaou/checkpoints/groupgat_Omega_trial_18_best_state.pt,"{'learning_rate': 0.00055361944841048, 'lr_reduce': 0.6}",TPESampler,COMPLETE
19,0.06821481138467789,2025-04-25 13:56:08.677385,2025-04-25 13:57:29.030021,0 days 00:01:20.352636,0.123277857886823,128,2,2,112,0.2702386686878948,208,1,2,96,0.23019662908877567,112,4,3,80,0.2274514060078608,352,,,1,2,0.002398550149542985,0.6,/work3/arnaou/checkpoints/groupgat_Omega_trial_19_best_state.pt,"{'learning_rate': 0.002398550149542985, 'lr_reduce': 0.6}",TPESampler,COMPLETE
20,0.05902538076043129,2025-04-25 13:56:21.372292,2025-04-25 13:57:08.449209,0 days 00:00:47.076917,0.06170889823806586,80,1,3,80,0.08145096178874286,224,2,1,64,0.18486520974979562,128,3,2,112,0.21404034320935755,320,120.0,232.0,3,2,0.0011179290522375525,0.6,/work3/arnaou/checkpoints/groupgat_Omega_trial_20_best_state.pt,"{'learning_rate': 0.0011179290522375525, 'lr_reduce': 0.6}",TPESampler,COMPLETE
21,0.06605848670005798,2025-04-25 13:56:56.160131,2025-04-25 13:58:16.107228,0 days 00:01:19.947097,0.23952264295545067,160,4,1,48,0.12979386976235802,160,3,4,128,0.0743881604838805,32,2,4,112,0.12193512708408828,128,240.0,264.0,3,2,0.0003848674697588894,0.6,/work3/arnaou/checkpoints/groupgat_Omega_trial_21_best_state.pt,"{'learning_rate': 0.0003848674697588894, 'lr_reduce': 0.6}",TPESampler,COMPLETE
22,0.06358097493648529,2025-04-25 13:57:08.664103,2025-04-25 13:58:07.815716,0 days 00:00:59.151613,0.10460378324367028,96,1,3,64,0.09052383566460555,208,1,1,96,0.17517915321754876,128,2,2,96,0.26788048498403894,320,160.0,200.0,3,2,0.00034415485650830753,0.6,/work3/arnaou/checkpoints/groupgat_Omega_trial_22_best_state.pt,"{'learning_rate': 0.00034415485650830753, 'lr_reduce': 0.6}",TPESampler,COMPLETE
23,0.06815646588802338,2025-04-25 13:57:29.249556,2025-04-25 13:59:16.066069,0 days 00:01:46.816513,0.06570120086477224,80,1,2,80,0.03383075273390179,256,3,1,64,0.2667804397248548,96,4,3,96,0.2880719306832416,472,88.0,248.0,3,2,0.008403481061931232,0.6,/work3/arnaou/checkpoints/groupgat_Omega_trial_23_best_state.pt,"{'learning_rate': 0.008403481061931232, 'lr_reduce': 0.6}",TPESampler,COMPLETE
