number,value,datetime_start,datetime_complete,duration,params_L1_dropout,params_L1_hidden_dim,params_L1_layers_atom,params_L1_layers_mol,params_L1_out_dim,params_L2_dropout,params_L2_hidden_dim,params_L2_layers_atom,params_L2_layers_mol,params_L2_out_dim,params_L3_dropout,params_L3_hidden_dim,params_L3_layers_atom,params_L3_layers_mol,params_L3_out_dim,params_final_dropout,params_mlp_dim_0,params_mlp_dim_1,params_mlp_dim_2,params_n_mlp_layers,params_num_heads,params_train_learning_rate,params_train_lr_reduce,user_attrs_best_state_dict_path,user_attrs_training_params,system_attrs_auto:sampler,state
12,0.03138114511966705,2025-04-24 20:56:25.774420,2025-04-24 20:57:35.854438,0 days 00:01:10.080018,0.08525581167740845,96,4,4,48,0.24651566684927442,128,3,1,96,0.29037283669855884,96,2,3,32,0.17315091584225878,328,512.0,,2,2,0.007057991730779745,0.6,/work3/arnaou/checkpoints/groupgat_Vc_trial_12_best_state.pt,"{'learning_rate': 0.007057991730779745, 'lr_reduce': 0.6}",TPESampler,COMPLETE
13,0.024632161483168602,2025-04-24 20:56:42.855887,2025-04-24 20:58:32.161673,0 days 00:01:49.305786,0.1303430854503811,128,4,2,64,0.06223667223491525,192,4,2,80,0.057152671760415996,112,2,4,96,0.12886392099538208,384,48.0,,2,1,0.006374375616054723,0.6,/work3/arnaou/checkpoints/groupgat_Vc_trial_13_best_state.pt,"{'learning_rate': 0.006374375616054723, 'lr_reduce': 0.6}",TPESampler,COMPLETE
14,0.01644827611744404,2025-04-24 20:56:46.160672,2025-04-24 20:58:08.978403,0 days 00:01:22.817731,0.013892875246374309,208,3,3,64,0.16176865437089016,160,3,1,64,0.08078728219549369,112,2,3,64,0.1254430835991738,144,224.0,320.0,3,1,0.007593836668870363,0.6,/work3/arnaou/checkpoints/groupgat_Vc_trial_14_best_state.pt,"{'learning_rate': 0.007593836668870363, 'lr_reduce': 0.6}",TPESampler,COMPLETE
15,0.01729353703558445,2025-04-24 20:57:36.038722,2025-04-24 20:59:07.216225,0 days 00:01:31.177503,0.1270151147617668,240,3,3,112,0.06410439276728967,240,4,1,32,0.02952894731091445,80,3,3,64,0.16638469645251347,416,288.0,504.0,3,1,0.008767767442625734,0.6,/work3/arnaou/checkpoints/groupgat_Vc_trial_15_best_state.pt,"{'learning_rate': 0.008767767442625734, 'lr_reduce': 0.6}",TPESampler,COMPLETE
16,0.01129059586673975,2025-04-24 20:58:09.332812,2025-04-24 20:59:52.290207,0 days 00:01:42.957395,0.04909021735026352,192,4,3,64,0.019499822288368482,128,4,2,64,0.1080510683713136,32,3,3,64,0.07062889844896646,432,112.0,184.0,3,2,0.006154951066770125,0.6,/work3/arnaou/checkpoints/groupgat_Vc_trial_16_best_state.pt,"{'learning_rate': 0.006154951066770125, 'lr_reduce': 0.6}",TPESampler,COMPLETE
17,0.022362614050507545,2025-04-24 20:58:32.324829,2025-04-24 21:00:24.623279,0 days 00:01:52.298450,0.05891219633924586,208,4,4,112,0.27986905191825984,96,2,2,96,0.2890679783252917,128,3,3,48,0.17916965983228628,256,256.0,,2,2,0.0007872733316602917,0.6,/work3/arnaou/checkpoints/groupgat_Vc_trial_17_best_state.pt,"{'learning_rate': 0.0007872733316602917, 'lr_reduce': 0.6}",TPESampler,COMPLETE
18,0.010702461004257202,2025-04-24 20:59:07.484445,2025-04-24 21:00:44.059301,0 days 00:01:36.574856,0.02237467094903975,208,4,3,32,0.14218117769892794,64,2,2,64,0.2838867294559992,96,2,4,80,0.2864211228464121,120,400.0,,2,2,0.004796450993528194,0.6,/work3/arnaou/checkpoints/groupgat_Vc_trial_18_best_state.pt,"{'learning_rate': 0.004796450993528194, 'lr_reduce': 0.6}",TPESampler,COMPLETE
19,0.011503621004521847,2025-04-24 20:59:52.535937,2025-04-24 21:02:04.222398,0 days 00:02:11.686461,0.15564245494527884,144,4,4,80,0.03964199571166,176,3,2,32,0.15935229066733503,48,4,3,80,0.036566491412488016,424,48.0,168.0,3,2,0.0072207491125975305,0.6,/work3/arnaou/checkpoints/groupgat_Vc_trial_19_best_state.pt,"{'learning_rate': 0.0072207491125975305, 'lr_reduce': 0.6}",TPESampler,COMPLETE
20,0.016866665333509445,2025-04-24 21:00:24.943240,2025-04-24 21:02:59.628220,0 days 00:02:34.684980,0.18360120040848005,160,4,4,48,0.07639985550580153,64,4,1,96,0.17704789924505246,128,2,2,48,0.2811719490965236,128,,,1,2,0.0012786993083269138,0.6,/work3/arnaou/checkpoints/groupgat_Vc_trial_20_best_state.pt,"{'learning_rate': 0.0012786993083269138, 'lr_reduce': 0.6}",TPESampler,COMPLETE
21,0.008342311717569828,2025-04-24 21:00:44.267923,2025-04-24 21:02:14.298044,0 days 00:01:30.030121,0.017065827519626948,208,3,3,64,0.1317590265953203,96,3,2,32,0.23833092371468603,96,1,3,80,0.26892388540611223,128,400.0,,2,2,0.003608769845140884,0.6,/work3/arnaou/checkpoints/groupgat_Vc_trial_21_best_state.pt,"{'learning_rate': 0.003608769845140884, 'lr_reduce': 0.6}",TPESampler,COMPLETE
22,0.03337555751204491,2025-04-24 21:02:04.433825,2025-04-24 21:02:57.240225,0 days 00:00:52.806400,0.005251799929075401,160,4,3,32,0.20022017772417133,96,4,2,80,0.2785484475326638,112,2,4,32,0.2628803556341251,56,416.0,48.0,3,2,0.008473546791407134,0.6,/work3/arnaou/checkpoints/groupgat_Vc_trial_22_best_state.pt,"{'learning_rate': 0.008473546791407134, 'lr_reduce': 0.6}",TPESampler,COMPLETE
23,0.011889148503541946,2025-04-24 21:02:14.456828,2025-04-24 21:04:08.037387,0 days 00:01:53.580559,0.07725527523626591,224,3,3,32,0.2286036747198134,128,3,2,32,0.26578454437544546,96,2,3,96,0.2688561002580681,240,,,1,1,0.0031268769645346325,0.6,/work3/arnaou/checkpoints/groupgat_Vc_trial_23_best_state.pt,"{'learning_rate': 0.0031268769645346325, 'lr_reduce': 0.6}",TPESampler,COMPLETE
24,0.12400909513235092,2025-04-24 21:02:57.484850,2025-04-24 21:04:22.366702,0 days 00:01:24.881852,0.07879406893226591,176,4,3,64,0.16666627638687934,64,3,3,32,0.1293167735387154,112,1,3,112,0.19783070737834857,72,400.0,,2,2,0.0011458617166068283,0.6,/work3/arnaou/checkpoints/groupgat_Vc_trial_24_best_state.pt,"{'learning_rate': 0.0011458617166068283, 'lr_reduce': 0.6}",TPESampler,COMPLETE
25,0.020082630217075348,2025-04-24 21:02:59.866505,2025-04-24 21:06:10.336071,0 days 00:03:10.469566,0.03258353955878138,208,4,2,32,0.21922051799368353,80,1,1,64,0.216722299209719,128,3,4,96,0.2934841698307577,144,432.0,,2,2,0.005311075405459789,0.6,/work3/arnaou/checkpoints/groupgat_Vc_trial_25_best_state.pt,"{'learning_rate': 0.005311075405459789, 'lr_reduce': 0.6}",TPESampler,COMPLETE
26,0.00995856337249279,2025-04-24 21:04:08.275358,2025-04-24 21:06:46.589224,0 days 00:02:38.313866,0.011528929776555258,192,3,3,64,0.03201886135523613,160,2,2,80,0.2802131311424271,96,3,4,80,0.2716193241451373,264,512.0,,2,2,0.0035990328500287425,0.6,/work3/arnaou/checkpoints/groupgat_Vc_trial_26_best_state.pt,"{'learning_rate': 0.0035990328500287425, 'lr_reduce': 0.6}",TPESampler,COMPLETE
27,0.013748248107731342,2025-04-24 21:04:22.562106,2025-04-24 21:06:12.158087,0 days 00:01:49.595981,0.0032075798388920673,224,2,3,80,0.14282237369995643,144,3,3,64,0.26045112209358384,64,1,3,128,0.27593053932786027,168,352.0,264.0,3,2,0.003955157285458219,0.6,/work3/arnaou/checkpoints/groupgat_Vc_trial_27_best_state.pt,"{'learning_rate': 0.003955157285458219, 'lr_reduce': 0.6}",TPESampler,COMPLETE
28,0.017354154959321022,2025-04-24 21:06:10.493252,2025-04-24 21:07:30.738006,0 days 00:01:20.244754,0.14119699115051632,128,3,3,80,0.24026292595966214,112,3,2,96,0.2331656071302261,112,2,4,112,0.24771408111069715,184,416.0,32.0,3,2,0.0038434331585523213,0.6,/work3/arnaou/checkpoints/groupgat_Vc_trial_28_best_state.pt,"{'learning_rate': 0.0038434331585523213, 'lr_reduce': 0.6}",TPESampler,COMPLETE
29,0.010988381691277027,2025-04-24 21:06:12.343773,2025-04-24 21:07:34.383651,0 days 00:01:22.039878,0.05590137482587275,256,3,3,32,0.14768021417568694,96,3,3,48,0.2006334040595564,96,2,4,64,0.21888179549817588,88,512.0,,2,2,0.004226750231800138,0.6,/work3/arnaou/checkpoints/groupgat_Vc_trial_29_best_state.pt,"{'learning_rate': 0.004226750231800138, 'lr_reduce': 0.6}",TPESampler,COMPLETE
30,0.018140483647584915,2025-04-24 21:06:46.764833,2025-04-24 21:08:29.043520,0 days 00:01:42.278687,0.07467865183885421,160,3,3,48,0.05103082292734111,144,1,2,112,0.2731188036472025,96,3,4,80,0.19333305622084096,344,336.0,,2,2,0.008161184259111201,0.6,/work3/arnaou/checkpoints/groupgat_Vc_trial_30_best_state.pt,"{'learning_rate': 0.008161184259111201, 'lr_reduce': 0.6}",TPESampler,COMPLETE
31,0.025992905721068382,2025-04-24 21:07:30.950387,2025-04-24 21:09:24.863909,0 days 00:01:53.913522,0.0843238118654932,240,4,4,64,0.10529106786764018,64,2,1,32,0.20122167080380932,80,1,3,80,0.23683278605113378,192,416.0,,2,2,0.007843873665587541,0.6,/work3/arnaou/checkpoints/groupgat_Vc_trial_31_best_state.pt,"{'learning_rate': 0.007843873665587541, 'lr_reduce': 0.6}",TPESampler,COMPLETE
32,0.01538759097456932,2025-04-24 21:07:34.863306,2025-04-24 21:09:02.344057,0 days 00:01:27.480751,0.023649214424116136,176,3,4,48,0.01961355211390481,224,3,2,64,0.2704557806154854,64,4,4,80,0.28703451828151166,368,416.0,,2,1,0.0031939854698371816,0.6,/work3/arnaou/checkpoints/groupgat_Vc_trial_32_best_state.pt,"{'learning_rate': 0.0031939854698371816, 'lr_reduce': 0.6}",TPESampler,COMPLETE
