number,value,datetime_start,datetime_complete,duration,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_splitter,system_attrs_auto:sampler,state
35,0.5547152952683243,2025-04-24 21:00:42.531686,2025-04-24 21:00:43.477785,0 days 00:00:00.946099,absolute_error,34,sqrt,1,5,best,TPESampler,COMPLETE
36,0.49169508102649473,2025-04-24 21:00:42.630554,2025-04-24 21:00:43.470481,0 days 00:00:00.839927,absolute_error,35,sqrt,1,10,best,TPESampler,COMPLETE
37,0.527095195161029,2025-04-24 21:00:43.134814,2025-04-24 21:00:44.119060,0 days 00:00:00.984246,absolute_error,26,sqrt,1,13,best,TPESampler,COMPLETE
38,0.6181570352809064,2025-04-24 21:00:43.819632,2025-04-24 21:00:44.704772,0 days 00:00:00.885140,absolute_error,25,log2,1,11,best,TPESampler,COMPLETE
39,0.577329743784586,2025-04-24 21:00:43.893516,2025-04-24 21:00:44.768162,0 days 00:00:00.874646,absolute_error,33,sqrt,1,12,best,TPESampler,COMPLETE
40,0.5291285065517722,2025-04-24 21:00:44.455663,2025-04-24 21:00:45.060020,0 days 00:00:00.604357,absolute_error,24,sqrt,1,12,best,TPESampler,COMPLETE
41,0.7955470831118738,2025-04-24 21:00:44.937178,2025-04-24 21:00:45.957529,0 days 00:00:01.020351,absolute_error,16,sqrt,3,12,random,TPESampler,COMPLETE
42,0.7109433928180021,2025-04-24 21:00:44.995258,2025-04-24 21:00:45.793531,0 days 00:00:00.798273,absolute_error,17,sqrt,1,11,best,TPESampler,COMPLETE
43,0.8106497546097036,2025-04-24 21:00:45.360800,2025-04-24 21:00:46.185281,0 days 00:00:00.824481,absolute_error,33,sqrt,4,10,random,TPESampler,COMPLETE
44,0.5490998648977673,2025-04-24 21:00:46.083970,2025-04-24 21:00:46.880727,0 days 00:00:00.796757,absolute_error,25,sqrt,1,12,best,TPESampler,COMPLETE
45,0.6160120733511538,2025-04-24 21:00:46.138928,2025-04-24 21:00:47.000780,0 days 00:00:00.861852,absolute_error,25,sqrt,3,11,best,TPESampler,COMPLETE
46,0.632124222957233,2025-04-24 21:00:46.558023,2025-04-24 21:00:47.361862,0 days 00:00:00.803839,absolute_error,32,log2,1,5,best,TPESampler,COMPLETE
47,0.7397311344246429,2025-04-24 21:00:47.078403,2025-04-24 21:00:47.766234,0 days 00:00:00.687831,absolute_error,25,sqrt,1,17,random,TPESampler,COMPLETE
48,0.7432319216441641,2025-04-24 21:00:47.297242,2025-04-24 21:00:48.020970,0 days 00:00:00.723728,squared_error,35,log2,2,10,best,TPESampler,COMPLETE
49,0.48350783172535233,2025-04-24 21:00:47.611225,2025-04-24 21:00:48.372874,0 days 00:00:00.761649,squared_error,34,sqrt,1,7,best,TPESampler,COMPLETE
50,0.482024331116523,2025-04-24 21:00:48.028250,2025-04-24 21:00:48.700428,0 days 00:00:00.672178,absolute_error,35,sqrt,1,9,best,TPESampler,COMPLETE
51,0.8172868600673935,2025-04-24 21:00:48.309468,2025-04-24 21:00:49.051117,0 days 00:00:00.741649,absolute_error,28,log2,1,11,random,TPESampler,COMPLETE
52,0.6265479990281826,2025-04-24 21:00:48.617460,2025-04-24 21:00:49.350725,0 days 00:00:00.733265,squared_error,28,sqrt,2,4,best,TPESampler,COMPLETE
53,0.5085726818050148,2025-04-24 21:00:48.944996,2025-04-24 21:00:49.738223,0 days 00:00:00.793227,squared_error,34,sqrt,1,9,best,TPESampler,COMPLETE
