number,value,datetime_start,datetime_complete,duration,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_splitter,system_attrs_auto:sampler,state
35,0.6408021405408113,2025-04-24 21:00:49.690269,2025-04-24 21:00:50.570614,0 days 00:00:00.880345,squared_error,25,sqrt,2,19,best,TPESampler,COMPLETE
36,0.4646442062482263,2025-04-24 21:00:49.764667,2025-04-24 21:00:50.634512,0 days 00:00:00.869845,squared_error,35,log2,1,3,best,TPESampler,COMPLETE
37,0.8876713258154219,2025-04-24 21:00:50.160098,2025-04-24 21:00:50.913559,0 days 00:00:00.753461,friedman_mse,10,sqrt,6,19,best,TPESampler,COMPLETE
38,0.6699817572771019,2025-04-24 21:00:50.778915,2025-04-24 21:00:51.644900,0 days 00:00:00.865985,squared_error,31,log2,1,3,best,TPESampler,COMPLETE
39,0.4605209589836094,2025-04-24 21:00:50.848399,2025-04-24 21:00:51.720725,0 days 00:00:00.872326,squared_error,35,log2,1,2,best,TPESampler,COMPLETE
40,0.9116704775858039,2025-04-24 21:00:51.216727,2025-04-24 21:00:51.979557,0 days 00:00:00.762830,friedman_mse,23,sqrt,2,19,random,TPESampler,COMPLETE
41,0.9494322793442198,2025-04-24 21:00:51.866824,2025-04-24 21:00:52.648388,0 days 00:00:00.781564,squared_error,28,log2,4,4,best,TPESampler,COMPLETE
42,0.919849525624737,2025-04-24 21:00:51.941794,2025-04-24 21:00:52.838998,0 days 00:00:00.897204,squared_error,33,log2,1,3,random,TPESampler,COMPLETE
43,0.9167251506253564,2025-04-24 21:00:52.214291,2025-04-24 21:00:53.034349,0 days 00:00:00.820058,squared_error,32,log2,1,3,random,TPESampler,COMPLETE
44,0.7975493713728398,2025-04-24 21:00:52.893392,2025-04-24 21:00:53.557046,0 days 00:00:00.663654,squared_error,35,log2,2,9,best,TPESampler,COMPLETE
45,0.7975493713728398,2025-04-24 21:00:53.092454,2025-04-24 21:00:53.937706,0 days 00:00:00.845252,friedman_mse,34,log2,2,2,best,TPESampler,COMPLETE
46,0.7975493713728398,2025-04-24 21:00:53.227078,2025-04-24 21:00:54.121431,0 days 00:00:00.894353,squared_error,33,log2,3,3,best,TPESampler,COMPLETE
47,0.6187813715358572,2025-04-24 21:00:53.886387,2025-04-24 21:00:54.675578,0 days 00:00:00.789191,friedman_mse,25,sqrt,2,20,best,TPESampler,COMPLETE
48,0.7050206224878302,2025-04-24 21:00:54.197686,2025-04-24 21:00:55.024583,0 days 00:00:00.826897,absolute_error,34,log2,1,4,best,TPESampler,COMPLETE
49,0.9230363570593395,2025-04-24 21:00:54.326347,2025-04-24 21:00:55.161264,0 days 00:00:00.834917,absolute_error,20,sqrt,1,20,best,TPESampler,COMPLETE
50,0.6535365241805663,2025-04-24 21:00:54.936496,2025-04-24 21:00:55.516458,0 days 00:00:00.579962,squared_error,29,sqrt,2,2,best,TPESampler,COMPLETE
51,0.8913351576037826,2025-04-24 21:00:55.265649,2025-04-24 21:00:55.975535,0 days 00:00:00.709886,friedman_mse,23,sqrt,3,9,best,TPESampler,COMPLETE
52,0.6682481592170211,2025-04-24 21:00:55.406463,2025-04-24 21:00:56.169926,0 days 00:00:00.763463,squared_error,31,log2,1,2,best,TPESampler,COMPLETE
53,0.9347481389709953,2025-04-24 21:00:55.912937,2025-04-24 21:00:56.536329,0 days 00:00:00.623392,squared_error,19,sqrt,8,17,random,TPESampler,COMPLETE
54,0.921490865991525,2025-04-24 21:00:56.216782,2025-04-24 21:00:56.976891,0 days 00:00:00.760109,squared_error,11,sqrt,5,2,random,TPESampler,COMPLETE
55,0.4605209589836094,2025-04-24 21:00:56.430202,2025-04-24 21:00:57.157218,0 days 00:00:00.727016,squared_error,35,log2,1,2,best,TPESampler,COMPLETE
56,0.46337395013381627,2025-04-24 21:00:56.906078,2025-04-24 21:00:57.775379,0 days 00:00:00.869301,squared_error,35,log2,1,4,best,TPESampler,COMPLETE
57,0.8909138482452268,2025-04-24 21:00:57.193777,2025-04-24 21:00:57.949955,0 days 00:00:00.756178,squared_error,26,sqrt,4,7,best,TPESampler,COMPLETE
58,0.9993409537053991,2025-04-24 21:00:57.365008,2025-04-24 21:00:58.287917,0 days 00:00:00.922909,absolute_error,3,sqrt,8,15,random,TPESampler,COMPLETE
59,0.44670023329729247,2025-04-24 21:00:58.112927,2025-04-24 21:00:58.817878,0 days 00:00:00.704951,squared_error,35,log2,1,7,best,TPESampler,COMPLETE
60,0.6546761103714271,2025-04-24 21:00:58.201589,2025-04-24 21:00:58.995624,0 days 00:00:00.794035,friedman_mse,13,sqrt,1,17,best,TPESampler,COMPLETE
61,0.7975493713728398,2025-04-24 21:00:58.528991,2025-04-24 21:00:59.170511,0 days 00:00:00.641520,squared_error,35,log2,2,2,best,TPESampler,COMPLETE
