number,value,datetime_start,datetime_complete,duration,params_C,params_epsilon,params_gamma,params_kernel,system_attrs_auto:sampler,state
27,0.3076806548061951,2025-04-24 20:59:08.815635,2025-04-24 20:59:09.263216,0 days 00:00:00.447581,50.7379456175405,0.00557723204335659,0.00932347873089435,rbf,TPESampler,COMPLETE
28,0.3204912463658254,2025-04-24 20:59:09.430361,2025-04-24 20:59:09.892425,0 days 00:00:00.462064,5.621371381417771,0.11245975702825563,0.07277696932391603,rbf,TPESampler,COMPLETE
29,0.48402638268469833,2025-04-24 20:59:10.060423,2025-04-24 20:59:10.480344,0 days 00:00:00.419921,72.0736669796415,0.005229394911791172,0.0005947841372213058,rbf,TPESampler,COMPLETE
30,0.8799879707857283,2025-04-24 20:59:10.635305,2025-04-24 20:59:11.320559,0 days 00:00:00.685254,0.7021064047378093,0.05046720192583861,0.10223673453678514,poly,TPESampler,COMPLETE
31,0.973590623004948,2025-04-24 20:59:11.480726,2025-04-24 20:59:11.945028,0 days 00:00:00.464302,0.002921444036155133,0.0010179238518482367,0.008861197206542618,rbf,TPESampler,COMPLETE
32,0.3599919415274943,2025-04-24 20:59:12.104964,2025-04-24 20:59:12.628030,0 days 00:00:00.523066,1.6827617925955338,0.04582610319694448,0.7413225376703699,linear,TPESampler,COMPLETE
33,0.30319033714137106,2025-04-24 20:59:12.781614,2025-04-24 20:59:13.255712,0 days 00:00:00.474098,48.98078489291466,0.004920129420254892,0.019167554313703768,rbf,TPESampler,COMPLETE
34,0.3031388153190781,2025-04-24 20:59:13.415343,2025-04-24 20:59:13.920809,0 days 00:00:00.505466,31.761545391477334,0.014558774961716038,0.022085679842155294,rbf,TPESampler,COMPLETE
35,0.28911666089588844,2025-04-24 20:59:13.880467,2025-04-24 20:59:14.479656,0 days 00:00:00.599189,98.66146916521016,0.007715417166323405,0.02506588710422558,rbf,TPESampler,COMPLETE
36,29.892096669183573,2025-04-24 20:59:14.092758,2025-04-24 20:59:14.607060,0 days 00:00:00.514302,6.288881353312009,0.08109633152049572,0.025547644351467683,sigmoid,TPESampler,COMPLETE
37,0.3757783760753189,2025-04-24 20:59:14.653965,2025-04-24 20:59:15.448372,0 days 00:00:00.794407,30.776445837386703,0.02694292728231693,0.0043524344917050305,rbf,TPESampler,COMPLETE
38,0.2894246315791451,2025-04-24 20:59:14.776919,2025-04-24 20:59:15.653934,0 days 00:00:00.877015,88.87482994555972,0.011281120748006452,0.02322646307467653,rbf,TPESampler,COMPLETE
39,0.29618884724300815,2025-04-24 20:59:15.623498,2025-04-24 20:59:16.113444,0 days 00:00:00.489946,30.140931555994136,0.019681640050341828,0.07224578934117187,rbf,TPESampler,COMPLETE
40,0.29160043474862496,2025-04-24 20:59:15.839958,2025-04-24 20:59:16.335057,0 days 00:00:00.495099,83.3755918984149,0.02443512849728832,0.016165144462320417,rbf,TPESampler,COMPLETE
41,124.8807679758347,2025-04-24 20:59:16.277829,2025-04-24 20:59:16.733771,0 days 00:00:00.455942,17.059210179222056,0.6224175479576773,0.9714013631761935,sigmoid,TPESampler,COMPLETE
