number,value,datetime_start,datetime_complete,duration,params_C,params_epsilon,params_gamma,params_kernel,system_attrs_auto:sampler,state
27,0.391142676989122,2025-04-24 20:59:32.651617,2025-04-24 20:59:33.102210,0 days 00:00:00.450593,3.9469605198154993,0.3822300005035746,0.14615854139493292,rbf,TPESampler,COMPLETE
28,0.2878175578227839,2025-04-24 20:59:33.068826,2025-04-24 20:59:33.679576,0 days 00:00:00.610750,54.9145164403378,0.06026245958059586,0.02140997682895635,rbf,TPESampler,COMPLETE
29,0.2735215707086652,2025-04-24 20:59:33.348912,2025-04-24 20:59:33.924605,0 days 00:00:00.575693,4.081356617658129,0.01450739270054955,0.14467828606175348,rbf,TPESampler,COMPLETE
30,0.306616664163764,2025-04-24 20:59:33.854640,2025-04-24 20:59:34.677047,0 days 00:00:00.822407,90.32254947818228,0.0074333901021770565,0.11886668320150626,rbf,TPESampler,COMPLETE
31,0.32978596595261167,2025-04-24 20:59:34.099442,2025-04-24 20:59:34.636527,0 days 00:00:00.537085,14.128579142483884,0.03529205424833209,0.0060795502215974725,rbf,TPESampler,COMPLETE
32,0.34434848935238893,2025-04-24 20:59:34.742407,2025-04-24 20:59:35.474777,0 days 00:00:00.732370,14.781904580254855,0.02878965877338571,0.0038823264824406492,rbf,TPESampler,COMPLETE
33,0.30852828303485874,2025-04-24 20:59:34.806105,2025-04-24 20:59:35.763068,0 days 00:00:00.956963,68.50725726022964,0.004864723567872446,0.10862053179478123,rbf,TPESampler,COMPLETE
34,0.300808365269551,2025-04-24 20:59:35.640425,2025-04-24 20:59:36.713712,0 days 00:00:01.073287,88.78922011544628,0.0012696273267163703,0.06912188667733861,rbf,TPESampler,COMPLETE
35,0.3351626354706896,2025-04-24 20:59:35.917060,2025-04-24 20:59:36.475326,0 days 00:00:00.558266,3.110498435226635,0.008691089868307857,0.3475311162411266,rbf,TPESampler,COMPLETE
36,1137.750669516464,2025-04-24 20:59:36.631302,2025-04-24 20:59:37.131550,0 days 00:00:00.500248,55.51956309475804,0.005587498070508779,0.14685223322722338,sigmoid,TPESampler,COMPLETE
37,0.29521970955975635,2025-04-24 20:59:36.889589,2025-04-24 20:59:37.600450,0 days 00:00:00.710861,26.239845045285993,0.0010620959086644485,0.12716054845683497,rbf,TPESampler,COMPLETE
38,0.3182716055193816,2025-04-24 20:59:37.304266,2025-04-24 20:59:38.044834,0 days 00:00:00.740568,62.51541556607709,0.0012502397813761927,0.008263087802613065,rbf,TPESampler,COMPLETE
39,0.9684642708305499,2025-04-24 20:59:37.773444,2025-04-24 20:59:38.246721,0 days 00:00:00.473277,0.4516735789004377,0.2149120430982933,0.00013440340031928147,poly,TPESampler,COMPLETE
40,0.42978244230620566,2025-04-24 20:59:38.222109,2025-04-24 20:59:38.844754,0 days 00:00:00.622645,0.3847833945642167,0.0014465668437536026,0.11946098706988846,linear,TPESampler,COMPLETE
41,0.7875317000962634,2025-04-24 20:59:38.387409,2025-04-24 21:12:19.198001,0 days 00:12:40.810592,15.942103838752075,0.0010729453832144513,0.06146525457967322,poly,TPESampler,COMPLETE
42,0.31671625383736485,2025-04-24 20:59:39.017294,2025-04-24 20:59:39.578976,0 days 00:00:00.561682,6.6139430437555875,0.0015763194957367388,0.26861631860568613,rbf,TPESampler,COMPLETE
43,0.39328052565021965,2025-04-24 20:59:39.738057,2025-04-24 20:59:40.266700,0 days 00:00:00.528643,61.914520543232705,0.0010307609765613523,0.5150250183712003,rbf,TPESampler,COMPLETE
44,0.28940705052022697,2025-04-24 20:59:40.430481,2025-04-24 20:59:41.238952,0 days 00:00:00.808471,60.17732317056626,0.014204961000394395,0.031304560225325614,rbf,TPESampler,COMPLETE
45,0.2807380524963104,2025-04-24 20:59:41.410566,2025-04-24 20:59:42.013007,0 days 00:00:00.602441,47.07871686214007,0.042995754398360196,0.052982870762800026,rbf,TPESampler,COMPLETE
46,0.5044068504615367,2025-04-24 20:59:42.185823,2025-04-24 20:59:57.578967,0 days 00:00:15.393144,43.0313498275725,0.014946038531259559,0.05065427629975625,linear,TPESampler,COMPLETE
47,0.2758210586274241,2025-04-24 20:59:57.759533,2025-04-24 20:59:58.332844,0 days 00:00:00.573311,31.43311085846916,0.04899486419101591,0.0361023310958769,rbf,TPESampler,COMPLETE
48,0.2791358762911244,2025-04-24 20:59:58.503674,2025-04-24 20:59:59.017972,0 days 00:00:00.514298,42.115011002757804,0.11566065999744396,0.044554379631135864,rbf,TPESampler,COMPLETE
49,0.29035706023967794,2025-04-24 20:59:59.180083,2025-04-24 20:59:59.663398,0 days 00:00:00.483315,27.34009329413086,0.1391542640725048,0.028371940607685213,rbf,TPESampler,COMPLETE
50,0.48646017572834793,2025-04-24 20:59:59.839365,2025-04-24 21:00:16.712637,0 days 00:00:16.873272,70.81799587413838,0.10796068995311242,0.02345135396373432,linear,TPESampler,COMPLETE
51,0.31331731594478124,2025-04-24 21:00:16.877009,2025-04-24 21:00:17.380412,0 days 00:00:00.503403,1.9057319609604297,0.039308770276900426,0.030684531770960023,rbf,TPESampler,COMPLETE
52,0.2698749879198482,2025-04-24 21:00:17.544577,2025-04-24 21:00:18.124112,0 days 00:00:00.579535,21.054997364755046,0.039652186517931585,0.04111537777946816,rbf,TPESampler,COMPLETE
53,1.1440633594554972,2025-04-24 21:00:18.344543,2025-04-24 21:28:39.850638,0 days 00:28:21.506095,20.622556088308908,0.02993864119806934,0.14555317525717332,poly,TPESampler,COMPLETE
54,0.30023000225185414,2025-04-24 21:12:19.444066,2025-04-24 21:12:19.966133,0 days 00:00:00.522067,81.18622461992608,0.19499287923705677,0.023142429829119477,rbf,TPESampler,COMPLETE
55,0.2741235449417632,2025-04-24 21:12:20.132548,2025-04-24 21:12:20.657831,0 days 00:00:00.525283,6.555473780736532,0.055804847386022954,0.041035009493640785,rbf,TPESampler,COMPLETE
56,0.5834489150579623,2025-04-24 21:12:20.827940,2025-04-24 21:12:21.351901,0 days 00:00:00.523961,0.0025674285990505584,0.026014556990834548,0.00013523466659690777,linear,TPESampler,COMPLETE
57,0.650511196815095,2025-04-24 21:12:21.506197,2025-04-24 21:12:22.714564,0 days 00:00:01.208367,58.9872110637018,0.051869953888354185,0.0077095124126008085,poly,TPESampler,COMPLETE
58,0.26573347482324405,2025-04-24 21:12:22.909642,2025-04-24 21:12:23.523704,0 days 00:00:00.614062,8.634982045482882,0.03377184049573575,0.06943452815159772,rbf,TPESampler,COMPLETE
59,114.18737783596502,2025-04-24 21:12:23.703756,2025-04-24 21:12:24.221280,0 days 00:00:00.517524,4.961829063332367,0.04942761089999703,0.07298508603858149,sigmoid,TPESampler,COMPLETE
60,0.6624304996868607,2025-04-24 21:12:24.386154,2025-04-24 21:12:24.914641,0 days 00:00:00.528487,9.498120704509553,0.006432340383662145,0.00010524835348869604,sigmoid,TPESampler,COMPLETE
61,0.26651765958794466,2025-04-24 21:12:25.081749,2025-04-24 21:12:25.661144,0 days 00:00:00.579395,3.990053497083777,0.01894846094589895,0.10563983790481439,rbf,TPESampler,COMPLETE
62,0.3606051315808253,2025-04-24 21:12:25.841437,2025-04-24 21:12:26.391110,0 days 00:00:00.549673,1.0938389235719448,0.009096858082283898,0.02088072482799886,rbf,TPESampler,COMPLETE
63,0.2999373050037154,2025-04-24 21:12:26.568164,2025-04-24 21:12:27.204218,0 days 00:00:00.636054,1.2627657217996524,0.0363296695606594,0.16408035576869492,rbf,TPESampler,COMPLETE
64,0.3588273432276794,2025-04-24 21:12:27.383307,2025-04-24 21:12:27.936563,0 days 00:00:00.553256,18.223512247810604,0.030285869926565484,0.3903072818923073,rbf,TPESampler,COMPLETE
65,0.26625549658527176,2025-04-24 21:12:28.119150,2025-04-24 21:12:28.722745,0 days 00:00:00.603595,7.162628958875891,0.025412361463267075,0.09641886679435209,rbf,TPESampler,COMPLETE
66,0.9231110501335767,2025-04-24 21:12:28.921796,2025-04-24 21:20:52.069107,0 days 00:08:23.147311,0.33490804464198654,0.005959069914723641,0.29193603451022726,poly,TPESampler,COMPLETE
67,0.26746298551959213,2025-04-24 21:20:52.246765,2025-04-24 21:20:52.837705,0 days 00:00:00.590940,7.255981481315677,0.016336177755589137,0.10688619085049245,rbf,TPESampler,COMPLETE
68,0.29940906211845547,2025-04-24 21:20:53.002436,2025-04-24 21:20:53.519951,0 days 00:00:00.517515,1.0887767830030062,0.014530426336991989,0.1440187760433799,rbf,TPESampler,COMPLETE
69,14.830145500873193,2025-04-24 21:20:53.678581,2025-04-24 21:20:54.184531,0 days 00:00:00.505950,0.786413045158481,0.004713900613092898,0.030742409225904325,sigmoid,TPESampler,COMPLETE
70,0.2658835234541066,2025-04-24 21:20:54.351404,2025-04-24 21:20:54.900904,0 days 00:00:00.549500,6.970284108424937,0.03210189096219297,0.06158726573065027,rbf,TPESampler,COMPLETE
71,0.8247893384416523,2025-04-24 21:20:55.075395,2025-04-24 21:20:55.618969,0 days 00:00:00.543574,0.031831737822771954,0.005577094171641289,0.4276239437266655,rbf,TPESampler,COMPLETE
72,0.9548410208874889,2025-04-24 21:20:55.793737,2025-04-24 21:20:56.340472,0 days 00:00:00.546735,0.012449581055569646,0.0018287798694966682,0.00012924858167897188,rbf,TPESampler,COMPLETE
73,0.26870816717083135,2025-04-24 21:20:56.504673,2025-04-24 21:20:57.073618,0 days 00:00:00.568945,8.136220184511787,0.02219416878616633,0.054764063401771305,rbf,TPESampler,COMPLETE
74,0.26851436665868267,2025-04-24 21:20:57.230859,2025-04-24 21:20:57.801583,0 days 00:00:00.570724,4.770100029033287,0.020010576062545807,0.11626817052010521,rbf,TPESampler,COMPLETE
