number,value,datetime_start,datetime_complete,duration,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_splitter,system_attrs_auto:sampler,state
35,0.7049168081040487,2025-04-24 21:00:35.398285,2025-04-24 21:00:36.130470,0 days 00:00:00.732185,squared_error,27,sqrt,2,12,random,TPESampler,COMPLETE
36,0.6615058255818821,2025-04-24 21:00:35.507728,2025-04-24 21:00:36.329015,0 days 00:00:00.821287,squared_error,32,sqrt,2,15,random,TPESampler,COMPLETE
37,0.6943121931815914,2025-04-24 21:00:36.075311,2025-04-24 21:00:36.713198,0 days 00:00:00.637887,friedman_mse,35,log2,2,16,best,TPESampler,COMPLETE
38,0.9962502283466568,2025-04-24 21:00:36.390472,2025-04-24 21:00:37.046749,0 days 00:00:00.656277,squared_error,33,log2,6,15,random,TPESampler,COMPLETE
39,0.5850611944576458,2025-04-24 21:00:36.654638,2025-04-24 21:00:37.485121,0 days 00:00:00.830483,absolute_error,33,sqrt,3,16,best,TPESampler,COMPLETE
40,0.6080739943014954,2025-04-24 21:00:37.002645,2025-04-24 21:00:37.747227,0 days 00:00:00.744582,friedman_mse,35,sqrt,1,10,random,TPESampler,COMPLETE
41,0.6108844305993476,2025-04-24 21:00:37.317053,2025-04-24 21:00:38.126402,0 days 00:00:00.809349,absolute_error,35,sqrt,3,16,best,TPESampler,COMPLETE
42,0.7232416036747522,2025-04-24 21:00:37.799114,2025-04-24 21:00:38.476798,0 days 00:00:00.677684,absolute_error,25,log2,2,18,best,TPESampler,COMPLETE
43,0.9585835621537486,2025-04-24 21:00:38.030550,2025-04-24 21:00:38.781826,0 days 00:00:00.751276,absolute_error,5,sqrt,2,19,best,TPESampler,COMPLETE
44,0.9482326291575534,2025-04-24 21:00:38.362265,2025-04-24 21:00:39.086595,0 days 00:00:00.724330,squared_error,29,log2,1,14,random,TPESampler,COMPLETE
45,0.7150183055863607,2025-04-24 21:00:38.690872,2025-04-24 21:00:39.425139,0 days 00:00:00.734267,squared_error,33,sqrt,3,16,best,TPESampler,COMPLETE
46,0.6303303204719402,2025-04-24 21:00:39.040373,2025-04-24 21:00:39.854731,0 days 00:00:00.814358,absolute_error,30,sqrt,1,11,best,TPESampler,COMPLETE
47,0.9732829950945884,2025-04-24 21:00:39.380988,2025-04-24 21:00:40.152825,0 days 00:00:00.771837,absolute_error,33,log2,4,11,best,TPESampler,COMPLETE
48,0.6031643544199893,2025-04-24 21:00:39.728459,2025-04-24 21:00:40.603358,0 days 00:00:00.874899,squared_error,31,sqrt,1,10,random,TPESampler,COMPLETE
49,0.6893613079905405,2025-04-24 21:00:40.155696,2025-04-24 21:00:40.929930,0 days 00:00:00.774234,absolute_error,25,sqrt,4,20,best,TPESampler,COMPLETE
50,0.6029430312616197,2025-04-24 21:00:40.500350,2025-04-24 21:00:41.277709,0 days 00:00:00.777359,squared_error,32,sqrt,1,5,random,TPESampler,COMPLETE
51,0.675982364902162,2025-04-24 21:00:40.870741,2025-04-24 21:00:41.614647,0 days 00:00:00.743906,friedman_mse,35,sqrt,2,6,best,TPESampler,COMPLETE
52,0.6659409810363822,2025-04-24 21:00:41.224857,2025-04-24 21:00:41.964756,0 days 00:00:00.739899,squared_error,33,sqrt,2,2,random,TPESampler,COMPLETE
53,0.6739241387721318,2025-04-24 21:00:41.571448,2025-04-24 21:00:42.429764,0 days 00:00:00.858316,squared_error,27,sqrt,2,8,random,TPESampler,COMPLETE
54,0.6368902311899737,2025-04-24 21:00:41.846263,2025-04-24 21:00:42.709614,0 days 00:00:00.863351,squared_error,27,sqrt,1,6,random,TPESampler,COMPLETE
55,0.9928365741172522,2025-04-24 21:00:42.190051,2025-04-24 21:00:43.010288,0 days 00:00:00.820237,squared_error,9,log2,7,11,best,TPESampler,COMPLETE
56,0.7200228907845636,2025-04-24 21:00:42.706999,2025-04-24 21:00:43.343594,0 days 00:00:00.636595,friedman_mse,33,sqrt,4,14,best,TPESampler,COMPLETE
57,0.9737936641952643,2025-04-24 21:00:43.001420,2025-04-24 21:00:43.968928,0 days 00:00:00.967508,friedman_mse,25,sqrt,10,20,random,TPESampler,COMPLETE
58,0.9928365741172522,2025-04-24 21:00:43.198072,2025-04-24 21:00:44.150910,0 days 00:00:00.952838,squared_error,26,log2,8,2,best,TPESampler,COMPLETE
59,0.9261146242179444,2025-04-24 21:00:43.910537,2025-04-24 21:00:44.674721,0 days 00:00:00.764184,absolute_error,2,sqrt,6,6,best,TPESampler,COMPLETE
60,0.9601928051021433,2025-04-24 21:00:44.268306,2025-04-24 21:00:44.965291,0 days 00:00:00.696985,absolute_error,5,sqrt,2,10,random,TPESampler,COMPLETE
61,0.6672753968898228,2025-04-24 21:00:44.521514,2025-04-24 21:00:45.273038,0 days 00:00:00.751524,squared_error,35,sqrt,2,8,random,TPESampler,COMPLETE
62,0.9975432579877402,2025-04-24 21:00:44.943585,2025-04-24 21:00:45.676280,0 days 00:00:00.732695,squared_error,6,log2,1,20,random,TPESampler,COMPLETE
63,0.9450547319334748,2025-04-24 21:00:45.220093,2025-04-24 21:00:46.013385,0 days 00:00:00.793292,absolute_error,32,log2,1,12,random,TPESampler,COMPLETE
64,0.5956044908740991,2025-04-24 21:00:45.542295,2025-04-24 21:00:46.331637,0 days 00:00:00.789342,squared_error,35,sqrt,1,11,random,TPESampler,COMPLETE
65,0.9738497171248582,2025-04-24 21:00:45.960524,2025-04-24 21:00:46.602804,0 days 00:00:00.642280,friedman_mse,2,sqrt,7,4,random,TPESampler,COMPLETE
66,0.6770350859320085,2025-04-24 21:00:46.208815,2025-04-24 21:00:46.925905,0 days 00:00:00.717090,friedman_mse,28,sqrt,2,12,random,TPESampler,COMPLETE
67,0.7464799534437441,2025-04-24 21:00:46.561505,2025-04-24 21:00:47.194748,0 days 00:00:00.633243,friedman_mse,29,sqrt,4,7,random,TPESampler,COMPLETE
68,0.9928365741172522,2025-04-24 21:00:46.835863,2025-04-24 21:00:47.574394,0 days 00:00:00.738531,friedman_mse,13,log2,7,18,best,TPESampler,COMPLETE
69,0.9962502283466568,2025-04-24 21:00:47.150441,2025-04-24 21:00:47.867633,0 days 00:00:00.717192,squared_error,14,log2,6,19,random,TPESampler,COMPLETE
70,0.6062383726266027,2025-04-24 21:00:47.460636,2025-04-24 21:00:48.254110,0 days 00:00:00.793474,friedman_mse,34,sqrt,1,11,best,TPESampler,COMPLETE
71,0.7785265082009343,2025-04-24 21:00:47.812325,2025-04-24 21:00:48.566036,0 days 00:00:00.753711,friedman_mse,20,log2,1,5,best,TPESampler,COMPLETE
72,0.584815607939243,2025-04-24 21:00:48.132758,2025-04-24 21:00:48.922340,0 days 00:00:00.789582,squared_error,33,sqrt,1,13,random,TPESampler,COMPLETE
