number,value,datetime_start,datetime_complete,duration,params_constant_value,params_kernel_type,params_length_scale,params_noise_level,params_nu,system_attrs_auto:sampler,state
29,0.932937497394598,2025-04-24 20:58:28.856590,2025-04-24 20:58:35.552478,0 days 00:00:06.695888,1121.4451509086527,RBF,9337.800425993633,0.01671542351838697,0.5,TPESampler,COMPLETE
30,0.26238344436827093,2025-04-24 20:58:30.794587,2025-04-24 20:58:36.581868,0 days 00:00:05.787281,894.9046864130526,Matern,26170.896109240093,0.0002233266540441877,0.5,TPESampler,COMPLETE
31,0.26238347590839556,2025-04-24 20:58:35.659759,2025-04-24 20:58:41.718321,0 days 00:00:06.058562,368.0134947828342,Matern,13950.204982862913,0.25179759056522155,0.5,TPESampler,COMPLETE
32,0.9329374977653468,2025-04-24 20:58:35.700035,2025-04-24 20:58:43.248867,0 days 00:00:07.548832,1815.2702757770048,Matern,9232.835161867271,1.0348410110626843e-06,2.5,TPESampler,COMPLETE
33,0.9928365554777514,2025-04-24 20:58:36.737265,2025-04-24 20:58:40.238336,0 days 00:00:03.501071,18024.269889388783,Matern,53748.263988932384,3.854484243482442e-06,0.5,TPESampler,COMPLETE
34,0.9329374982516351,2025-04-24 20:58:40.451655,2025-04-24 20:58:48.466268,0 days 00:00:08.014613,27414.4494192015,Matern,12364.606035321674,0.011119876125598635,2.5,TPESampler,COMPLETE
35,0.2623834748428606,2025-04-24 20:58:41.935653,2025-04-24 20:58:47.356011,0 days 00:00:05.420358,2800.9784095135014,Matern,50819.72308428748,0.030190686821599196,0.5,TPESampler,COMPLETE
36,0.9329374977458201,2025-04-24 20:58:43.484988,2025-04-24 20:58:47.076785,0 days 00:00:03.591797,1.3484231181863535,Matern,1409.4581165367285,7.967521222383537e-05,0.5,TPESampler,COMPLETE
37,0.26238309122673303,2025-04-24 20:58:47.294009,2025-04-24 20:58:52.382857,0 days 00:00:05.088848,4.514360713218883,Matern,48897.04344022795,0.14767226212925136,0.5,TPESampler,COMPLETE
38,0.2678747585344511,2025-04-24 20:58:47.578187,2025-04-24 20:58:54.179394,0 days 00:00:06.601207,44958.44708681815,Matern,9114.81420534651,0.2548641461951883,1.5,TPESampler,COMPLETE
39,0.9928002339795272,2025-04-24 20:58:48.685669,2025-04-24 20:58:52.464872,0 days 00:00:03.779203,0.0032874265711267357,RBF,0.00025075990662248914,2.5062064802397486e-09,2.5,TPESampler,COMPLETE
40,0.9329374980070372,2025-04-24 20:58:52.515592,2025-04-24 20:59:00.462040,0 days 00:00:07.946448,2.8412218076767592,Matern,7758.472212470627,0.0233232080069587,0.5,TPESampler,COMPLETE
41,0.9329374978074597,2025-04-24 20:58:52.615687,2025-04-24 20:59:00.397331,0 days 00:00:07.781644,1.0075998467310041,Matern,28387.035523708528,0.006978517668336374,2.5,TPESampler,COMPLETE
42,0.9329375134948077,2025-04-24 20:58:54.397517,2025-04-24 20:59:01.402787,0 days 00:00:07.005270,2.301340426125886,RBF,31768.689636876225,0.002059894169817883,1.5,TPESampler,COMPLETE
43,0.26238347936761147,2025-04-24 20:59:00.546422,2025-04-24 20:59:05.304084,0 days 00:00:04.757662,621.3034880390965,Matern,22472.402743299474,0.7474808046960552,0.5,TPESampler,COMPLETE
44,0.26238345680206554,2025-04-24 20:59:00.610323,2025-04-24 20:59:08.090505,0 days 00:00:07.480182,1.837647166924262e-07,Matern,0.13064859150177788,6.107229186573445e-05,0.5,TPESampler,COMPLETE
