number,value,datetime_start,datetime_complete,duration,params_L1_dropout,params_L1_hidden_dim,params_L1_layers_atom,params_L1_layers_mol,params_L1_out_dim,params_L2_dropout,params_L2_hidden_dim,params_L2_layers_atom,params_L2_layers_mol,params_L2_out_dim,params_L3_dropout,params_L3_hidden_dim,params_L3_layers_atom,params_L3_layers_mol,params_L3_out_dim,params_final_dropout,params_mlp_dim_0,params_mlp_dim_1,params_mlp_dim_2,params_n_mlp_layers,params_num_heads,params_train_learning_rate,params_train_lr_reduce,user_attrs_best_state_dict_path,user_attrs_training_params,system_attrs_auto:sampler,state
12,0.04076399654150009,2025-04-25 13:31:24.312786,2025-04-25 13:33:16.971520,0 days 00:01:52.658734,0.2559732918723976,160,3,4,48,0.1398363579526475,128,4,4,112,0.2071385767394745,64,3,1,32,0.24039345823810362,296,264.0,,2,2,0.0021485857578180845,0.6,/work3/arnaou/checkpoints/groupgat_Tc_trial_12_best_state.pt,"{'learning_rate': 0.0021485857578180845, 'lr_reduce': 0.6}",TPESampler,COMPLETE
13,0.0242990143597126,2025-04-25 13:31:35.833934,2025-04-25 13:33:27.050759,0 days 00:01:51.216825,0.13552735270426208,176,1,3,48,0.0730510233942463,96,4,1,96,0.18062652737598756,80,1,1,112,0.13057370859725861,496,,,1,1,0.001379464267445116,0.6,/work3/arnaou/checkpoints/groupgat_Tc_trial_13_best_state.pt,"{'learning_rate': 0.001379464267445116, 'lr_reduce': 0.6}",TPESampler,COMPLETE
14,0.624064564704895,2025-04-25 13:33:17.280657,2025-04-25 13:33:49.874179,0 days 00:00:32.593522,0.06162354400474867,208,3,2,48,0.07404579797145627,96,4,1,48,0.23467731801395492,112,2,1,128,0.2910142129546086,392,,,1,1,0.007796065435748038,0.6,/work3/arnaou/checkpoints/groupgat_Tc_trial_14_best_state.pt,"{'learning_rate': 0.007796065435748038, 'lr_reduce': 0.6}",TPESampler,COMPLETE
15,0.022729996591806412,2025-04-25 13:33:17.321473,2025-04-25 13:35:08.224703,0 days 00:01:50.903230,0.16721590280454524,176,1,3,80,0.0026863919916082155,176,2,4,112,0.15676548902547793,48,4,2,48,0.2968498166769788,160,,,1,2,0.0022262474909997497,0.6,/work3/arnaou/checkpoints/groupgat_Tc_trial_15_best_state.pt,"{'learning_rate': 0.0022262474909997497, 'lr_reduce': 0.6}",TPESampler,COMPLETE
16,0.026119301095604897,2025-04-25 13:33:27.188656,2025-04-25 13:35:14.715947,0 days 00:01:47.527291,0.22792195659674186,64,2,4,32,0.09256402207364624,80,3,4,96,0.12324088582080794,48,2,1,32,0.289621191381292,40,312.0,,2,1,0.0020168099208342496,0.6,/work3/arnaou/checkpoints/groupgat_Tc_trial_16_best_state.pt,"{'learning_rate': 0.0020168099208342496, 'lr_reduce': 0.6}",TPESampler,COMPLETE
17,0.02390633523464203,2025-04-25 13:33:50.077557,2025-04-25 13:35:16.233888,0 days 00:01:26.156331,0.21564047793781965,160,1,3,48,0.008913947308933584,160,4,4,112,0.1969479796992707,96,4,1,80,0.2617515546981116,88,512.0,,2,1,0.0023582995629866602,0.6,/work3/arnaou/checkpoints/groupgat_Tc_trial_17_best_state.pt,"{'learning_rate': 0.0023582995629866602, 'lr_reduce': 0.6}",TPESampler,COMPLETE
18,0.023091070353984833,2025-04-25 13:35:08.370417,2025-04-25 13:37:07.940609,0 days 00:01:59.570192,0.21248834286699508,128,3,4,32,0.07786598091722705,240,2,3,128,0.08694469054212378,48,4,1,32,0.26663774338799967,168,224.0,,2,2,0.0004277987939604967,0.6,/work3/arnaou/checkpoints/groupgat_Tc_trial_18_best_state.pt,"{'learning_rate': 0.0004277987939604967, 'lr_reduce': 0.6}",TPESampler,COMPLETE
19,0.018740355968475342,2025-04-25 13:35:14.871841,2025-04-25 13:37:14.686436,0 days 00:01:59.814595,0.05812231702070884,208,1,2,80,0.010907440142437266,80,3,2,64,0.22332660419839204,96,3,2,128,0.03808070295392202,336,40.0,,2,1,0.0042310281567582144,0.6,/work3/arnaou/checkpoints/groupgat_Tc_trial_19_best_state.pt,"{'learning_rate': 0.0042310281567582144, 'lr_reduce': 0.6}",TPESampler,COMPLETE
20,0.05193960294127464,2025-04-25 13:35:16.531848,2025-04-25 13:36:40.532644,0 days 00:01:24.000796,0.2492237028403329,144,2,3,48,0.03835231869893556,144,2,3,112,0.20501477709670113,48,2,1,64,0.16984939603270535,56,368.0,,2,2,0.0035764859438157342,0.6,/work3/arnaou/checkpoints/groupgat_Tc_trial_20_best_state.pt,"{'learning_rate': 0.0035764859438157342, 'lr_reduce': 0.6}",TPESampler,COMPLETE
21,0.03783206269145012,2025-04-25 13:36:40.668755,2025-04-25 13:38:59.500699,0 days 00:02:18.831944,0.17500968403851058,128,2,1,48,0.05236776635491197,96,4,2,128,0.27020976647833234,64,3,3,128,0.15167651715220407,464,,,1,1,0.0022898773726806386,0.6,/work3/arnaou/checkpoints/groupgat_Tc_trial_21_best_state.pt,"{'learning_rate': 0.0022898773726806386, 'lr_reduce': 0.6}",TPESampler,COMPLETE
