number,value,datetime_start,datetime_complete,duration,params_depth,params_edge_hidden_dim,params_mlp_dim_00,params_mlp_dim_01,params_mlp_dim_02,params_mlp_dim_03,params_mlp_n_layers,params_node_hidden_dim,params_rep_dropout,params_train_learning_rate,params_train_lr_reduce,user_attrs_best_state_dict_path,user_attrs_training_params,system_attrs_auto:sampler,state
86,0.4455837905406952,2025-04-26 02:24:17.028857,2025-04-26 02:24:27.038511,0 days 00:00:10.009654,3,41,127,504.0,444.0,,3,77,0.031899253648389844,0.0007528253230813755,0.6,/work3/arnaou/checkpoints/megnet_Tc_trial_86_best_state.pt,"{'learning_rate': 0.0007528253230813755, 'lr_reduce': 0.6}",TPESampler,COMPLETE
87,0.1211438924074173,2025-04-26 02:24:27.192079,2025-04-26 02:25:12.093063,0 days 00:00:44.900984,3,41,255,,,,1,77,0.030562917278998306,0.00037503180396903594,0.6,/work3/arnaou/checkpoints/megnet_Tc_trial_87_best_state.pt,"{'learning_rate': 0.00037503180396903594, 'lr_reduce': 0.6}",TPESampler,COMPLETE
88,0.21335068345069885,2025-04-26 02:24:30.841859,2025-04-26 02:24:58.735078,0 days 00:00:27.893219,3,64,470,366.0,509.0,126.0,4,88,0.025479171065900686,0.0019573635754532724,0.6,/work3/arnaou/checkpoints/megnet_Tc_trial_88_best_state.pt,"{'learning_rate': 0.0019573635754532724, 'lr_reduce': 0.6}",TPESampler,COMPLETE
89,0.7014595866203308,2025-04-26 02:24:33.144733,2025-04-26 02:24:41.751239,0 days 00:00:08.606506,2,64,472,376.0,512.0,132.0,4,43,0.08232290605362613,0.0074288487443052,0.6,/work3/arnaou/checkpoints/megnet_Tc_trial_89_best_state.pt,"{'learning_rate': 0.0074288487443052, 'lr_reduce': 0.6}",TPESampler,COMPLETE
90,0.104562908411026,2025-04-26 02:24:41.890810,2025-04-26 02:25:30.258897,0 days 00:00:48.368087,2,59,435,292.0,501.0,162.0,4,34,0.0202094770993593,0.0034949890954810263,0.6,/work3/arnaou/checkpoints/megnet_Tc_trial_90_best_state.pt,"{'learning_rate': 0.0034949890954810263, 'lr_reduce': 0.6}",TPESampler,COMPLETE
91,0.07087590545415878,2025-04-26 02:24:58.894860,2025-04-26 02:25:44.373753,0 days 00:00:45.478893,3,78,486,385.0,511.0,67.0,4,45,0.03190172394833715,0.0011859309851931137,0.6,/work3/arnaou/checkpoints/megnet_Tc_trial_91_best_state.pt,"{'learning_rate': 0.0011859309851931137, 'lr_reduce': 0.6}",TPESampler,COMPLETE
92,0.06605919450521469,2025-04-26 02:25:12.267113,2025-04-26 02:25:42.064263,0 days 00:00:29.797150,4,91,82,360.0,446.0,197.0,4,58,0.2175200955348261,0.002458818902107221,0.6,/work3/arnaou/checkpoints/megnet_Tc_trial_92_best_state.pt,"{'learning_rate': 0.002458818902107221, 'lr_reduce': 0.6}",TPESampler,COMPLETE
93,0.24534697830677032,2025-04-26 02:25:30.424336,2025-04-26 02:25:51.280973,0 days 00:00:20.856637,2,48,436,436.0,448.0,245.0,4,65,0.0013878210006724656,0.002580196055347403,0.6,/work3/arnaou/checkpoints/megnet_Tc_trial_93_best_state.pt,"{'learning_rate': 0.002580196055347403, 'lr_reduce': 0.6}",TPESampler,COMPLETE
94,0.07454744726419449,2025-04-26 02:25:42.251573,2025-04-26 02:26:35.479171,0 days 00:00:53.227598,4,79,109,342.0,436.0,187.0,4,57,0.18633121492969987,0.002354540033013891,0.6,/work3/arnaou/checkpoints/megnet_Tc_trial_94_best_state.pt,"{'learning_rate': 0.002354540033013891, 'lr_reduce': 0.6}",TPESampler,COMPLETE
95,0.7210531234741211,2025-04-26 02:25:44.545235,2025-04-26 02:25:51.938667,0 days 00:00:07.393432,4,104,64,376.0,443.0,,3,68,0.22351377383388513,0.008920026944895717,0.6,/work3/arnaou/checkpoints/megnet_Tc_trial_95_best_state.pt,"{'learning_rate': 0.008920026944895717, 'lr_reduce': 0.6}",TPESampler,COMPLETE
96,0.10162296891212463,2025-04-26 02:25:51.436620,2025-04-26 02:26:52.901704,0 days 00:01:01.465084,2,71,458,344.0,453.0,,3,61,0.023470181851443832,0.0014708014075567764,0.6,/work3/arnaou/checkpoints/megnet_Tc_trial_96_best_state.pt,"{'learning_rate': 0.0014708014075567764, 'lr_reduce': 0.6}",TPESampler,COMPLETE
97,0.4782499670982361,2025-04-26 02:25:52.085785,2025-04-26 02:26:20.565206,0 days 00:00:28.479421,3,87,439,396.0,,,2,92,0.14644507917414706,0.00017029381613174835,0.6,/work3/arnaou/checkpoints/megnet_Tc_trial_97_best_state.pt,"{'learning_rate': 0.00017029381613174835, 'lr_reduce': 0.6}",TPESampler,COMPLETE
98,0.10599775612354279,2025-04-26 02:26:20.955647,2025-04-26 02:27:06.089900,0 days 00:00:45.134253,2,101,78,,,,1,68,0.014229494419499916,0.00030482951426466,0.6,/work3/arnaou/checkpoints/megnet_Tc_trial_98_best_state.pt,"{'learning_rate': 0.00030482951426466, 'lr_reduce': 0.6}",TPESampler,COMPLETE
99,0.060926489531993866,2025-04-26 02:26:35.649332,2025-04-26 02:27:07.968667,0 days 00:00:32.319335,1,54,457,,,,1,89,0.23138136971125497,0.006355919404653491,0.6,/work3/arnaou/checkpoints/megnet_Tc_trial_99_best_state.pt,"{'learning_rate': 0.006355919404653491, 'lr_reduce': 0.6}",TPESampler,COMPLETE
100,0.4634101688861847,2025-04-26 02:26:53.075807,2025-04-26 02:27:10.627381,0 days 00:00:17.551574,4,119,135,293.0,459.0,,3,51,0.20308044574564477,0.0007731869275052855,0.6,/work3/arnaou/checkpoints/megnet_Tc_trial_100_best_state.pt,"{'learning_rate': 0.0007731869275052855, 'lr_reduce': 0.6}",TPESampler,COMPLETE
101,0.47395995259284973,2025-04-26 02:27:06.256577,2025-04-26 02:27:18.383328,0 days 00:00:12.126751,4,93,165,391.0,64.0,168.0,4,33,0.23668457578731808,0.0014413761064721931,0.6,/work3/arnaou/checkpoints/megnet_Tc_trial_101_best_state.pt,"{'learning_rate': 0.0014413761064721931, 'lr_reduce': 0.6}",TPESampler,COMPLETE
102,0.13136956095695496,2025-04-26 02:27:08.121329,2025-04-26 02:27:45.208629,0 days 00:00:37.087300,1,81,469,,,,1,103,0.21192920385836628,0.00725186403184038,0.6,/work3/arnaou/checkpoints/megnet_Tc_trial_102_best_state.pt,"{'learning_rate': 0.00725186403184038, 'lr_reduce': 0.6}",TPESampler,COMPLETE
103,0.14861701428890228,2025-04-26 02:27:10.961296,2025-04-26 02:27:40.825300,0 days 00:00:29.864004,1,48,480,,,,1,76,0.21494512908300786,0.003181361126141552,0.6,/work3/arnaou/checkpoints/megnet_Tc_trial_103_best_state.pt,"{'learning_rate': 0.003181361126141552, 'lr_reduce': 0.6}",TPESampler,COMPLETE
104,0.07655046135187149,2025-04-26 02:27:18.552153,2025-04-26 02:27:56.360917,0 days 00:00:37.808764,3,114,130,335.0,379.0,238.0,4,77,0.2026497728447565,0.0017408387800568266,0.6,/work3/arnaou/checkpoints/megnet_Tc_trial_104_best_state.pt,"{'learning_rate': 0.0017408387800568266, 'lr_reduce': 0.6}",TPESampler,COMPLETE
105,0.10906269401311874,2025-04-26 02:27:40.980305,2025-04-26 02:28:26.390391,0 days 00:00:45.410086,2,88,98,211.0,511.0,147.0,4,43,0.22098027737751688,0.003386046254278188,0.6,/work3/arnaou/checkpoints/megnet_Tc_trial_105_best_state.pt,"{'learning_rate': 0.003386046254278188, 'lr_reduce': 0.6}",TPESampler,COMPLETE
106,0.15359362959861755,2025-04-26 02:27:45.396255,2025-04-26 02:28:08.936452,0 days 00:00:23.540197,1,41,308,,,,1,84,0.2232444535596984,0.007706980975525544,0.6,/work3/arnaou/checkpoints/megnet_Tc_trial_106_best_state.pt,"{'learning_rate': 0.007706980975525544, 'lr_reduce': 0.6}",TPESampler,COMPLETE
107,0.08455813676118851,2025-04-26 02:27:56.531939,2025-04-26 02:28:36.754475,0 days 00:00:40.222536,3,72,149,409.0,395.0,228.0,4,81,0.24227542675933966,0.000798114481341151,0.6,/work3/arnaou/checkpoints/megnet_Tc_trial_107_best_state.pt,"{'learning_rate': 0.000798114481341151, 'lr_reduce': 0.6}",TPESampler,COMPLETE
108,0.4868919253349304,2025-04-26 02:28:09.088131,2025-04-26 02:28:22.648243,0 days 00:00:13.560112,4,93,145,342.0,,,2,52,0.055199121654455785,0.008861731149295277,0.6,/work3/arnaou/checkpoints/megnet_Tc_trial_108_best_state.pt,"{'learning_rate': 0.008861731149295277, 'lr_reduce': 0.6}",TPESampler,COMPLETE
109,0.48857951164245605,2025-04-26 02:28:22.812061,2025-04-26 02:28:34.643307,0 days 00:00:11.831246,4,115,64,412.0,447.0,161.0,4,51,0.1646283988535608,0.004483683182065868,0.6,/work3/arnaou/checkpoints/megnet_Tc_trial_109_best_state.pt,"{'learning_rate': 0.004483683182065868, 'lr_reduce': 0.6}",TPESampler,COMPLETE
110,0.11705955862998962,2025-04-26 02:28:26.553472,2025-04-26 02:29:09.380382,0 days 00:00:42.826910,2,59,375,292.0,503.0,,3,32,0.11022309730385288,0.0014307596202629423,0.6,/work3/arnaou/checkpoints/megnet_Tc_trial_110_best_state.pt,"{'learning_rate': 0.0014307596202629423, 'lr_reduce': 0.6}",TPESampler,COMPLETE
111,0.46424850821495056,2025-04-26 02:28:34.794129,2025-04-26 02:28:44.975973,0 days 00:00:10.181844,4,35,194,412.0,258.0,,3,56,0.03430248895671835,0.0012029363204577835,0.6,/work3/arnaou/checkpoints/megnet_Tc_trial_111_best_state.pt,"{'learning_rate': 0.0012029363204577835, 'lr_reduce': 0.6}",TPESampler,COMPLETE
112,0.1010669469833374,2025-04-26 02:28:36.917448,2025-04-26 02:29:01.888222,0 days 00:00:24.970774,1,55,457,,,,1,71,0.24853561167562122,0.007866694736956115,0.6,/work3/arnaou/checkpoints/megnet_Tc_trial_112_best_state.pt,"{'learning_rate': 0.007866694736956115, 'lr_reduce': 0.6}",TPESampler,COMPLETE
113,0.08798550069332123,2025-04-26 02:28:45.129444,2025-04-26 02:29:23.162903,0 days 00:00:38.033459,2,121,153,,,,1,52,0.19098581780653165,0.003207572641906776,0.6,/work3/arnaou/checkpoints/megnet_Tc_trial_113_best_state.pt,"{'learning_rate': 0.003207572641906776, 'lr_reduce': 0.6}",TPESampler,COMPLETE
114,0.08651362359523773,2025-04-26 02:29:02.066672,2025-04-26 02:29:43.535671,0 days 00:00:41.468999,3,41,247,468.0,,,2,50,0.008188341338937422,0.0008813268884493451,0.6,/work3/arnaou/checkpoints/megnet_Tc_trial_114_best_state.pt,"{'learning_rate': 0.0008813268884493451, 'lr_reduce': 0.6}",TPESampler,COMPLETE
115,0.102179616689682,2025-04-26 02:29:09.544704,2025-04-26 02:29:36.966851,0 days 00:00:27.422147,1,54,458,,,,1,105,0.1982185468665846,0.00459532422946894,0.6,/work3/arnaou/checkpoints/megnet_Tc_trial_115_best_state.pt,"{'learning_rate': 0.00459532422946894, 'lr_reduce': 0.6}",TPESampler,COMPLETE
116,0.4736422002315521,2025-04-26 02:29:23.313623,2025-04-26 02:29:42.117438,0 days 00:00:18.803815,4,98,72,464.0,386.0,237.0,4,68,0.19177388960442104,0.0014447264156065304,0.6,/work3/arnaou/checkpoints/megnet_Tc_trial_116_best_state.pt,"{'learning_rate': 0.0014447264156065304, 'lr_reduce': 0.6}",TPESampler,COMPLETE
117,0.0523674413561821,2025-04-26 02:29:37.130728,2025-04-26 02:30:21.378941,0 days 00:00:44.248213,3,42,105,,,,1,65,0.023298896229352183,0.0008971128226079084,0.6,/work3/arnaou/checkpoints/megnet_Tc_trial_117_best_state.pt,"{'learning_rate': 0.0008971128226079084, 'lr_reduce': 0.6}",TPESampler,COMPLETE
118,0.06018867343664169,2025-04-26 02:29:42.272414,2025-04-26 02:30:19.154261,0 days 00:00:36.881847,1,79,511,427.0,,,2,64,0.0901854935155178,0.005372224058549571,0.6,/work3/arnaou/checkpoints/megnet_Tc_trial_118_best_state.pt,"{'learning_rate': 0.005372224058549571, 'lr_reduce': 0.6}",TPESampler,COMPLETE
119,0.11734430491924286,2025-04-26 02:29:43.779029,2025-04-26 02:30:25.708503,0 days 00:00:41.929474,2,60,434,68.0,449.0,299.0,4,64,0.008692253571195225,0.0005909537619378785,0.6,/work3/arnaou/checkpoints/megnet_Tc_trial_119_best_state.pt,"{'learning_rate': 0.0005909537619378785, 'lr_reduce': 0.6}",TPESampler,COMPLETE
120,0.07727333158254623,2025-04-26 02:30:19.355083,2025-04-26 02:30:58.893289,0 days 00:00:39.538206,1,90,185,399.0,,,2,121,0.1599857966733212,0.00017564500713750846,0.6,/work3/arnaou/checkpoints/megnet_Tc_trial_120_best_state.pt,"{'learning_rate': 0.00017564500713750846, 'lr_reduce': 0.6}",TPESampler,COMPLETE
121,0.04945395141839981,2025-04-26 02:30:21.568023,2025-04-26 02:31:00.808535,0 days 00:00:39.240512,1,70,503,375.0,,,2,42,0.07367707988089667,0.008964503248180737,0.6,/work3/arnaou/checkpoints/megnet_Tc_trial_121_best_state.pt,"{'learning_rate': 0.008964503248180737, 'lr_reduce': 0.6}",TPESampler,COMPLETE
122,0.13518130779266357,2025-04-26 02:30:25.879169,2025-04-26 02:31:03.793903,0 days 00:00:37.914734,2,44,132,,,,1,56,0.039448814296222164,0.0007588726397470922,0.6,/work3/arnaou/checkpoints/megnet_Tc_trial_122_best_state.pt,"{'learning_rate': 0.0007588726397470922, 'lr_reduce': 0.6}",TPESampler,COMPLETE
123,0.07184585928916931,2025-04-26 02:30:59.060191,2025-04-26 02:31:25.534270,0 days 00:00:26.474079,1,60,503,,,,1,75,0.0842979683720636,0.0042734405108754555,0.6,/work3/arnaou/checkpoints/megnet_Tc_trial_123_best_state.pt,"{'learning_rate': 0.0042734405108754555, 'lr_reduce': 0.6}",TPESampler,COMPLETE
124,0.1365666389465332,2025-04-26 02:31:00.979169,2025-04-26 02:31:17.441960,0 days 00:00:16.462791,1,83,445,368.0,,,2,54,0.11519760350975719,0.004809918193066397,0.6,/work3/arnaou/checkpoints/megnet_Tc_trial_124_best_state.pt,"{'learning_rate': 0.004809918193066397, 'lr_reduce': 0.6}",TPESampler,COMPLETE
125,0.2820534408092499,2025-04-26 02:31:03.954433,2025-04-26 02:31:17.124194,0 days 00:00:13.169761,1,95,437,400.0,,,2,90,0.1028287886460751,0.008208360216061857,0.6,/work3/arnaou/checkpoints/megnet_Tc_trial_125_best_state.pt,"{'learning_rate': 0.008208360216061857, 'lr_reduce': 0.6}",TPESampler,COMPLETE
126,0.09256580471992493,2025-04-26 02:31:17.269776,2025-04-26 02:31:52.147013,0 days 00:00:34.877237,1,51,454,,,,1,53,0.030837644110278367,0.008828073182429794,0.6,/work3/arnaou/checkpoints/megnet_Tc_trial_126_best_state.pt,"{'learning_rate': 0.008828073182429794, 'lr_reduce': 0.6}",TPESampler,COMPLETE
127,0.14683815836906433,2025-04-26 02:31:17.637552,2025-04-26 02:31:34.208590,0 days 00:00:16.571038,1,112,470,349.0,,,2,46,0.03185697029686009,0.0027389618658751726,0.6,/work3/arnaou/checkpoints/megnet_Tc_trial_127_best_state.pt,"{'learning_rate': 0.0027389618658751726, 'lr_reduce': 0.6}",TPESampler,COMPLETE
128,0.09742502868175507,2025-04-26 02:31:25.697154,2025-04-26 02:31:53.847864,0 days 00:00:28.150710,2,86,498,418.0,,,2,45,0.07528110908392999,0.005595885946837948,0.6,/work3/arnaou/checkpoints/megnet_Tc_trial_128_best_state.pt,"{'learning_rate': 0.005595885946837948, 'lr_reduce': 0.6}",TPESampler,COMPLETE
129,0.062465474009513855,2025-04-26 02:31:34.370466,2025-04-26 02:32:03.409356,0 days 00:00:29.038890,1,80,434,371.0,,,2,38,0.07030396313155962,0.00626488265424594,0.6,/work3/arnaou/checkpoints/megnet_Tc_trial_129_best_state.pt,"{'learning_rate': 0.00626488265424594, 'lr_reduce': 0.6}",TPESampler,COMPLETE
130,0.08822264522314072,2025-04-26 02:31:52.322749,2025-04-26 02:32:31.646412,0 days 00:00:39.323663,3,50,139,,,,1,59,0.018732711348737635,0.0035990576648844974,0.6,/work3/arnaou/checkpoints/megnet_Tc_trial_130_best_state.pt,"{'learning_rate': 0.0035990576648844974, 'lr_reduce': 0.6}",TPESampler,COMPLETE
131,0.6383572816848755,2025-04-26 02:31:54.012078,2025-04-26 02:32:01.070669,0 days 00:00:07.058591,3,60,66,,,,1,54,0.03706554699069951,0.0011212111551157043,0.6,/work3/arnaou/checkpoints/megnet_Tc_trial_131_best_state.pt,"{'learning_rate': 0.0011212111551157043, 'lr_reduce': 0.6}",TPESampler,COMPLETE
132,0.1323559284210205,2025-04-26 02:32:01.223890,2025-04-26 02:32:28.677199,0 days 00:00:27.453309,1,46,497,331.0,,,2,37,0.09367495848258409,0.007263093300093458,0.6,/work3/arnaou/checkpoints/megnet_Tc_trial_132_best_state.pt,"{'learning_rate': 0.007263093300093458, 'lr_reduce': 0.6}",TPESampler,COMPLETE
133,0.11325997859239578,2025-04-26 02:32:03.563017,2025-04-26 02:32:41.061636,0 days 00:00:37.498619,1,70,457,381.0,337.0,,3,57,0.07918796169272814,0.00748941712332671,0.6,/work3/arnaou/checkpoints/megnet_Tc_trial_133_best_state.pt,"{'learning_rate': 0.00748941712332671, 'lr_reduce': 0.6}",TPESampler,COMPLETE
134,0.8076683878898621,2025-04-26 02:32:28.846425,2025-04-26 02:32:36.719716,0 days 00:00:07.873291,4,40,88,,,,1,58,0.04409925987922374,0.00015839777301444307,0.6,/work3/arnaou/checkpoints/megnet_Tc_trial_134_best_state.pt,"{'learning_rate': 0.00015839777301444307, 'lr_reduce': 0.6}",TPESampler,COMPLETE
135,0.08491165190935135,2025-04-26 02:32:31.815048,2025-04-26 02:33:05.660443,0 days 00:00:33.845395,1,78,418,363.0,,,2,37,0.07217937896759095,0.005303661375178137,0.6,/work3/arnaou/checkpoints/megnet_Tc_trial_135_best_state.pt,"{'learning_rate': 0.005303661375178137, 'lr_reduce': 0.6}",TPESampler,COMPLETE
136,0.08127444237470627,2025-04-26 02:32:36.886109,2025-04-26 02:33:12.094943,0 days 00:00:35.208834,1,96,450,,,,1,75,0.033585928517522914,0.008071488489378996,0.6,/work3/arnaou/checkpoints/megnet_Tc_trial_136_best_state.pt,"{'learning_rate': 0.008071488489378996, 'lr_reduce': 0.6}",TPESampler,COMPLETE
137,0.15301688015460968,2025-04-26 02:32:41.230128,2025-04-26 02:33:18.487279,0 days 00:00:37.257151,1,87,431,,,,1,37,0.10006340148403951,0.009090503530201294,0.6,/work3/arnaou/checkpoints/megnet_Tc_trial_137_best_state.pt,"{'learning_rate': 0.009090503530201294, 'lr_reduce': 0.6}",TPESampler,COMPLETE
138,0.18156135082244873,2025-04-26 02:33:05.840718,2025-04-26 02:33:25.235805,0 days 00:00:19.395087,4,35,308,414.0,,,2,82,0.02006858168840176,0.002181871685837334,0.6,/work3/arnaou/checkpoints/megnet_Tc_trial_138_best_state.pt,"{'learning_rate': 0.002181871685837334, 'lr_reduce': 0.6}",TPESampler,COMPLETE
139,0.10050062835216522,2025-04-26 02:33:12.279261,2025-04-26 02:33:51.484195,0 days 00:00:39.204934,1,60,398,357.0,,,2,100,0.24902778059569633,0.0028926254119412374,0.6,/work3/arnaou/checkpoints/megnet_Tc_trial_139_best_state.pt,"{'learning_rate': 0.0028926254119412374, 'lr_reduce': 0.6}",TPESampler,COMPLETE
140,0.475994735956192,2025-04-26 02:33:18.649025,2025-04-26 02:33:34.669071,0 days 00:00:16.020046,4,52,118,,,,1,79,0.05136234605575296,0.0010168891313575856,0.6,/work3/arnaou/checkpoints/megnet_Tc_trial_140_best_state.pt,"{'learning_rate': 0.0010168891313575856, 'lr_reduce': 0.6}",TPESampler,COMPLETE
141,0.1390036791563034,2025-04-26 02:33:25.395736,2025-04-26 02:33:58.135326,0 days 00:00:32.739590,3,51,410,422.0,378.0,,3,43,0.011601290449962184,0.009722011923748702,0.6,/work3/arnaou/checkpoints/megnet_Tc_trial_141_best_state.pt,"{'learning_rate': 0.009722011923748702, 'lr_reduce': 0.6}",TPESampler,COMPLETE
142,0.06891383230686188,2025-04-26 02:33:34.843766,2025-04-26 02:34:17.841270,0 days 00:00:42.997504,1,69,452,334.0,,,2,55,0.034941200961586885,0.007519089753345338,0.6,/work3/arnaou/checkpoints/megnet_Tc_trial_142_best_state.pt,"{'learning_rate': 0.007519089753345338, 'lr_reduce': 0.6}",TPESampler,COMPLETE
143,0.4751060903072357,2025-04-26 02:33:51.667020,2025-04-26 02:34:02.002549,0 days 00:00:10.335529,4,47,226,409.0,,,2,63,0.11214908889120011,0.0012745378938780207,0.6,/work3/arnaou/checkpoints/megnet_Tc_trial_143_best_state.pt,"{'learning_rate': 0.0012745378938780207, 'lr_reduce': 0.6}",TPESampler,COMPLETE
