number,value,datetime_start,datetime_complete,duration,params_final_dropout,params_mlp_dim_00,params_mlp_dim_01,params_mlp_dim_02,params_mlp_dim_03,params_mlp_n_layers,params_train_learning_rate,params_train_lr_reduce,user_attrs_best_state_dict_path,user_attrs_training_params,system_attrs_auto:sampler,state
388,0.04700532183051109,2025-04-25 22:20:51.880548,2025-04-25 22:21:16.960012,0 days 00:00:25.079464,0.02903663339844816,384,352,,,2,0.00041410256890077633,0.6,checkpoints/mlp_Tc_trial_388_best_state.pt,"{'learning_rate': 0.00041410256890077633, 'lr_reduce': 0.6}",TPESampler,COMPLETE
389,0.077314093708992,2025-04-25 22:21:06.138837,2025-04-25 22:21:20.632034,0 days 00:00:14.493197,0.05851467449583177,32,80,96.0,112.0,4,0.0014976067054151443,0.6,checkpoints/mlp_Tc_trial_389_best_state.pt,"{'learning_rate': 0.0014976067054151443, 'lr_reduce': 0.6}",TPESampler,COMPLETE
390,0.058657821267843246,2025-04-25 22:21:10.363826,2025-04-25 22:21:22.684722,0 days 00:00:12.320896,0.1448853935663832,64,512,32.0,512.0,4,0.006163710635006122,0.6,checkpoints/mlp_Tc_trial_390_best_state.pt,"{'learning_rate': 0.006163710635006122, 'lr_reduce': 0.6}",TPESampler,COMPLETE
391,0.045012496411800385,2025-04-25 22:21:17.196287,2025-04-25 22:21:27.536792,0 days 00:00:10.340505,0.06124211174994021,496,32,112.0,,3,0.006384253596256274,0.6,checkpoints/mlp_Tc_trial_391_best_state.pt,"{'learning_rate': 0.006384253596256274, 'lr_reduce': 0.6}",TPESampler,COMPLETE
392,0.05284668132662773,2025-04-25 22:21:20.877140,2025-04-25 22:21:56.158674,0 days 00:00:35.281534,0.01591252863468683,416,384,,,2,0.00035335180246560033,0.6,checkpoints/mlp_Tc_trial_392_best_state.pt,"{'learning_rate': 0.00035335180246560033, 'lr_reduce': 0.6}",TPESampler,COMPLETE
393,0.04545019939541817,2025-04-25 22:21:22.939690,2025-04-25 22:21:40.883864,0 days 00:00:17.944174,0.0009552244545742387,512,400,,,2,0.0015832262208327129,0.6,checkpoints/mlp_Tc_trial_393_best_state.pt,"{'learning_rate': 0.0015832262208327129, 'lr_reduce': 0.6}",TPESampler,COMPLETE
394,0.041443124413490295,2025-04-25 22:21:27.802395,2025-04-25 22:22:14.528621,0 days 00:00:46.726226,0.001342678122676565,304,352,,,2,0.00019002083916333526,0.6,checkpoints/mlp_Tc_trial_394_best_state.pt,"{'learning_rate': 0.00019002083916333526, 'lr_reduce': 0.6}",TPESampler,COMPLETE
395,0.07319662719964981,2025-04-25 22:21:41.131325,2025-04-25 22:21:51.189844,0 days 00:00:10.058519,0.2763824345756384,160,464,176.0,32.0,4,0.009952573857784777,0.6,checkpoints/mlp_Tc_trial_395_best_state.pt,"{'learning_rate': 0.009952573857784777, 'lr_reduce': 0.6}",TPESampler,COMPLETE
396,0.0502135194838047,2025-04-25 22:21:51.471622,2025-04-25 22:22:27.889929,0 days 00:00:36.418307,0.018784272862251178,432,320,,,2,0.0005763239932798662,0.6,checkpoints/mlp_Tc_trial_396_best_state.pt,"{'learning_rate': 0.0005763239932798662, 'lr_reduce': 0.6}",TPESampler,COMPLETE
397,0.05115959420800209,2025-04-25 22:21:56.474467,2025-04-25 22:22:08.744888,0 days 00:00:12.270421,0.012774394001691926,384,336,,,2,0.0043290951895693375,0.6,checkpoints/mlp_Tc_trial_397_best_state.pt,"{'learning_rate': 0.0043290951895693375, 'lr_reduce': 0.6}",TPESampler,COMPLETE
398,0.05004522204399109,2025-04-25 22:22:09.033502,2025-04-25 22:22:20.331868,0 days 00:00:11.298366,0.0031089418952732345,464,48,32.0,,3,0.003078719366238903,0.6,checkpoints/mlp_Tc_trial_398_best_state.pt,"{'learning_rate': 0.003078719366238903, 'lr_reduce': 0.6}",TPESampler,COMPLETE
399,0.05395282804965973,2025-04-25 22:22:14.825884,2025-04-25 22:23:22.852910,0 days 00:01:08.027026,0.03680183005166378,224,384,,,2,0.0001907148321436215,0.6,checkpoints/mlp_Tc_trial_399_best_state.pt,"{'learning_rate': 0.0001907148321436215, 'lr_reduce': 0.6}",TPESampler,COMPLETE
400,0.12863470613956451,2025-04-25 22:22:20.629944,2025-04-25 22:23:28.307528,0 days 00:01:07.677584,0.24197181718376176,64,224,,,2,0.00011107601788620683,0.6,checkpoints/mlp_Tc_trial_400_best_state.pt,"{'learning_rate': 0.00011107601788620683, 'lr_reduce': 0.6}",TPESampler,COMPLETE
401,0.07192985713481903,2025-04-25 22:22:28.149709,2025-04-25 22:23:12.107561,0 days 00:00:43.957852,0.04200426249481161,304,384,,,2,0.00014498580514235162,0.6,checkpoints/mlp_Tc_trial_401_best_state.pt,"{'learning_rate': 0.00014498580514235162, 'lr_reduce': 0.6}",TPESampler,COMPLETE
402,0.07056240737438202,2025-04-25 22:23:12.516852,2025-04-25 22:23:44.316722,0 days 00:00:31.799870,0.023141922380084043,320,400,,,2,0.00021352751486322202,0.6,checkpoints/mlp_Tc_trial_402_best_state.pt,"{'learning_rate': 0.00021352751486322202, 'lr_reduce': 0.6}",TPESampler,COMPLETE
403,0.04781492426991463,2025-04-25 22:23:23.156822,2025-04-25 22:23:52.511919,0 days 00:00:29.355097,0.0054470953766433605,208,336,,,2,0.00026287192868946016,0.6,checkpoints/mlp_Tc_trial_403_best_state.pt,"{'learning_rate': 0.00026287192868946016, 'lr_reduce': 0.6}",TPESampler,COMPLETE
404,0.03744399547576904,2025-04-25 22:23:28.637739,2025-04-25 22:23:40.993767,0 days 00:00:12.356028,0.006051720385047495,256,256,,,2,0.002869248856128951,0.6,checkpoints/mlp_Tc_trial_404_best_state.pt,"{'learning_rate': 0.002869248856128951, 'lr_reduce': 0.6}",TPESampler,COMPLETE
405,0.05671485513448715,2025-04-25 22:23:41.254992,2025-04-25 22:24:18.278490,0 days 00:00:37.023498,0.005761203623377691,304,272,,,2,0.00017921118235918654,0.6,checkpoints/mlp_Tc_trial_405_best_state.pt,"{'learning_rate': 0.00017921118235918654, 'lr_reduce': 0.6}",TPESampler,COMPLETE
406,0.03931662440299988,2025-04-25 22:23:44.589124,2025-04-25 22:23:59.144337,0 days 00:00:14.555213,0.0006767448725908043,192,256,,,2,0.004789583560226607,0.6,checkpoints/mlp_Tc_trial_406_best_state.pt,"{'learning_rate': 0.004789583560226607, 'lr_reduce': 0.6}",TPESampler,COMPLETE
407,0.055338818579912186,2025-04-25 22:23:52.812108,2025-04-25 22:24:04.703641,0 days 00:00:11.891533,0.04836752787223845,320,256,208.0,,3,0.003892342120083012,0.6,checkpoints/mlp_Tc_trial_407_best_state.pt,"{'learning_rate': 0.003892342120083012, 'lr_reduce': 0.6}",TPESampler,COMPLETE
