number,value,datetime_start,datetime_complete,duration,params_depth,params_edge_hidden_dim,params_mlp_dim_00,params_mlp_dim_01,params_mlp_dim_02,params_mlp_dim_03,params_mlp_n_layers,params_node_hidden_dim,params_rep_dropout,params_train_learning_rate,params_train_lr_reduce,user_attrs_best_state_dict_path,user_attrs_training_params,system_attrs_auto:sampler,state
652,0.0969817191362381,2025-04-25 22:44:26.543695,2025-04-25 22:44:50.927613,0 days 00:00:24.383918,1,61,495,183.0,,,2,106,0.2089332786212982,0.0030818450365411748,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_652_best_state.pt,"{'learning_rate': 0.0030818450365411748, 'lr_reduce': 0.6}",TPESampler,COMPLETE
653,0.8884490728378296,2025-04-25 22:44:39.801843,2025-04-25 22:44:43.628081,0 days 00:00:03.826238,1,81,429,135.0,,,2,109,0.2329507120333122,0.0009366381584793669,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_653_best_state.pt,"{'learning_rate': 0.0009366381584793669, 'lr_reduce': 0.6}",TPESampler,COMPLETE
654,0.1986764818429947,2025-04-25 22:44:43.840818,2025-04-25 22:44:59.668515,0 days 00:00:15.827697,1,93,382,483.0,,,2,124,0.15873643086111683,0.0008356359658530464,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_654_best_state.pt,"{'learning_rate': 0.0008356359658530464, 'lr_reduce': 0.6}",TPESampler,COMPLETE
655,0.14180149137973785,2025-04-25 22:44:46.880827,2025-04-25 22:45:22.810501,0 days 00:00:35.929674,1,54,184,,,,1,91,0.22081169494271552,0.002259299121220775,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_655_best_state.pt,"{'learning_rate': 0.002259299121220775, 'lr_reduce': 0.6}",TPESampler,COMPLETE
656,0.8940684199333191,2025-04-25 22:44:51.162202,2025-04-25 22:44:55.449532,0 days 00:00:04.287330,1,124,198,182.0,,,2,103,0.02260903766897981,0.0003603495756844491,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_656_best_state.pt,"{'learning_rate': 0.0003603495756844491, 'lr_reduce': 0.6}",TPESampler,COMPLETE
657,0.163957417011261,2025-04-25 22:44:55.659394,2025-04-25 22:45:31.466336,0 days 00:00:35.806942,1,84,323,204.0,106.0,,3,90,0.21462238430887112,0.0017843409031021004,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_657_best_state.pt,"{'learning_rate': 0.0017843409031021004, 'lr_reduce': 0.6}",TPESampler,COMPLETE
658,0.8975997567176819,2025-04-25 22:44:59.911337,2025-04-25 22:45:04.174334,0 days 00:00:04.262997,3,95,174,226.0,111.0,507.0,4,41,0.22546701911447373,0.0006599370310082496,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_658_best_state.pt,"{'learning_rate': 0.0006599370310082496, 'lr_reduce': 0.6}",TPESampler,COMPLETE
659,0.8876919150352478,2025-04-25 22:45:04.403875,2025-04-25 22:45:08.250204,0 days 00:00:03.846329,1,117,344,,,,1,126,0.065742803688656,0.0010494645829949242,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_659_best_state.pt,"{'learning_rate': 0.0010494645829949242, 'lr_reduce': 0.6}",TPESampler,COMPLETE
660,0.1361018717288971,2025-04-25 22:45:08.455498,2025-04-25 22:45:30.675595,0 days 00:00:22.220097,1,114,225,198.0,115.0,,3,96,0.20548164932801927,0.001510230614139236,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_660_best_state.pt,"{'learning_rate': 0.001510230614139236, 'lr_reduce': 0.6}",TPESampler,COMPLETE
661,0.12846729159355164,2025-04-25 22:45:23.050772,2025-04-25 22:45:44.169938,0 days 00:00:21.119166,1,107,269,197.0,65.0,,3,93,0.1931381087414326,0.002610110006420064,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_661_best_state.pt,"{'learning_rate': 0.002610110006420064, 'lr_reduce': 0.6}",TPESampler,COMPLETE
