number,value,datetime_start,datetime_complete,duration,params_depth,params_edge_hidden_dim,params_mlp_dim_00,params_mlp_dim_01,params_mlp_dim_02,params_mlp_dim_03,params_mlp_n_layers,params_node_hidden_dim,params_rep_dropout,params_train_learning_rate,params_train_lr_reduce,user_attrs_best_state_dict_path,user_attrs_training_params,system_attrs_auto:sampler,state
0,0.8884312510490417,2025-04-25 21:39:15.158578,2025-04-25 21:39:25.837026,0 days 00:00:10.678448,1,55,499,359.0,,,2,82,0.015013595348718739,0.000470345684692666,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_0_best_state.pt,"{'learning_rate': 0.000470345684692666, 'lr_reduce': 0.6}",RandomSampler,COMPLETE
1,0.13818195462226868,2025-04-25 21:39:15.171484,2025-04-25 21:39:44.622850,0 days 00:00:29.451366,1,81,183,,,,1,93,0.22524357142768137,0.00887019730468729,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_1_best_state.pt,"{'learning_rate': 0.00887019730468729, 'lr_reduce': 0.6}",RandomSampler,COMPLETE
2,0.8887547254562378,2025-04-25 21:39:15.192506,2025-04-25 21:39:26.201859,0 days 00:00:11.009353,4,76,502,189.0,,,2,69,0.04707131052141125,0.0014727175356744392,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_2_best_state.pt,"{'learning_rate': 0.0014727175356744392, 'lr_reduce': 0.6}",RandomSampler,COMPLETE
3,0.89470374584198,2025-04-25 21:39:26.000734,2025-04-25 21:39:30.160896,0 days 00:00:04.160162,2,54,490,345.0,179.0,379.0,4,121,0.163507303552048,0.00022438705223955526,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_3_best_state.pt,"{'learning_rate': 0.00022438705223955526, 'lr_reduce': 0.6}",GPSampler,COMPLETE
4,0.5254107713699341,2025-04-25 21:39:26.436360,2025-04-25 21:39:32.759141,0 days 00:00:06.322781,1,126,451,184.0,388.0,468.0,4,102,0.0438355550159,0.005457807259970328,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_4_best_state.pt,"{'learning_rate': 0.005457807259970328, 'lr_reduce': 0.6}",GPSampler,COMPLETE
5,0.13214196264743805,2025-04-25 21:39:30.348189,2025-04-25 21:40:01.678086,0 days 00:00:31.329897,1,116,119,184.0,152.0,466.0,4,120,0.030984817407327198,0.0010336519414422952,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_5_best_state.pt,"{'learning_rate': 0.0010336519414422952, 'lr_reduce': 0.6}",TPESampler,COMPLETE
6,0.8984177112579346,2025-04-25 21:39:32.947222,2025-04-25 21:39:36.955253,0 days 00:00:04.008031,2,112,327,459.0,348.0,249.0,4,108,0.00782411783291953,0.0002747073997029687,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_6_best_state.pt,"{'learning_rate': 0.0002747073997029687, 'lr_reduce': 0.6}",TPESampler,COMPLETE
7,0.89695805311203,2025-04-25 21:39:37.135450,2025-04-25 21:39:40.507319,0 days 00:00:03.371869,1,110,472,287.0,497.0,352.0,4,125,0.02487227428118363,0.00015329307211782165,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_7_best_state.pt,"{'learning_rate': 0.00015329307211782165, 'lr_reduce': 0.6}",TPESampler,COMPLETE
8,0.8933756351470947,2025-04-25 21:39:40.678278,2025-04-25 21:39:44.605047,0 days 00:00:03.926769,4,81,110,487.0,,,2,45,0.20061497571042122,0.0005767440723268548,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_8_best_state.pt,"{'learning_rate': 0.0005767440723268548, 'lr_reduce': 0.6}",TPESampler,COMPLETE
9,0.8958160877227783,2025-04-25 21:39:44.771887,2025-04-25 21:39:48.806574,0 days 00:00:04.034687,3,73,512,92.0,215.0,199.0,4,119,0.20799291424864422,0.00022216342589193082,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_9_best_state.pt,"{'learning_rate': 0.00022216342589193082, 'lr_reduce': 0.6}",TPESampler,COMPLETE
10,0.8961663842201233,2025-04-25 21:39:44.825191,2025-04-25 21:39:48.762352,0 days 00:00:03.937161,2,71,179,470.0,,,2,103,0.09537239853576088,0.0003317357283981879,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_10_best_state.pt,"{'learning_rate': 0.0003317357283981879, 'lr_reduce': 0.6}",TPESampler,COMPLETE
11,0.889949381351471,2025-04-25 21:39:48.937554,2025-04-25 21:39:53.554061,0 days 00:00:04.616507,1,82,278,,,,1,106,0.2468338255436734,0.008392926119659527,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_11_best_state.pt,"{'learning_rate': 0.008392926119659527, 'lr_reduce': 0.6}",TPESampler,COMPLETE
12,0.14660577476024628,2025-04-25 21:39:48.996297,2025-04-25 21:40:06.135339,0 days 00:00:17.139042,1,56,185,,,,1,106,0.2387766157645484,0.004669480375694324,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_12_best_state.pt,"{'learning_rate': 0.004669480375694324, 'lr_reduce': 0.6}",TPESampler,COMPLETE
13,0.6391541361808777,2025-04-25 21:39:53.740518,2025-04-25 21:40:00.328257,0 days 00:00:06.587739,1,94,446,89.0,373.0,83.0,4,109,0.012677467411368132,0.0051229708208306,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_13_best_state.pt,"{'learning_rate': 0.0051229708208306, 'lr_reduce': 0.6}",TPESampler,COMPLETE
14,0.13100582361221313,2025-04-25 21:40:00.527444,2025-04-25 21:40:31.886413,0 days 00:00:31.358969,2,122,129,229.0,,,2,115,0.2076218490687325,0.004536614956240561,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_14_best_state.pt,"{'learning_rate': 0.004536614956240561, 'lr_reduce': 0.6}",TPESampler,COMPLETE
15,0.10209481418132782,2025-04-25 21:40:01.887994,2025-04-25 21:40:31.392693,0 days 00:00:29.504699,1,121,65,256.0,70.0,485.0,4,93,0.09705153390291296,0.0017255888818503472,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_15_best_state.pt,"{'learning_rate': 0.0017255888818503472, 'lr_reduce': 0.6}",TPESampler,COMPLETE
16,0.18461810052394867,2025-04-25 21:40:06.321915,2025-04-25 21:40:27.313399,0 days 00:00:20.991484,1,117,85,153.0,248.0,510.0,4,127,0.021097402922662392,0.003028271747248865,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_16_best_state.pt,"{'learning_rate': 0.003028271747248865, 'lr_reduce': 0.6}",TPESampler,COMPLETE
17,0.10404997318983078,2025-04-25 21:40:27.512933,2025-04-25 21:40:57.800677,0 days 00:00:30.287744,1,94,323,67.0,,,2,76,0.14134133943654786,0.002458383346036249,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_17_best_state.pt,"{'learning_rate': 0.002458383346036249, 'lr_reduce': 0.6}",TPESampler,COMPLETE
18,0.1641935110092163,2025-04-25 21:40:31.603803,2025-04-25 21:40:46.951465,0 days 00:00:15.347662,1,106,101,288.0,76.0,314.0,4,62,0.13255255444796588,0.0022447208520072746,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_18_best_state.pt,"{'learning_rate': 0.0022447208520072746, 'lr_reduce': 0.6}",TPESampler,COMPLETE
19,0.16529327630996704,2025-04-25 21:40:32.116338,2025-04-25 21:41:04.298846,0 days 00:00:32.182508,2,108,78,252.0,92.0,,3,104,0.20504303360337367,0.0013726228698288012,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_19_best_state.pt,"{'learning_rate': 0.0013726228698288012, 'lr_reduce': 0.6}",TPESampler,COMPLETE
20,0.8885630965232849,2025-04-25 21:40:47.143493,2025-04-25 21:40:52.444487,0 days 00:00:05.300994,3,116,202,257.0,,,2,122,0.2246035597256873,0.009642274927730144,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_20_best_state.pt,"{'learning_rate': 0.009642274927730144, 'lr_reduce': 0.6}",TPESampler,COMPLETE
21,0.8883281350135803,2025-04-25 21:40:52.642208,2025-04-25 21:40:56.726710,0 days 00:00:04.084502,3,109,292,,,,1,98,0.1569528476727966,0.000603772485108639,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_21_best_state.pt,"{'learning_rate': 0.000603772485108639, 'lr_reduce': 0.6}",TPESampler,COMPLETE
22,0.24798117578029633,2025-04-25 21:40:56.942000,2025-04-25 21:41:18.781120,0 days 00:00:21.839120,2,124,112,352.0,85.0,,3,81,0.03181686682199855,0.0014777940038233626,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_22_best_state.pt,"{'learning_rate': 0.0014777940038233626, 'lr_reduce': 0.6}",TPESampler,COMPLETE
23,0.8885419964790344,2025-04-25 21:40:58.018228,2025-04-25 21:41:02.676431,0 days 00:00:04.658203,2,92,377,92.0,,,2,79,0.12934385293912226,0.004811839487098904,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_23_best_state.pt,"{'learning_rate': 0.004811839487098904, 'lr_reduce': 0.6}",TPESampler,COMPLETE
24,0.13628935813903809,2025-04-25 21:41:02.931404,2025-04-25 21:41:34.790207,0 days 00:00:31.858803,1,126,288,74.0,245.0,,3,82,0.16238628619488876,0.00132560993579707,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_24_best_state.pt,"{'learning_rate': 0.00132560993579707, 'lr_reduce': 0.6}",TPESampler,COMPLETE
25,0.8885239362716675,2025-04-25 21:41:04.742925,2025-04-25 21:41:09.302633,0 days 00:00:04.559708,2,119,78,,,,1,105,0.11625162371248579,0.002461809899816379,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_25_best_state.pt,"{'learning_rate': 0.002461809899816379, 'lr_reduce': 0.6}",TPESampler,COMPLETE
26,0.13664595782756805,2025-04-25 21:41:09.494624,2025-04-25 21:41:26.517755,0 days 00:00:17.023131,1,128,126,222.0,74.0,,3,109,0.187632035585666,0.006623872946401771,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_26_best_state.pt,"{'learning_rate': 0.006623872946401771, 'lr_reduce': 0.6}",TPESampler,COMPLETE
27,0.8890082240104675,2025-04-25 21:41:18.975372,2025-04-25 21:41:23.266361,0 days 00:00:04.290989,2,61,276,185.0,,,2,42,0.17782048262007116,0.0023953926021312738,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_27_best_state.pt,"{'learning_rate': 0.0023953926021312738, 'lr_reduce': 0.6}",TPESampler,COMPLETE
28,0.1604926586151123,2025-04-25 21:41:23.455913,2025-04-25 21:41:39.525112,0 days 00:00:16.069199,1,71,267,69.0,,,2,81,0.1254105337997459,0.0022443626043699427,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_28_best_state.pt,"{'learning_rate': 0.0022443626043699427, 'lr_reduce': 0.6}",TPESampler,COMPLETE
29,0.12296713888645172,2025-04-25 21:41:26.713505,2025-04-25 21:41:43.271012,0 days 00:00:16.557507,1,125,101,267.0,295.0,404.0,4,81,0.06363509568267922,0.0022922696114509966,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_29_best_state.pt,"{'learning_rate': 0.0022922696114509966, 'lr_reduce': 0.6}",TPESampler,COMPLETE
30,0.1878061145544052,2025-04-25 21:41:34.981087,2025-04-25 21:42:05.132929,0 days 00:00:30.151842,1,98,315,191.0,175.0,,3,47,0.055216850076326096,0.0022421023978199646,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_30_best_state.pt,"{'learning_rate': 0.0022421023978199646, 'lr_reduce': 0.6}",TPESampler,COMPLETE
31,0.8995869159698486,2025-04-25 21:41:39.731666,2025-04-25 21:41:46.440019,0 days 00:00:06.708353,2,100,146,144.0,159.0,291.0,4,97,0.1289124065878297,0.0003825896111453431,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_31_best_state.pt,"{'learning_rate': 0.0003825896111453431, 'lr_reduce': 0.6}",TPESampler,COMPLETE
32,0.16666197776794434,2025-04-25 21:41:43.462625,2025-04-25 21:42:04.478419,0 days 00:00:21.015794,1,111,221,353.0,,,2,42,0.17589219422262584,0.006412344945508733,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_32_best_state.pt,"{'learning_rate': 0.006412344945508733, 'lr_reduce': 0.6}",TPESampler,COMPLETE
33,0.1619817316532135,2025-04-25 21:41:46.634594,2025-04-25 21:42:07.889592,0 days 00:00:21.254998,1,122,117,275.0,316.0,409.0,4,71,0.05213080557084263,0.0019107598124668648,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_33_best_state.pt,"{'learning_rate': 0.0019107598124668648, 'lr_reduce': 0.6}",TPESampler,COMPLETE
34,0.8890692591667175,2025-04-25 21:42:04.727377,2025-04-25 21:42:09.985274,0 days 00:00:05.257897,1,99,345,,,,1,91,0.17226351854237307,0.0017077610630586708,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_34_best_state.pt,"{'learning_rate': 0.0017077610630586708, 'lr_reduce': 0.6}",TPESampler,COMPLETE
35,0.15936298668384552,2025-04-25 21:42:05.327003,2025-04-25 21:42:27.176738,0 days 00:00:21.849735,2,121,66,246.0,274.0,425.0,4,79,0.10756309389628078,0.0027463971920311148,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_35_best_state.pt,"{'learning_rate': 0.0027463971920311148, 'lr_reduce': 0.6}",TPESampler,COMPLETE
36,0.15446782112121582,2025-04-25 21:42:08.103923,2025-04-25 21:42:26.756581,0 days 00:00:18.652658,1,120,103,,,,1,96,0.22626605804268476,0.0029343053536079705,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_36_best_state.pt,"{'learning_rate': 0.0029343053536079705, 'lr_reduce': 0.6}",TPESampler,COMPLETE
37,0.8961730599403381,2025-04-25 21:42:10.210477,2025-04-25 21:42:14.420495,0 days 00:00:04.210018,1,122,73,294.0,441.0,493.0,4,98,0.12017009678470392,0.00041403963494820203,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_37_best_state.pt,"{'learning_rate': 0.00041403963494820203, 'lr_reduce': 0.6}",TPESampler,COMPLETE
38,0.11897736042737961,2025-04-25 21:42:14.629162,2025-04-25 21:42:52.464540,0 days 00:00:37.835378,1,114,197,257.0,,,2,125,0.17135363783658003,0.0011588444990912523,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_38_best_state.pt,"{'learning_rate': 0.0011588444990912523, 'lr_reduce': 0.6}",TPESampler,COMPLETE
39,0.18293403089046478,2025-04-25 21:42:26.956857,2025-04-25 21:42:39.813781,0 days 00:00:12.856924,1,104,150,240.0,301.0,373.0,4,89,0.05168381354319445,0.0032583276838345004,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_39_best_state.pt,"{'learning_rate': 0.0032583276838345004, 'lr_reduce': 0.6}",TPESampler,COMPLETE
40,0.8513661623001099,2025-04-25 21:42:27.467457,2025-04-25 21:42:36.257964,0 days 00:00:08.790507,3,122,139,319.0,,,2,121,0.23152618861701077,0.0016597922774193804,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_40_best_state.pt,"{'learning_rate': 0.0016597922774193804, 'lr_reduce': 0.6}",TPESampler,COMPLETE
41,0.4677640199661255,2025-04-25 21:42:36.462546,2025-04-25 21:42:43.079503,0 days 00:00:06.616957,1,124,80,191.0,172.0,493.0,4,100,0.09949222551524595,0.0028684396896054335,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_41_best_state.pt,"{'learning_rate': 0.0028684396896054335, 'lr_reduce': 0.6}",TPESampler,COMPLETE
42,0.16729576885700226,2025-04-25 21:42:40.021479,2025-04-25 21:42:59.638049,0 days 00:00:19.616570,1,89,312,213.0,,,2,52,0.17979003192573767,0.0008649400580925332,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_42_best_state.pt,"{'learning_rate': 0.0008649400580925332, 'lr_reduce': 0.6}",TPESampler,COMPLETE
43,0.19240567088127136,2025-04-25 21:42:43.297878,2025-04-25 21:43:00.871100,0 days 00:00:17.573222,1,126,178,177.0,64.0,,3,124,0.004500340804518364,0.0007153045877256028,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_43_best_state.pt,"{'learning_rate': 0.0007153045877256028, 'lr_reduce': 0.6}",TPESampler,COMPLETE
44,0.17351391911506653,2025-04-25 21:42:52.848347,2025-04-25 21:43:30.160470,0 days 00:00:37.312123,1,100,275,273.0,,,2,117,0.15384660019638488,0.000736518271314884,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_44_best_state.pt,"{'learning_rate': 0.000736518271314884, 'lr_reduce': 0.6}",TPESampler,COMPLETE
45,0.13934148848056793,2025-04-25 21:42:59.855028,2025-04-25 21:43:38.202902,0 days 00:00:38.347874,1,112,183,268.0,,,2,125,0.12484138803151766,0.0016341452059446947,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_45_best_state.pt,"{'learning_rate': 0.0016341452059446947, 'lr_reduce': 0.6}",TPESampler,COMPLETE
46,0.18921509385108948,2025-04-25 21:43:01.064753,2025-04-25 21:43:21.443022,0 days 00:00:20.378269,2,91,120,267.0,,,2,125,0.17954024326214774,0.0067440220070854266,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_46_best_state.pt,"{'learning_rate': 0.0067440220070854266, 'lr_reduce': 0.6}",TPESampler,COMPLETE
47,0.888265073299408,2025-04-25 21:43:21.682006,2025-04-25 21:43:25.574880,0 days 00:00:03.892874,1,128,129,,,,1,120,0.24501551866582683,0.00045525925636981314,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_47_best_state.pt,"{'learning_rate': 0.00045525925636981314, 'lr_reduce': 0.6}",TPESampler,COMPLETE
48,0.8986856937408447,2025-04-25 21:43:25.779626,2025-04-25 21:43:31.689515,0 days 00:00:05.909889,4,98,191,271.0,309.0,,3,49,0.017588038125703254,0.00011348877168354939,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_48_best_state.pt,"{'learning_rate': 0.00011348877168354939, 'lr_reduce': 0.6}",TPESampler,COMPLETE
49,0.896363377571106,2025-04-25 21:43:30.377102,2025-04-25 21:43:34.589637,0 days 00:00:04.212535,2,76,462,245.0,,,2,74,0.12217153077241728,0.00021116076967039077,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_49_best_state.pt,"{'learning_rate': 0.00021116076967039077, 'lr_reduce': 0.6}",TPESampler,COMPLETE
50,0.8897238969802856,2025-04-25 21:43:31.895572,2025-04-25 21:43:35.687728,0 days 00:00:03.792156,1,49,185,75.0,508.0,377.0,4,77,0.07835946017475069,0.0010524940712195478,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_50_best_state.pt,"{'learning_rate': 0.0010524940712195478, 'lr_reduce': 0.6}",TPESampler,COMPLETE
51,0.12003973871469498,2025-04-25 21:43:34.805812,2025-04-25 21:43:58.240576,0 days 00:00:23.434764,2,124,133,332.0,,,2,113,0.2219245042836558,0.004850804559325576,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_51_best_state.pt,"{'learning_rate': 0.004850804559325576, 'lr_reduce': 0.6}",TPESampler,COMPLETE
52,0.12810233235359192,2025-04-25 21:43:35.896523,2025-04-25 21:44:05.222816,0 days 00:00:29.326293,2,126,123,215.0,,,2,116,0.14662926353210373,0.0003902265228519947,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_52_best_state.pt,"{'learning_rate': 0.0003902265228519947, 'lr_reduce': 0.6}",TPESampler,COMPLETE
53,0.10522087663412094,2025-04-25 21:43:38.408218,2025-04-25 21:44:12.961591,0 days 00:00:34.553373,1,99,251,188.0,156.0,508.0,4,123,0.012404166986687962,0.001289625301352999,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_53_best_state.pt,"{'learning_rate': 0.001289625301352999, 'lr_reduce': 0.6}",TPESampler,COMPLETE
54,0.30354854464530945,2025-04-25 21:43:58.454021,2025-04-25 21:44:08.842806,0 days 00:00:10.388785,2,123,181,,,,1,110,0.20589752655980476,0.00883702431549598,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_54_best_state.pt,"{'learning_rate': 0.00883702431549598, 'lr_reduce': 0.6}",TPESampler,COMPLETE
55,0.20305436849594116,2025-04-25 21:44:05.464801,2025-04-25 21:44:40.326942,0 days 00:00:34.862141,1,127,149,369.0,247.0,,3,116,0.20952550131959036,0.0003018707576001465,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_55_best_state.pt,"{'learning_rate': 0.0003018707576001465, 'lr_reduce': 0.6}",TPESampler,COMPLETE
56,0.10381432622671127,2025-04-25 21:44:09.057971,2025-04-25 21:44:47.174623,0 days 00:00:38.116652,2,57,153,385.0,,,2,37,0.0010646258922029916,0.004979072144377053,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_56_best_state.pt,"{'learning_rate': 0.004979072144377053, 'lr_reduce': 0.6}",TPESampler,COMPLETE
57,0.4984704256057739,2025-04-25 21:44:13.172434,2025-04-25 21:44:23.836423,0 days 00:00:10.663989,2,107,246,331.0,157.0,507.0,4,119,0.06542571804828179,0.003150408139721046,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_57_best_state.pt,"{'learning_rate': 0.003150408139721046, 'lr_reduce': 0.6}",TPESampler,COMPLETE
58,0.8953683972358704,2025-04-25 21:44:24.057738,2025-04-25 21:44:28.576209,0 days 00:00:04.518471,2,87,228,335.0,141.0,,3,115,0.016140338128612642,0.0004846444098437381,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_58_best_state.pt,"{'learning_rate': 0.0004846444098437381, 'lr_reduce': 0.6}",TPESampler,COMPLETE
59,0.89048832654953,2025-04-25 21:44:28.816077,2025-04-25 21:44:33.118039,0 days 00:00:04.301962,2,91,297,139.0,211.0,506.0,4,112,0.004883784631211161,0.0014523234440406124,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_59_best_state.pt,"{'learning_rate': 0.0014523234440406124, 'lr_reduce': 0.6}",TPESampler,COMPLETE
60,0.13916197419166565,2025-04-25 21:44:33.318724,2025-04-25 21:44:55.008669,0 days 00:00:21.689945,1,94,381,64.0,,,2,92,0.08392694962967878,0.0015264511477621405,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_60_best_state.pt,"{'learning_rate': 0.0015264511477621405, 'lr_reduce': 0.6}",TPESampler,COMPLETE
61,0.15527553856372833,2025-04-25 21:44:40.538973,2025-04-25 21:45:04.482945,0 days 00:00:23.943972,1,100,305,309.0,140.0,,3,108,0.0011828987157596286,0.003524839648910206,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_61_best_state.pt,"{'learning_rate': 0.003524839648910206, 'lr_reduce': 0.6}",TPESampler,COMPLETE
62,0.8888905048370361,2025-04-25 21:44:47.374890,2025-04-25 21:44:52.110365,0 days 00:00:04.735475,2,44,122,,,,1,61,0.02710624152367918,0.003995709181914724,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_62_best_state.pt,"{'learning_rate': 0.003995709181914724, 'lr_reduce': 0.6}",TPESampler,COMPLETE
63,0.13364370167255402,2025-04-25 21:44:52.300677,2025-04-25 21:45:13.986423,0 days 00:00:21.685746,2,80,181,419.0,,,2,38,0.006103036087267364,0.006203362767082696,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_63_best_state.pt,"{'learning_rate': 0.006203362767082696, 'lr_reduce': 0.6}",TPESampler,COMPLETE
64,0.8918798565864563,2025-04-25 21:44:55.241429,2025-04-25 21:44:59.194680,0 days 00:00:03.953251,2,59,182,416.0,,,2,37,0.05939803770133368,0.0021768049567279513,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_64_best_state.pt,"{'learning_rate': 0.0021768049567279513, 'lr_reduce': 0.6}",TPESampler,COMPLETE
65,0.8891511559486389,2025-04-25 21:44:59.398719,2025-04-25 21:45:03.811164,0 days 00:00:04.412445,2,43,166,413.0,,,2,40,0.01643507609822576,0.004306612931837105,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_65_best_state.pt,"{'learning_rate': 0.004306612931837105, 'lr_reduce': 0.6}",TPESampler,COMPLETE
66,0.8975858688354492,2025-04-25 21:45:04.003312,2025-04-25 21:45:08.095927,0 days 00:00:04.092615,1,88,248,374.0,74.0,419.0,4,119,0.09509987507003557,0.00046288251513098297,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_66_best_state.pt,"{'learning_rate': 0.00046288251513098297, 'lr_reduce': 0.6}",TPESampler,COMPLETE
67,0.15403982996940613,2025-04-25 21:45:04.755196,2025-04-25 21:45:41.964534,0 days 00:00:37.209338,1,103,160,337.0,,,2,125,0.20805015846329755,0.0013944552467200604,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_67_best_state.pt,"{'learning_rate': 0.0013944552467200604, 'lr_reduce': 0.6}",TPESampler,COMPLETE
68,0.2909030020236969,2025-04-25 21:45:08.273475,2025-04-25 21:45:17.454106,0 days 00:00:09.180631,1,123,347,309.0,390.0,407.0,4,126,0.014743050506282178,0.002154279683282545,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_68_best_state.pt,"{'learning_rate': 0.002154279683282545, 'lr_reduce': 0.6}",TPESampler,COMPLETE
69,0.18693110346794128,2025-04-25 21:45:14.206211,2025-04-25 21:45:51.491317,0 days 00:00:37.285106,1,62,348,158.0,186.0,434.0,4,118,0.00362381527658873,0.0006130367550889949,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_69_best_state.pt,"{'learning_rate': 0.0006130367550889949, 'lr_reduce': 0.6}",TPESampler,COMPLETE
70,0.8919113278388977,2025-04-25 21:45:17.686894,2025-04-25 21:45:22.919030,0 days 00:00:05.232136,4,73,332,503.0,153.0,500.0,4,112,0.13773113416813432,0.001585134565666978,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_70_best_state.pt,"{'learning_rate': 0.001585134565666978, 'lr_reduce': 0.6}",TPESampler,COMPLETE
71,0.13686640560626984,2025-04-25 21:45:23.150040,2025-04-25 21:45:53.086894,0 days 00:00:29.936854,2,64,310,382.0,301.0,,3,76,0.029156259470743587,0.0068190936477181986,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_71_best_state.pt,"{'learning_rate': 0.0068190936477181986, 'lr_reduce': 0.6}",TPESampler,COMPLETE
72,0.14715752005577087,2025-04-25 21:45:42.203451,2025-04-25 21:46:11.844538,0 days 00:00:29.641087,1,122,68,212.0,67.0,429.0,4,98,0.020957973079581,0.0010701091518632976,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_72_best_state.pt,"{'learning_rate': 0.0010701091518632976, 'lr_reduce': 0.6}",TPESampler,COMPLETE
73,0.8988005518913269,2025-04-25 21:45:51.877902,2025-04-25 21:45:56.753525,0 days 00:00:04.875623,2,123,142,228.0,,,2,109,0.12201713788413121,0.00024777491788908855,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_73_best_state.pt,"{'learning_rate': 0.00024777491788908855, 'lr_reduce': 0.6}",TPESampler,COMPLETE
74,0.13971008360385895,2025-04-25 21:45:53.369462,2025-04-25 21:46:16.580215,0 days 00:00:23.210753,1,97,438,234.0,387.0,508.0,4,67,0.1639340789266282,0.0034856687525872143,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_74_best_state.pt,"{'learning_rate': 0.0034856687525872143, 'lr_reduce': 0.6}",TPESampler,COMPLETE
75,0.8888727426528931,2025-04-25 21:45:56.982888,2025-04-25 21:46:01.955717,0 days 00:00:04.972829,1,95,255,153.0,,,2,67,0.1459343527093025,0.005358705950339792,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_75_best_state.pt,"{'learning_rate': 0.005358705950339792, 'lr_reduce': 0.6}",TPESampler,COMPLETE
76,0.8930365443229675,2025-04-25 21:46:02.174531,2025-04-25 21:46:06.552644,0 days 00:00:04.378113,2,97,130,217.0,,,2,123,0.18183471919969987,0.00040206634528716276,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_76_best_state.pt,"{'learning_rate': 0.00040206634528716276, 'lr_reduce': 0.6}",TPESampler,COMPLETE
