number,value,datetime_start,datetime_complete,duration,params_C,params_epsilon,params_gamma,params_kernel,system_attrs_auto:sampler,state
31,0.28407718809739363,2025-04-24 20:59:34.607624,2025-04-24 20:59:35.076031,0 days 00:00:00.468407,0.16668373673175405,0.08588801593917991,0.0008406870103716236,linear,TPESampler,COMPLETE
32,0.2043276255683916,2025-04-24 20:59:34.779104,2025-04-24 20:59:35.441851,0 days 00:00:00.662747,0.38606641272680725,0.0033589611969169117,0.00010796905953255198,linear,TPESampler,COMPLETE
33,0.18319441295540753,2025-04-24 20:59:35.263418,2025-04-24 20:59:35.954832,0 days 00:00:00.691414,0.55283750652777,0.002756473528849865,0.0003263385167425331,linear,TPESampler,COMPLETE
34,0.15957381289987563,2025-04-24 20:59:35.639595,2025-04-24 20:59:36.393133,0 days 00:00:00.753538,1.416985729506559,0.02685567627740251,0.000161185255444878,linear,TPESampler,COMPLETE
35,0.21696827630129226,2025-04-24 20:59:36.135606,2025-04-24 20:59:36.738355,0 days 00:00:00.602749,0.3237214095746973,0.0033438958472581056,0.000378292516515751,linear,TPESampler,COMPLETE
36,0.15677142580603193,2025-04-24 20:59:36.555758,2025-04-24 20:59:41.428713,0 days 00:00:04.872955,10.009242024300523,0.0016139147937660682,0.00010247416622435857,linear,TPESampler,COMPLETE
37,0.6396061441815731,2025-04-24 20:59:36.937785,2025-04-24 20:59:37.426782,0 days 00:00:00.488997,1.6639714572518205,0.003481957645852147,0.00016506848458705986,rbf,TPESampler,COMPLETE
38,1.3604968033973193,2025-04-24 20:59:37.587769,2025-04-24 20:59:38.092763,0 days 00:00:00.504994,0.06645992760440181,0.0014403030198586895,0.0002611933634087771,sigmoid,TPESampler,COMPLETE
39,1.4151632454118537,2025-04-24 20:59:38.253815,2025-04-24 20:59:38.762314,0 days 00:00:00.508499,0.06380874382411839,0.00794773070900974,0.00033755477841715127,poly,TPESampler,COMPLETE
40,0.15575799252319208,2025-04-24 20:59:38.923034,2025-04-24 20:59:39.963353,0 days 00:00:01.040319,3.058880569069616,0.03408384953837738,0.0003564757358846761,linear,TPESampler,COMPLETE
