number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,params_subsample,system_attrs_auto:sampler,state
31,0.27184947032839657,2025-04-24 22:01:28.655010,2025-04-24 22:01:31.348046,0 days 00:00:02.693036,0.08509518723118957,8,sqrt,3,7,1404,0.8571447281219104,TPESampler,COMPLETE
32,0.2604969999006561,2025-04-24 22:01:30.761641,2025-04-24 22:01:32.581688,0 days 00:00:01.820047,0.09667995972664115,10,sqrt,3,4,902,0.9281213017676639,TPESampler,COMPLETE
33,0.24471223974509482,2025-04-24 22:01:31.503348,2025-04-24 22:01:34.048701,0 days 00:00:02.545353,0.08251362433039722,7,sqrt,1,5,1446,0.8629484806391395,TPESampler,COMPLETE
34,0.256546848224885,2025-04-24 22:01:32.763481,2025-04-24 22:01:35.508931,0 days 00:00:02.745450,0.07694899351044569,10,sqrt,1,4,1386,0.9831526881819704,TPESampler,COMPLETE
35,0.3237808438634532,2025-04-24 22:01:34.259321,2025-04-24 22:01:36.203718,0 days 00:00:01.944397,0.061732961118056345,6,log2,2,3,1134,0.8294572356753883,TPESampler,COMPLETE
36,0.2608810904844518,2025-04-24 22:01:35.685357,2025-04-24 22:01:39.050374,0 days 00:00:03.365017,0.04187535487694085,9,sqrt,1,3,1497,0.7768186305492707,TPESampler,COMPLETE
37,0.2546486404133153,2025-04-24 22:01:36.267429,2025-04-24 22:01:39.402380,0 days 00:00:03.134951,0.05146218270502134,7,sqrt,1,5,1225,0.8814581229606316,TPESampler,COMPLETE
38,0.2571521959233195,2025-04-24 22:01:36.384095,2025-04-24 22:01:39.713793,0 days 00:00:03.329698,0.07855676772722653,6,sqrt,1,3,1443,0.8782951767977032,TPESampler,COMPLETE
39,0.2940497983228729,2025-04-24 22:01:39.352812,2025-04-24 22:01:46.953915,0 days 00:00:07.601103,0.058372476768436245,8,,3,4,1468,0.7925272174740051,TPESampler,COMPLETE
40,0.27596634801253767,2025-04-24 22:01:39.676339,2025-04-24 22:01:41.948100,0 days 00:00:02.271761,0.055849279062993154,7,sqrt,3,7,1128,0.7760238419387436,TPESampler,COMPLETE
41,0.247609494380881,2025-04-24 22:01:39.931703,2025-04-24 22:01:42.170113,0 days 00:00:02.238410,0.06675701097892801,7,sqrt,1,7,1114,0.8976711286289523,TPESampler,COMPLETE
42,0.3379530789097146,2025-04-24 22:01:42.118002,2025-04-24 22:01:44.593284,0 days 00:00:02.475282,0.030836244609454316,4,sqrt,5,2,1434,0.8556171361035949,TPESampler,COMPLETE
43,0.2659220569363624,2025-04-24 22:01:42.377935,2025-04-24 22:01:44.520156,0 days 00:00:02.142221,0.04449433740303716,7,sqrt,1,5,1031,0.8456812260202655,TPESampler,COMPLETE
44,0.2741677343587386,2025-04-24 22:01:44.654167,2025-04-24 22:01:51.184988,0 days 00:00:06.530821,0.06057797694005306,7,,1,10,1151,0.9686126350802015,TPESampler,COMPLETE
45,0.2413501860056789,2025-04-24 22:01:44.764795,2025-04-24 22:01:47.073276,0 days 00:00:02.308481,0.06665852326672489,9,sqrt,1,8,1363,0.8095431156329486,TPESampler,COMPLETE
46,0.3019176136454884,2025-04-24 22:01:47.125322,2025-04-24 22:01:49.097187,0 days 00:00:01.971865,0.04902694990248179,9,log2,1,9,911,0.8752829825380455,TPESampler,COMPLETE
47,0.271556915724302,2025-04-24 22:01:47.248940,2025-04-24 22:01:49.792363,0 days 00:00:02.543423,0.05726016959215827,9,sqrt,2,11,1352,0.7867303777177531,TPESampler,COMPLETE
48,0.28024282520507254,2025-04-24 22:01:49.376290,2025-04-24 22:01:52.455072,0 days 00:00:03.078782,0.09881444514555132,6,log2,1,12,1449,0.8154893371413043,TPESampler,COMPLETE
49,0.32148314236720005,2025-04-24 22:01:50.024372,2025-04-24 22:01:52.922662,0 days 00:00:02.898290,0.038352338968617956,6,log2,1,6,1410,0.9742884574932158,TPESampler,COMPLETE
50,0.2484198481027941,2025-04-24 22:01:51.376346,2025-04-24 22:01:54.559643,0 days 00:00:03.183297,0.08947149417816379,5,sqrt,1,8,1336,0.7511206735380019,TPESampler,COMPLETE
51,0.28793565985083974,2025-04-24 22:01:52.636121,2025-04-24 22:01:55.692549,0 days 00:00:03.056428,0.07765204284913801,9,log2,1,7,1391,0.8524049210732683,TPESampler,COMPLETE
52,0.2580375082059768,2025-04-24 22:01:53.081731,2025-04-24 22:01:55.085432,0 days 00:00:02.003701,0.09721783660808409,8,sqrt,1,9,699,0.8526713684367575,TPESampler,COMPLETE
53,0.2935825575729021,2025-04-24 22:01:54.736175,2025-04-24 22:01:57.724872,0 days 00:00:02.988697,0.06856809352786487,5,sqrt,2,9,1343,0.7598946918004977,TPESampler,COMPLETE
54,0.2748832281331857,2025-04-24 22:01:55.277722,2025-04-24 22:01:58.343538,0 days 00:00:03.065816,0.09229910207309582,5,sqrt,1,3,1325,0.7170257071235567,TPESampler,COMPLETE
55,0.24797048019122578,2025-04-24 22:01:55.901377,2025-04-24 22:01:58.887332,0 days 00:00:02.985955,0.09468104386108597,8,sqrt,1,10,1276,0.7762398854854299,TPESampler,COMPLETE
56,0.2841582671683376,2025-04-24 22:01:57.898574,2025-04-24 22:02:01.622928,0 days 00:00:03.724354,0.08720200785810646,3,,1,10,1123,0.6667364486693739,TPESampler,COMPLETE
57,0.2857143593857883,2025-04-24 22:01:58.550920,2025-04-24 22:02:01.083873,0 days 00:00:02.532953,0.07102530794548992,5,sqrt,2,9,1206,0.9032448582597686,TPESampler,COMPLETE
58,0.2611201167697776,2025-04-24 22:01:59.042950,2025-04-24 22:02:01.552741,0 days 00:00:02.509791,0.09196264277716287,9,sqrt,1,7,1169,0.7215161797643459,TPESampler,COMPLETE
59,0.6822067046676268,2025-04-24 22:02:01.262689,2025-04-24 22:02:02.364018,0 days 00:00:01.101329,0.020819190491901576,7,log2,10,17,476,0.638521001136271,TPESampler,COMPLETE
60,0.25538523079343134,2025-04-24 22:02:01.723147,2025-04-24 22:02:05.370666,0 days 00:00:03.647519,0.09351671652019769,9,sqrt,1,14,1454,0.7460570773271371,TPESampler,COMPLETE
61,0.24297771445530617,2025-04-24 22:02:01.801423,2025-04-24 22:02:05.398414,0 days 00:00:03.596991,0.097776365044469,9,sqrt,2,5,1470,0.7720381732457864,TPESampler,COMPLETE
62,0.3847893996473062,2025-04-24 22:02:02.541802,2025-04-24 22:02:04.381195,0 days 00:00:01.839393,0.020442005991605998,11,log2,2,10,597,0.6286918222549749,TPESampler,COMPLETE
63,0.2849366519045189,2025-04-24 22:02:04.557801,2025-04-24 22:02:11.799479,0 days 00:00:07.241678,0.08355739869333127,6,,1,5,1487,0.8367722066021199,TPESampler,COMPLETE
64,0.25161707391987026,2025-04-24 22:02:05.501751,2025-04-24 22:02:08.284627,0 days 00:00:02.782876,0.0727352982370974,9,sqrt,1,5,1347,0.7728535801567308,TPESampler,COMPLETE
65,0.333975854766019,2025-04-24 22:02:05.552400,2025-04-24 22:02:08.382193,0 days 00:00:02.829793,0.018392145715731965,10,log2,2,10,1406,0.7616311130355309,TPESampler,COMPLETE
66,0.2540192781007802,2025-04-24 22:02:08.450539,2025-04-24 22:02:11.043878,0 days 00:00:02.593339,0.09258171113190612,5,sqrt,1,11,1276,0.7436947155696729,TPESampler,COMPLETE
67,0.23459154708221225,2025-04-24 22:02:08.586752,2025-04-24 22:02:11.881191,0 days 00:00:03.294439,0.07688046442545539,10,sqrt,1,11,1289,0.8743474491221417,TPESampler,COMPLETE
68,0.39451223645526695,2025-04-24 22:02:11.211657,2025-04-24 22:02:14.472554,0 days 00:00:03.260897,0.08519489953024972,5,,10,3,754,0.7334864013559564,TPESampler,COMPLETE
69,0.26069407925307453,2025-04-24 22:02:11.935149,2025-04-24 22:02:14.483938,0 days 00:00:02.548789,0.07578715822994748,9,sqrt,2,13,1223,0.8775139646878855,TPESampler,COMPLETE
70,0.24005804587328558,2025-04-24 22:02:11.996108,2025-04-24 22:02:15.179383,0 days 00:00:03.183275,0.06944922786170656,11,sqrt,1,12,1450,0.901095764609999,TPESampler,COMPLETE
71,0.24763690240813171,2025-04-24 22:02:14.616263,2025-04-24 22:02:18.505060,0 days 00:00:03.888797,0.09784852481870225,8,sqrt,1,6,1490,0.7675799848942627,TPESampler,COMPLETE
72,0.25625432606094944,2025-04-24 22:02:14.664391,2025-04-24 22:02:17.399176,0 days 00:00:02.734785,0.09867206871599547,12,sqrt,1,10,940,0.8739300562580301,TPESampler,COMPLETE
73,0.26878243672147445,2025-04-24 22:02:15.374807,2025-04-24 22:02:18.567124,0 days 00:00:03.192317,0.04918877227846032,12,sqrt,3,8,1377,0.8593579496501748,TPESampler,COMPLETE
74,0.27759057744347576,2025-04-24 22:02:17.588101,2025-04-24 22:02:20.689313,0 days 00:00:03.101212,0.042223148858797487,9,sqrt,3,13,1416,0.9559717175700024,TPESampler,COMPLETE
75,0.2849357854554169,2025-04-24 22:02:18.651509,2025-04-24 22:02:22.188113,0 days 00:00:03.536604,0.0702884108709016,8,sqrt,4,2,1456,0.8817003380531055,TPESampler,COMPLETE
76,0.23249258764592687,2025-04-24 22:02:18.721926,2025-04-24 22:02:22.216068,0 days 00:00:03.494142,0.09113331373126339,9,sqrt,1,9,1427,0.8658727478954149,TPESampler,COMPLETE
77,0.2620857281808477,2025-04-24 22:02:20.875056,2025-04-24 22:02:23.807981,0 days 00:00:02.932925,0.08342418789782632,9,sqrt,3,4,1320,0.80984483858488,TPESampler,COMPLETE
78,0.2477704892897913,2025-04-24 22:02:22.332549,2025-04-24 22:02:25.862156,0 days 00:00:03.529607,0.0821001691023165,11,sqrt,1,12,1465,0.8366919992283235,TPESampler,COMPLETE
79,0.24540594800460752,2025-04-24 22:02:22.383423,2025-04-24 22:02:26.014691,0 days 00:00:03.631268,0.055855154535097415,12,sqrt,1,15,1465,0.867044088659832,TPESampler,COMPLETE
80,0.40599984069812606,2025-04-24 22:02:24.013424,2025-04-24 22:02:27.176689,0 days 00:00:03.163265,0.0478118278200674,9,sqrt,9,9,1468,0.8672485714626668,TPESampler,COMPLETE
81,0.24339571129584017,2025-04-24 22:02:26.035950,2025-04-24 22:02:29.114938,0 days 00:00:03.078988,0.07405568716061535,12,sqrt,1,16,1158,0.8788740004294553,TPESampler,COMPLETE
82,0.2770359109375687,2025-04-24 22:02:26.194699,2025-04-24 22:02:29.121468,0 days 00:00:02.926769,0.05641692529034694,11,log2,1,18,1182,0.8874201127943755,TPESampler,COMPLETE
83,0.2762145481286355,2025-04-24 22:02:27.345201,2025-04-24 22:02:30.408571,0 days 00:00:03.063370,0.08746108606117589,12,sqrt,4,2,1494,0.7431635884417338,TPESampler,COMPLETE
84,0.2585052019840407,2025-04-24 22:02:29.283979,2025-04-24 22:02:32.655275,0 days 00:00:03.371296,0.07402272323335958,11,sqrt,2,19,1469,0.8939941328761808,TPESampler,COMPLETE
85,0.2730026357099766,2025-04-24 22:02:29.333820,2025-04-24 22:02:32.118530,0 days 00:00:02.784710,0.04681607246357312,11,sqrt,2,19,1076,0.8181851837029229,TPESampler,COMPLETE
