number,value,datetime_start,datetime_complete,duration,params_depth,params_edge_hidden_dim,params_mlp_dim_00,params_mlp_dim_01,params_mlp_dim_02,params_mlp_dim_03,params_mlp_n_layers,params_node_hidden_dim,params_rep_dropout,params_train_learning_rate,params_train_lr_reduce,user_attrs_best_state_dict_path,user_attrs_training_params,system_attrs_auto:sampler,state
1341,0.18568161129951477,2025-04-26 09:54:33.460258,2025-04-26 09:54:57.088811,0 days 00:00:23.628553,2,107,422,303.0,,,2,116,0.2141326231780993,0.0018314522761699705,0.6,/work3/arnaou/checkpoints/megnet_Pc_trial_1341_best_state.pt,"{'learning_rate': 0.0018314522761699705, 'lr_reduce': 0.6}",TPESampler,COMPLETE
1342,0.09467773884534836,2025-04-26 09:54:42.675409,2025-04-26 09:55:02.339852,0 days 00:00:19.664443,1,48,432,353.0,371.0,215.0,4,103,0.166066424801666,0.0063820083249619824,0.6,/work3/arnaou/checkpoints/megnet_Pc_trial_1342_best_state.pt,"{'learning_rate': 0.0063820083249619824, 'lr_reduce': 0.6}",TPESampler,COMPLETE
1343,0.09655565768480301,2025-04-26 09:54:57.289601,2025-04-26 09:55:22.341951,0 days 00:00:25.052350,1,56,183,495.0,,,2,125,0.0705111962285519,0.00947085410585571,0.6,/work3/arnaou/checkpoints/megnet_Pc_trial_1343_best_state.pt,"{'learning_rate': 0.00947085410585571, 'lr_reduce': 0.6}",TPESampler,COMPLETE
1344,0.16819404065608978,2025-04-26 09:54:59.336671,2025-04-26 09:55:14.651642,0 days 00:00:15.314971,1,90,169,422.0,200.0,406.0,4,68,0.09040490313713051,0.0017274046410143571,0.6,/work3/arnaou/checkpoints/megnet_Pc_trial_1344_best_state.pt,"{'learning_rate': 0.0017274046410143571, 'lr_reduce': 0.6}",TPESampler,COMPLETE
1345,0.8872675895690918,2025-04-26 09:55:02.551343,2025-04-26 09:55:10.553720,0 days 00:00:08.002377,4,114,495,386.0,326.0,,3,121,0.20814534313765776,0.008624205052974118,0.6,/work3/arnaou/checkpoints/megnet_Pc_trial_1345_best_state.pt,"{'learning_rate': 0.008624205052974118, 'lr_reduce': 0.6}",TPESampler,COMPLETE
1346,0.19840872287750244,2025-04-26 09:55:10.746721,2025-04-26 09:55:29.188696,0 days 00:00:18.441975,2,63,360,295.0,432.0,,3,128,0.05223357937239708,0.009104532381034432,0.6,/work3/arnaou/checkpoints/megnet_Pc_trial_1346_best_state.pt,"{'learning_rate': 0.009104532381034432, 'lr_reduce': 0.6}",TPESampler,COMPLETE
1347,0.12194114178419113,2025-04-26 09:55:14.866095,2025-04-26 09:55:43.960153,0 days 00:00:29.094058,1,37,300,454.0,388.0,,3,111,0.21491522381216824,0.0034850547492333373,0.6,/work3/arnaou/checkpoints/megnet_Pc_trial_1347_best_state.pt,"{'learning_rate': 0.0034850547492333373, 'lr_reduce': 0.6}",TPESampler,COMPLETE
1348,0.1203228160738945,2025-04-26 09:55:22.550673,2025-04-26 09:55:57.952258,0 days 00:00:35.401585,2,32,505,,,,1,65,0.05361772517615568,0.00928285887174406,0.6,/work3/arnaou/checkpoints/megnet_Pc_trial_1348_best_state.pt,"{'learning_rate': 0.00928285887174406, 'lr_reduce': 0.6}",TPESampler,COMPLETE
1349,0.8860852122306824,2025-04-26 09:55:29.404856,2025-04-26 09:55:34.202600,0 days 00:00:04.797744,4,69,287,338.0,,,2,112,0.007628293622783777,0.0010057182748979614,0.6,/work3/arnaou/checkpoints/megnet_Pc_trial_1349_best_state.pt,"{'learning_rate': 0.0010057182748979614, 'lr_reduce': 0.6}",TPESampler,COMPLETE
1350,0.16630986332893372,2025-04-26 09:55:34.419366,2025-04-26 09:55:53.549374,0 days 00:00:19.130008,2,48,400,,,,1,96,0.21755524534247275,0.0016635364465759001,0.6,/work3/arnaou/checkpoints/megnet_Pc_trial_1350_best_state.pt,"{'learning_rate': 0.0016635364465759001, 'lr_reduce': 0.6}",TPESampler,COMPLETE
1351,0.1296664923429489,2025-04-26 09:55:44.382356,2025-04-26 09:56:12.231626,0 days 00:00:27.849270,1,39,385,388.0,331.0,,3,118,0.22402242114426396,0.002988173676370524,0.6,/work3/arnaou/checkpoints/megnet_Pc_trial_1351_best_state.pt,"{'learning_rate': 0.002988173676370524, 'lr_reduce': 0.6}",TPESampler,COMPLETE
1352,0.1225421354174614,2025-04-26 09:55:53.768356,2025-04-26 09:56:23.168277,0 days 00:00:29.399921,1,52,425,340.0,270.0,,3,111,0.1797268653939796,0.004046223658745851,0.6,/work3/arnaou/checkpoints/megnet_Pc_trial_1352_best_state.pt,"{'learning_rate': 0.004046223658745851, 'lr_reduce': 0.6}",TPESampler,COMPLETE
1353,0.14315614104270935,2025-04-26 09:55:58.163058,2025-04-26 09:56:20.860807,0 days 00:00:22.697749,1,33,503,282.0,424.0,,3,101,0.17843380082915672,0.0062116554576394116,0.6,/work3/arnaou/checkpoints/megnet_Pc_trial_1353_best_state.pt,"{'learning_rate': 0.0062116554576394116, 'lr_reduce': 0.6}",TPESampler,COMPLETE
1354,0.14646944403648376,2025-04-26 09:56:12.451594,2025-04-26 09:56:25.113360,0 days 00:00:12.661766,1,35,394,427.0,,,2,89,0.2330621819579201,0.007533653031712389,0.6,/work3/arnaou/checkpoints/megnet_Pc_trial_1354_best_state.pt,"{'learning_rate': 0.007533653031712389, 'lr_reduce': 0.6}",TPESampler,COMPLETE
1355,0.11728218197822571,2025-04-26 09:56:21.085289,2025-04-26 09:56:49.701990,0 days 00:00:28.616701,1,102,147,,,,1,111,0.10517600766477893,0.005422157886792871,0.6,/work3/arnaou/checkpoints/megnet_Pc_trial_1355_best_state.pt,"{'learning_rate': 0.005422157886792871, 'lr_reduce': 0.6}",TPESampler,COMPLETE
1356,0.15700462460517883,2025-04-26 09:56:23.395179,2025-04-26 09:56:59.774836,0 days 00:00:36.379657,1,64,364,389.0,374.0,,3,58,0.2143390495606797,0.006997610538884412,0.6,/work3/arnaou/checkpoints/megnet_Pc_trial_1356_best_state.pt,"{'learning_rate': 0.006997610538884412, 'lr_reduce': 0.6}",TPESampler,COMPLETE
1357,0.5816744565963745,2025-04-26 09:56:25.341595,2025-04-26 09:56:32.908841,0 days 00:00:07.567246,2,70,198,278.0,,,2,107,0.2175387768551909,0.008523956014601939,0.6,/work3/arnaou/checkpoints/megnet_Pc_trial_1357_best_state.pt,"{'learning_rate': 0.008523956014601939, 'lr_reduce': 0.6}",TPESampler,COMPLETE
1358,0.8867391347885132,2025-04-26 09:56:33.337550,2025-04-26 09:56:38.828376,0 days 00:00:05.490826,3,63,430,471.0,,,2,81,0.09834316449682512,0.0020866513276801882,0.6,/work3/arnaou/checkpoints/megnet_Pc_trial_1358_best_state.pt,"{'learning_rate': 0.0020866513276801882, 'lr_reduce': 0.6}",TPESampler,COMPLETE
1359,0.09478148818016052,2025-04-26 09:56:39.094266,2025-04-26 09:57:06.717755,0 days 00:00:27.623489,2,57,502,,,,1,77,0.1726045452203845,0.005156535306065469,0.6,/work3/arnaou/checkpoints/megnet_Pc_trial_1359_best_state.pt,"{'learning_rate': 0.005156535306065469, 'lr_reduce': 0.6}",TPESampler,COMPLETE
1360,0.1093248575925827,2025-04-26 09:56:49.915932,2025-04-26 09:57:24.208007,0 days 00:00:34.292075,1,34,404,322.0,314.0,,3,112,0.1745445580489873,0.008143095928000905,0.6,/work3/arnaou/checkpoints/megnet_Pc_trial_1360_best_state.pt,"{'learning_rate': 0.008143095928000905, 'lr_reduce': 0.6}",TPESampler,COMPLETE
1361,0.1473913937807083,2025-04-26 09:56:59.989858,2025-04-26 09:57:21.556087,0 days 00:00:21.566229,1,54,368,423.0,,,2,81,0.21121608377852827,0.0025521118406085924,0.6,/work3/arnaou/checkpoints/megnet_Pc_trial_1361_best_state.pt,"{'learning_rate': 0.0025521118406085924, 'lr_reduce': 0.6}",TPESampler,COMPLETE
1362,0.8868107199668884,2025-04-26 09:57:06.952799,2025-04-26 09:57:13.288088,0 days 00:00:06.335289,3,79,288,376.0,383.0,116.0,4,116,0.15593938136668958,0.00026298515239894414,0.6,/work3/arnaou/checkpoints/megnet_Pc_trial_1362_best_state.pt,"{'learning_rate': 0.00026298515239894414, 'lr_reduce': 0.6}",TPESampler,COMPLETE
1363,0.08172125369310379,2025-04-26 09:57:13.520710,2025-04-26 09:57:54.600812,0 days 00:00:41.080102,1,52,207,286.0,258.0,355.0,4,74,0.1734574530139834,0.008520591996677748,0.6,/work3/arnaou/checkpoints/megnet_Pc_trial_1363_best_state.pt,"{'learning_rate': 0.008520591996677748, 'lr_reduce': 0.6}",TPESampler,COMPLETE
1364,0.17539173364639282,2025-04-26 09:57:21.787808,2025-04-26 09:57:39.924038,0 days 00:00:18.136230,1,43,485,351.0,,,2,45,0.19327128107464206,0.0071525295995507505,0.6,/work3/arnaou/checkpoints/megnet_Pc_trial_1364_best_state.pt,"{'learning_rate': 0.0071525295995507505, 'lr_reduce': 0.6}",TPESampler,COMPLETE
1365,0.8867796659469604,2025-04-26 09:57:24.424269,2025-04-26 09:57:30.588585,0 days 00:00:06.164316,2,41,360,,,,1,75,0.10526883765918357,0.000770112397056784,0.6,/work3/arnaou/checkpoints/megnet_Pc_trial_1365_best_state.pt,"{'learning_rate': 0.000770112397056784, 'lr_reduce': 0.6}",TPESampler,COMPLETE
1366,0.8866979479789734,2025-04-26 09:57:30.784736,2025-04-26 09:57:35.669973,0 days 00:00:04.885237,2,86,487,444.0,,,2,97,0.20942397449859754,0.0001530451813588126,0.6,/work3/arnaou/checkpoints/megnet_Pc_trial_1366_best_state.pt,"{'learning_rate': 0.0001530451813588126, 'lr_reduce': 0.6}",TPESampler,COMPLETE
1367,0.15141643583774567,2025-04-26 09:57:35.856936,2025-04-26 09:58:07.617414,0 days 00:00:31.760478,1,79,297,512.0,,,2,120,0.2105295869291873,0.0028640648932602496,0.6,/work3/arnaou/checkpoints/megnet_Pc_trial_1367_best_state.pt,"{'learning_rate': 0.0028640648932602496, 'lr_reduce': 0.6}",TPESampler,COMPLETE
