number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,params_subsample,system_attrs_auto:sampler,state
31,0.29302636563775,2025-04-24 21:35:27.676209,2025-04-24 21:35:31.176262,0 days 00:00:03.500053,0.03657812084995504,5,sqrt,3,20,1242,0.7055885492898755,TPESampler,COMPLETE
32,0.28612022328168024,2025-04-24 21:35:28.297648,2025-04-24 21:35:31.982078,0 days 00:00:03.684430,0.027470953728171526,8,sqrt,1,9,1457,0.6794546017827499,TPESampler,COMPLETE
33,0.3714444523233269,2025-04-24 21:35:31.095054,2025-04-24 21:35:38.103158,0 days 00:00:07.008104,0.09724285229662677,10,,2,16,1378,0.719975351411661,TPESampler,COMPLETE
34,0.25782784307184947,2025-04-24 21:35:31.421390,2025-04-24 21:35:34.218794,0 days 00:00:02.797404,0.08318095741695068,7,log2,1,16,1428,0.6193008948003531,TPESampler,COMPLETE
35,0.2814999628917404,2025-04-24 21:35:32.170674,2025-04-24 21:35:35.242369,0 days 00:00:03.071695,0.074583748112541,8,sqrt,1,17,1288,0.6197858821783567,TPESampler,COMPLETE
36,0.29029284590420756,2025-04-24 21:35:34.397171,2025-04-24 21:35:38.429142,0 days 00:00:04.031971,0.06357657890226767,9,log2,1,18,1475,0.6235911079162789,TPESampler,COMPLETE
37,0.28507175513577904,2025-04-24 21:35:35.476811,2025-04-24 21:35:38.950733,0 days 00:00:03.473922,0.09284966788926845,6,log2,3,20,1439,0.6482982001543861,TPESampler,COMPLETE
38,0.29430410964704995,2025-04-24 21:35:38.296074,2025-04-24 21:35:41.471600,0 days 00:00:03.175526,0.06511915391051563,9,log2,1,15,1416,0.7788788854615393,TPESampler,COMPLETE
39,0.28760445133039225,2025-04-24 21:35:38.592302,2025-04-24 21:35:44.103695,0 days 00:00:05.511393,0.026935235760497146,7,,1,15,1232,0.6982005268975483,TPESampler,COMPLETE
40,0.28736491789327223,2025-04-24 21:35:39.134656,2025-04-24 21:35:42.171680,0 days 00:00:03.037024,0.027100174671784952,6,sqrt,1,15,1295,0.6359255316900951,TPESampler,COMPLETE
41,0.2900729079870098,2025-04-24 21:35:41.657306,2025-04-24 21:35:44.531722,0 days 00:00:02.874416,0.09843400865125503,9,log2,1,15,1142,0.698644287436795,TPESampler,COMPLETE
42,0.3481771665644112,2025-04-24 21:35:42.374413,2025-04-24 21:35:45.312441,0 days 00:00:02.938028,0.03691335348346704,5,log2,1,19,1274,0.6144536639036705,TPESampler,COMPLETE
43,0.27936642006762974,2025-04-24 21:35:44.325556,2025-04-24 21:35:47.958467,0 days 00:00:03.632911,0.049308819074461885,8,sqrt,1,16,1300,0.6586164024948311,TPESampler,COMPLETE
44,0.2991322576345358,2025-04-24 21:35:44.727272,2025-04-24 21:35:47.737216,0 days 00:00:03.009944,0.07626281868670243,8,sqrt,2,19,976,0.6246335456186303,TPESampler,COMPLETE
45,0.2713392912125828,2025-04-24 21:35:45.511150,2025-04-24 21:35:48.289827,0 days 00:00:02.778677,0.08775899350543223,4,sqrt,1,16,969,0.6817915423452716,TPESampler,COMPLETE
46,0.27902076272092075,2025-04-24 21:35:47.918318,2025-04-24 21:35:51.341238,0 days 00:00:03.422920,0.030040607240025895,9,sqrt,1,16,1258,0.7146076871425688,TPESampler,COMPLETE
47,0.28125437342299103,2025-04-24 21:35:48.172792,2025-04-24 21:35:50.705388,0 days 00:00:02.532596,0.06620000113262234,4,sqrt,1,7,770,0.7393583937611466,TPESampler,COMPLETE
48,0.22987804161392136,2025-04-24 21:35:48.588797,2025-04-24 21:35:52.129143,0 days 00:00:03.540346,0.08735428609397143,4,sqrt,1,14,1468,0.7554859837617074,TPESampler,COMPLETE
49,0.40316272762386535,2025-04-24 21:35:50.973864,2025-04-24 21:35:52.455530,0 days 00:00:01.481666,0.04327679419054192,4,sqrt,1,17,464,0.6983814888990609,TPESampler,COMPLETE
50,0.3302059390016655,2025-04-24 21:35:51.507391,2025-04-24 21:35:53.982519,0 days 00:00:02.475128,0.0818937392659582,4,sqrt,4,17,1183,0.6529234443455357,TPESampler,COMPLETE
51,0.33546046753266673,2025-04-24 21:35:52.287227,2025-04-24 21:35:54.673495,0 days 00:00:02.386268,0.07859989649729157,4,log2,1,14,1035,0.7089923577663805,TPESampler,COMPLETE
52,0.35815943169082054,2025-04-24 21:35:52.606497,2025-04-24 21:35:55.916361,0 days 00:00:03.309864,0.05936376115681359,3,log2,1,15,1484,0.8746236831771951,TPESampler,COMPLETE
53,0.3049018980103235,2025-04-24 21:35:54.136591,2025-04-24 21:35:56.806202,0 days 00:00:02.669611,0.08873069239575296,6,sqrt,2,15,1338,0.8148243885864707,TPESampler,COMPLETE
54,0.2917864436637958,2025-04-24 21:35:54.822057,2025-04-24 21:35:56.475413,0 days 00:00:01.653356,0.09432183691131857,3,sqrt,2,17,697,0.6549097548635605,TPESampler,COMPLETE
55,0.27346198461762333,2025-04-24 21:35:56.074589,2025-04-24 21:35:58.339675,0 days 00:00:02.265086,0.09766540396963543,7,log2,1,18,1197,0.6155549338687679,TPESampler,COMPLETE
56,0.3093293360447125,2025-04-24 21:35:56.858692,2025-04-24 21:35:59.003864,0 days 00:00:02.145172,0.09203567970775753,5,sqrt,1,18,839,0.7878790718538788,TPESampler,COMPLETE
57,0.2964993005818486,2025-04-24 21:35:57.025809,2025-04-24 21:35:59.488850,0 days 00:00:02.463041,0.04096238109780298,3,sqrt,1,13,1152,0.6280606821326102,TPESampler,COMPLETE
