number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,system_attrs_auto:sampler,state
35,0.4095694011484268,2025-04-24 21:34:49.463450,2025-04-24 21:34:50.788777,0 days 00:00:01.325327,True,squared_error,25,,1,6,190,TPESampler,COMPLETE
36,0.40830743469823116,2025-04-24 21:34:50.942807,2025-04-24 21:34:52.131537,0 days 00:00:01.188730,True,squared_error,26,,1,6,158,TPESampler,COMPLETE
37,0.44425749811301607,2025-04-24 21:34:52.293885,2025-04-24 21:35:03.028495,0 days 00:00:10.734610,True,absolute_error,9,,1,7,185,TPESampler,COMPLETE
38,0.8459964399840543,2025-04-24 21:35:00.351131,2025-04-24 21:35:02.000482,0 days 00:00:01.649351,True,squared_error,48,sqrt,2,3,791,TPESampler,COMPLETE
39,0.6936943075106657,2025-04-24 21:35:02.151617,2025-04-24 21:35:02.819450,0 days 00:00:00.667833,True,squared_error,31,sqrt,1,10,105,TPESampler,COMPLETE
40,0.9459762283157096,2025-04-24 21:35:02.988536,2025-04-24 21:35:03.944051,0 days 00:00:00.955515,False,squared_error,20,log2,1,9,255,TPESampler,COMPLETE
41,0.4185366229040662,2025-04-24 21:35:03.230925,2025-04-24 21:35:05.410406,0 days 00:00:02.179481,True,squared_error,21,,1,2,228,TPESampler,COMPLETE
42,0.40287043115321564,2025-04-24 21:35:04.119577,2025-04-24 21:35:10.415562,0 days 00:00:06.295985,False,squared_error,47,,2,3,920,TPESampler,COMPLETE
43,0.4368514906320873,2025-04-24 21:35:05.568514,2025-04-24 21:35:06.452807,0 days 00:00:00.884293,True,squared_error,18,,2,13,104,TPESampler,COMPLETE
44,0.4070144780458994,2025-04-24 21:35:06.606792,2025-04-24 21:35:08.466058,0 days 00:00:01.859266,True,squared_error,29,,1,7,312,TPESampler,COMPLETE
45,0.4086667145012311,2025-04-24 21:35:08.622183,2025-04-24 21:35:09.592299,0 days 00:00:00.970116,True,squared_error,23,,1,5,105,TPESampler,COMPLETE
46,0.4228361704576001,2025-04-24 21:35:09.759143,2025-04-24 21:35:11.440725,0 days 00:00:01.681582,False,squared_error,29,,1,5,149,TPESampler,COMPLETE
47,0.4028684569589126,2025-04-24 21:35:10.629311,2025-04-24 21:35:17.375221,0 days 00:00:06.745910,False,squared_error,45,,2,3,938,TPESampler,COMPLETE
48,0.4038943387055016,2025-04-24 21:35:11.605512,2025-04-24 21:35:14.890829,0 days 00:00:03.285317,True,squared_error,39,,2,4,659,TPESampler,COMPLETE
49,0.45485558264005044,2025-04-24 21:35:14.484135,2025-04-24 21:35:16.112063,0 days 00:00:01.627928,True,squared_error,37,,1,15,202,TPESampler,COMPLETE
50,0.9234436517834907,2025-04-24 21:35:15.135042,2025-04-24 21:35:26.767015,0 days 00:00:11.631973,False,absolute_error,36,sqrt,2,3,764,TPESampler,COMPLETE
51,0.4170562133919163,2025-04-24 21:35:16.268776,2025-04-24 21:35:19.297747,0 days 00:00:03.028971,True,squared_error,44,,3,2,600,TPESampler,COMPLETE
52,0.42848096617772974,2025-04-24 21:35:17.531189,2025-04-24 21:35:24.453759,0 days 00:00:06.922570,False,squared_error,38,,1,7,959,TPESampler,COMPLETE
53,0.4652429964236937,2025-04-24 21:35:19.463371,2025-04-24 21:35:23.160185,0 days 00:00:03.696814,False,squared_error,41,,6,4,761,TPESampler,COMPLETE
54,0.40287110712684776,2025-04-24 21:35:23.326236,2025-04-24 21:35:29.378234,0 days 00:00:06.051998,False,squared_error,40,,2,2,848,TPESampler,COMPLETE
55,0.4028691523583126,2025-04-24 21:35:24.618841,2025-04-24 21:35:31.690105,0 days 00:00:07.071264,False,squared_error,48,,2,4,954,TPESampler,COMPLETE
56,0.5907998740523049,2025-04-24 21:35:26.928251,2025-04-24 21:35:29.582452,0 days 00:00:02.654201,False,squared_error,47,log2,1,2,753,TPESampler,COMPLETE
57,0.48130820397949686,2025-04-24 21:35:29.548644,2025-04-24 21:37:13.396646,0 days 00:01:43.848002,False,absolute_error,48,,1,3,830,TPESampler,COMPLETE
58,0.46719866460031356,2025-04-24 21:35:29.783590,2025-04-24 21:35:37.063534,0 days 00:00:07.279944,False,squared_error,33,,1,2,786,TPESampler,COMPLETE
