number,value,datetime_start,datetime_complete,duration,params_constant_value,params_kernel_type,params_length_scale,params_noise_level,params_nu,system_attrs_auto:sampler,state
29,1.3307518540987464,2025-04-24 20:59:01.582729,2025-04-24 20:59:05.469971,0 days 00:00:03.887242,25582.21488545364,Matern,18466.131340602704,1.56371163482522e-07,2.5,TPESampler,COMPLETE
30,1.3307518540158685,2025-04-24 20:59:03.608683,2025-04-24 20:59:06.365218,0 days 00:00:02.756535,3.953591165684731,Matern,0.06625902763900746,0.008630745202015547,1.5,TPESampler,COMPLETE
31,0.210643350891641,2025-04-24 20:59:03.740809,2025-04-24 20:59:08.807125,0 days 00:00:05.066316,0.0011379111086328884,RBF,5.686181881554488,0.5345032345796087,1.5,TPESampler,COMPLETE
32,0.1726185556289472,2025-04-24 20:59:05.670578,2025-04-24 20:59:08.869697,0 days 00:00:03.199119,75019.85230649747,Matern,3.7320503977199078,0.00012216501679879676,1.5,TPESampler,COMPLETE
33,0.21064485368919467,2025-04-24 20:59:06.570860,2025-04-24 20:59:09.304797,0 days 00:00:02.733937,0.49693183491170934,RBF,1.2093193569692444,0.003088137187395775,0.5,TPESampler,COMPLETE
34,0.17261953745393088,2025-04-24 20:59:08.935055,2025-04-24 20:59:14.278678,0 days 00:00:05.343623,46216.93219560671,Matern,0.9395083912134118,3.0095075341820164e-05,1.5,TPESampler,COMPLETE
35,0.17261955197415216,2025-04-24 20:59:09.007981,2025-04-24 20:59:12.585702,0 days 00:00:03.577721,13187.83117815841,Matern,4.271354509594317,2.7659112180982832e-06,1.5,TPESampler,COMPLETE
36,1.3307518540981225,2025-04-24 20:59:09.540201,2025-04-24 20:59:14.338281,0 days 00:00:04.798080,0.022233824779786495,RBF,0.04450218461714772,0.5072860642905385,1.5,TPESampler,COMPLETE
37,0.1726185088770196,2025-04-24 20:59:12.786584,2025-04-24 20:59:20.701476,0 days 00:00:07.914892,674.7979505277714,Matern,3.7615045657909887,6.470002793833796e-08,1.5,TPESampler,COMPLETE
38,1.3677569268703198,2025-04-24 20:59:14.412900,2025-04-24 20:59:17.072768,0 days 00:00:02.659868,90338.0368780166,Matern,0.46762075178442963,2.583550599716571e-05,1.5,TPESampler,COMPLETE
39,0.17261940030877332,2025-04-24 20:59:14.470764,2025-04-24 20:59:18.146306,0 days 00:00:03.675542,31904.378355312158,Matern,6.314643519278833,9.627802083041007e-05,1.5,TPESampler,COMPLETE
40,0.2741901081212411,2025-04-24 20:59:17.284431,2025-04-24 20:59:20.163619,0 days 00:00:02.879188,30322.07046690495,Matern,46.3480724131791,3.3403540437415914e-06,0.5,TPESampler,COMPLETE
41,0.1726187546627979,2025-04-24 20:59:18.376213,2025-04-24 20:59:22.238248,0 days 00:00:03.862035,77719.51176227782,Matern,344.3337319105358,5.423556521026581e-06,1.5,TPESampler,COMPLETE
42,0.1726185585923751,2025-04-24 20:59:20.359082,2025-04-24 20:59:27.698989,0 days 00:00:07.339907,27316.998647498527,Matern,1.2832961860015193,0.018317880813805358,1.5,TPESampler,COMPLETE
43,1.3307518540988212,2025-04-24 20:59:20.894941,2025-04-24 20:59:27.290905,0 days 00:00:06.395964,198.87917021370967,Matern,0.015525383171548834,5.742358665715461e-08,1.5,TPESampler,COMPLETE
44,0.17261590133439153,2025-04-24 20:59:22.871168,2025-04-24 20:59:32.882778,0 days 00:00:10.011610,17339.747576136186,Matern,2245.390556527377,0.0002459512580592035,1.5,TPESampler,COMPLETE
45,1.3307518540993164,2025-04-24 20:59:27.498546,2025-04-24 20:59:31.545131,0 days 00:00:04.046585,4.093213911908152,Matern,316.508794443203,5.743899267171238e-09,1.5,TPESampler,COMPLETE
46,0.17261856119299893,2025-04-24 20:59:27.906152,2025-04-24 20:59:31.222200,0 days 00:00:03.316048,1469.8827603436155,Matern,6.939526018145356,0.18337746760815316,1.5,TPESampler,COMPLETE
47,0.1726187307047686,2025-04-24 20:59:31.461946,2025-04-24 20:59:35.703133,0 days 00:00:04.241187,19825.076200899934,Matern,2.621850629568064,0.41311245061172336,1.5,TPESampler,COMPLETE
48,0.2221146663470943,2025-04-24 20:59:31.789640,2025-04-24 20:59:34.591021,0 days 00:00:02.801381,15215.672273465136,Matern,5.500927400131293,0.00020888473824809878,2.5,TPESampler,COMPLETE
49,1.330751854098795,2025-04-24 20:59:33.098579,2025-04-24 20:59:37.137591,0 days 00:00:04.039012,39171.65670731219,Matern,46509.14637604244,0.0007074524643269954,1.5,TPESampler,COMPLETE
50,1.330751854099413,2025-04-24 20:59:34.801053,2025-04-24 20:59:37.764440,0 days 00:00:02.963387,98.54992770302573,Matern,0.056686051044870206,0.2702900236511915,2.5,TPESampler,COMPLETE
51,0.17261871981691823,2025-04-24 20:59:35.911413,2025-04-24 20:59:39.932469,0 days 00:00:04.021056,289.98515583355515,Matern,346.8033749188151,0.8077219921950204,1.5,TPESampler,COMPLETE
52,1.330751854099027,2025-04-24 20:59:37.386124,2025-04-24 20:59:40.352231,0 days 00:00:02.966107,15058.520764737905,Matern,0.001148321808626455,0.10584554685104287,1.5,TPESampler,COMPLETE
53,0.17261850873413007,2025-04-24 20:59:37.963205,2025-04-24 20:59:41.595265,0 days 00:00:03.632060,182.35719246067333,Matern,3.099510414900494,0.40703209324839495,1.5,TPESampler,COMPLETE
54,1.367756951266476,2025-04-24 20:59:40.134650,2025-04-24 20:59:44.448396,0 days 00:00:04.313746,0.02421823293988891,Matern,15835.225051050924,0.2697466134449928,1.5,TPESampler,COMPLETE
55,0.17261597061315276,2025-04-24 20:59:40.585375,2025-04-24 20:59:44.508855,0 days 00:00:03.923480,497.75251954946987,Matern,1127.8714745506477,0.25340035184854415,1.5,TPESampler,COMPLETE
56,0.1726185471604172,2025-04-24 20:59:41.811419,2025-04-24 20:59:49.365055,0 days 00:00:07.553636,12.07191566654742,Matern,5.075734693993231,0.011827183850528018,1.5,TPESampler,COMPLETE
57,0.17261844987061706,2025-04-24 20:59:44.605673,2025-04-24 20:59:47.907965,0 days 00:00:03.302292,28758.044838049707,Matern,77.79351408068834,2.512988990199849e-10,1.5,TPESampler,COMPLETE
58,0.22211524650051603,2025-04-24 20:59:44.653617,2025-04-24 20:59:48.063893,0 days 00:00:03.410276,141.9439104273333,Matern,972.9313064507614,0.02249587324265465,2.5,TPESampler,COMPLETE
59,0.17261862653004523,2025-04-24 20:59:48.066783,2025-04-24 20:59:52.000442,0 days 00:00:03.933659,2858.5031562993468,Matern,171.62327745500195,1.266924006054543e-10,1.5,TPESampler,COMPLETE
60,1.330751854099445,2025-04-24 20:59:48.251065,2025-04-24 20:59:53.388562,0 days 00:00:05.137497,2.588344392095847e-06,Matern,37.01441405615401,4.515428763609811e-06,0.5,TPESampler,COMPLETE
61,1.330751854099016,2025-04-24 20:59:49.580290,2025-04-24 20:59:54.488152,0 days 00:00:04.907862,12834.073852363374,RBF,597.692337694727,1.996050857064065e-09,1.5,TPESampler,COMPLETE
62,0.1726185010738902,2025-04-24 20:59:52.211995,2025-04-24 20:59:55.777613,0 days 00:00:03.565618,0.1639884895912225,Matern,23.413376738714287,0.056747244312157025,1.5,TPESampler,COMPLETE
63,1.3307518540981624,2025-04-24 20:59:53.588440,2025-04-24 20:59:58.631675,0 days 00:00:05.043235,17.142841285336196,Matern,332.19053234314663,1.4908407922034323e-10,2.5,TPESampler,COMPLETE
64,0.2741901061723453,2025-04-24 20:59:54.709347,2025-04-24 20:59:58.274205,0 days 00:00:03.564858,0.7572285928183923,Matern,5.827318643680998,2.639977343608119e-07,0.5,TPESampler,COMPLETE
65,0.17262026492652746,2025-04-24 20:59:55.983643,2025-04-24 20:59:59.879424,0 days 00:00:03.895781,0.041808849700737914,Matern,0.65431016615098,0.07478648136146146,1.5,TPESampler,COMPLETE
66,0.17261876976898402,2025-04-24 20:59:58.490444,2025-04-24 21:00:03.247236,0 days 00:00:04.756792,0.5095392953631239,Matern,183.1980115035632,0.0265613582227206,1.5,TPESampler,COMPLETE
67,0.17261858682559103,2025-04-24 20:59:58.873160,2025-04-24 21:00:05.258638,0 days 00:00:06.385478,0.0023970245410811592,Matern,0.48233819433462044,1.3345760649744725e-06,1.5,TPESampler,COMPLETE
68,1.33075185409966,2025-04-24 21:00:00.130423,2025-04-24 21:00:07.014683,0 days 00:00:06.884260,0.00030093122938768945,Matern,170.81327129792527,0.007162495013278842,2.5,TPESampler,COMPLETE
69,1.3677569516711323,2025-04-24 21:00:03.448206,2025-04-24 21:00:06.180529,0 days 00:00:02.732323,56626.00944860735,Matern,1.7098843681534444,7.576432228020985e-09,1.5,TPESampler,COMPLETE
70,1.3677569516782477,2025-04-24 21:00:05.482777,2025-04-24 21:00:08.034749,0 days 00:00:02.551972,45216.4386543074,RBF,2.1305360978123544,9.610469800356934e-10,0.5,TPESampler,COMPLETE
71,1.330751854100939,2025-04-24 21:00:06.405726,2025-04-24 21:00:14.419036,0 days 00:00:08.013310,24640.036785751232,RBF,5.4730374932666734e-05,1.682978073354909e-05,2.5,TPESampler,COMPLETE
72,1.3307518540993202,2025-04-24 21:00:07.231414,2025-04-24 21:00:11.898561,0 days 00:00:04.667147,5.950959732584213e-07,RBF,0.003806089883321245,4.7063449373261324e-08,0.5,TPESampler,COMPLETE
73,0.17261855620389485,2025-04-24 21:00:08.242340,2025-04-24 21:00:11.618320,0 days 00:00:03.375980,342.4544075293139,Matern,86.39975685046083,0.0004386684115507187,1.5,TPESampler,COMPLETE
74,0.27419010616370354,2025-04-24 21:00:11.806954,2025-04-24 21:00:15.792155,0 days 00:00:03.985201,23076.33957192872,Matern,1216.0851986981852,0.015275092997308275,0.5,TPESampler,COMPLETE
75,1.330751854098682,2025-04-24 21:00:12.088409,2025-04-24 21:00:15.914980,0 days 00:00:03.826571,0.00012503972858779605,Matern,4.448114742776656e-05,6.045454878260937e-10,1.5,TPESampler,COMPLETE
76,0.27419010582416936,2025-04-24 21:00:14.622061,2025-04-24 21:00:18.070184,0 days 00:00:03.448123,316.45578767943425,Matern,2.978020274494996,5.454023818154014e-10,0.5,TPESampler,COMPLETE
77,1.3307518540974947,2025-04-24 21:00:15.963100,2025-04-24 21:00:23.042773,0 days 00:00:07.079673,6.746016264857736e-07,Matern,3.728983771686108e-05,0.00042970450746894137,2.5,TPESampler,COMPLETE
78,1.3307518540982686,2025-04-24 21:00:16.141838,2025-04-24 21:00:22.235452,0 days 00:00:06.093614,0.0001408637652290908,Matern,11.765732104968214,0.043626336715469914,0.5,TPESampler,COMPLETE
79,1.3307518541044225,2025-04-24 21:00:18.272041,2025-04-24 21:00:23.892907,0 days 00:00:05.620866,0.00011451240519032037,Matern,55.51890318094898,0.00043622202098363464,1.5,TPESampler,COMPLETE
80,0.22211472883584824,2025-04-24 21:00:22.453217,2025-04-24 21:00:28.052524,0 days 00:00:05.599307,0.7894597206686631,Matern,0.17355553045906943,8.214898917279246e-05,2.5,TPESampler,COMPLETE
81,1.330751854078344,2025-04-24 21:00:23.258528,2025-04-24 21:00:32.349309,0 days 00:00:09.090781,1.3775681083790448e-05,Matern,6177.343336116083,1.4436287084338352e-09,2.5,TPESampler,COMPLETE
82,0.17261840679232152,2025-04-24 21:00:24.122534,2025-04-24 21:00:28.940356,0 days 00:00:04.817822,0.9456446511649386,Matern,38.41904306942967,0.6983698694873206,1.5,TPESampler,COMPLETE
83,0.17261855082506147,2025-04-24 21:00:28.305324,2025-04-24 21:00:31.648524,0 days 00:00:03.343200,5.550040598263714,Matern,20.903878017223395,0.00020797576726419364,1.5,TPESampler,COMPLETE
84,0.17261856271437034,2025-04-24 21:00:29.185779,2025-04-24 21:00:32.634319,0 days 00:00:03.448540,0.3271357148685159,Matern,29.936617867948037,0.5183384616932575,1.5,TPESampler,COMPLETE
85,0.17261879736006447,2025-04-24 21:00:31.901596,2025-04-24 21:00:36.282835,0 days 00:00:04.381239,8.766086886807562,Matern,4.287586179599981,0.009995109200115409,1.5,TPESampler,COMPLETE
86,0.17261855495445563,2025-04-24 21:00:32.649875,2025-04-24 21:00:39.395992,0 days 00:00:06.746117,2.0742169023882377,Matern,32.61906690517684,1.4580292845902383e-05,1.5,TPESampler,COMPLETE
87,0.17261850031738715,2025-04-24 21:00:32.931897,2025-04-24 21:00:36.885097,0 days 00:00:03.953200,74.20449375802906,Matern,1335.6115596122022,0.012103825339463076,1.5,TPESampler,COMPLETE
88,0.1726180240848542,2025-04-24 21:00:36.532581,2025-04-24 21:00:41.224385,0 days 00:00:04.691804,2006.08455545781,Matern,15043.692282688073,0.9717544597326105,1.5,TPESampler,COMPLETE
