number,value,datetime_start,datetime_complete,duration,params_final_dropout,params_mlp_dim_00,params_mlp_dim_01,params_mlp_dim_02,params_mlp_dim_03,params_mlp_n_layers,params_train_learning_rate,params_train_lr_reduce,user_attrs_best_state_dict_path,user_attrs_training_params,system_attrs_auto:sampler,state
21,0.08662307262420654,2025-04-25 16:56:55.963167,2025-04-25 16:57:06.262745,0 days 00:00:10.299578,0.11237890085473684,288,496,288.0,,3,0.001397895053920872,0.6,checkpoints/mlp_Pc_trial_21_best_state.pt,"{'learning_rate': 0.001397895053920872, 'lr_reduce': 0.6}",TPESampler,COMPLETE
22,0.09075617045164108,2025-04-25 16:56:59.956866,2025-04-25 16:57:08.227643,0 days 00:00:08.270777,0.28309619699621574,224,512,272.0,,3,0.0034342904059086903,0.6,checkpoints/mlp_Pc_trial_22_best_state.pt,"{'learning_rate': 0.0034342904059086903, 'lr_reduce': 0.6}",TPESampler,COMPLETE
23,0.08235453069210052,2025-04-25 16:57:03.734273,2025-04-25 16:57:16.698264,0 days 00:00:12.963991,0.020600795105201172,64,240,336.0,,3,0.0012879102391729334,0.6,checkpoints/mlp_Pc_trial_23_best_state.pt,"{'learning_rate': 0.0012879102391729334, 'lr_reduce': 0.6}",TPESampler,COMPLETE
24,0.0831691324710846,2025-04-25 16:57:06.490652,2025-04-25 16:57:16.699753,0 days 00:00:10.209101,0.05501689472204514,48,320,,,2,0.007455356401867975,0.6,checkpoints/mlp_Pc_trial_24_best_state.pt,"{'learning_rate': 0.007455356401867975, 'lr_reduce': 0.6}",TPESampler,COMPLETE
25,0.10672977566719055,2025-04-25 16:57:08.444022,2025-04-25 16:57:20.692509,0 days 00:00:12.248487,0.21401698196321342,464,352,32.0,512.0,4,0.00813606691232696,0.6,checkpoints/mlp_Pc_trial_25_best_state.pt,"{'learning_rate': 0.00813606691232696, 'lr_reduce': 0.6}",TPESampler,COMPLETE
26,0.07099752128124237,2025-04-25 16:57:16.871903,2025-04-25 16:57:30.690472,0 days 00:00:13.818569,0.001985083288077852,80,272,352.0,,3,0.0011203201063234851,0.6,checkpoints/mlp_Pc_trial_26_best_state.pt,"{'learning_rate': 0.0011203201063234851, 'lr_reduce': 0.6}",TPESampler,COMPLETE
27,0.06867052614688873,2025-04-25 16:57:16.933384,2025-04-25 16:57:32.132886,0 days 00:00:15.199502,0.008665191403084787,32,192,336.0,,3,0.0008561127010602484,0.6,checkpoints/mlp_Pc_trial_27_best_state.pt,"{'learning_rate': 0.0008561127010602484, 'lr_reduce': 0.6}",TPESampler,COMPLETE
28,0.08045535534620285,2025-04-25 16:57:20.944427,2025-04-25 16:57:36.373621,0 days 00:00:15.429194,0.27612970343280074,464,480,224.0,,3,0.005948216305610205,0.6,checkpoints/mlp_Pc_trial_28_best_state.pt,"{'learning_rate': 0.005948216305610205, 'lr_reduce': 0.6}",TPESampler,COMPLETE
29,0.08299125730991364,2025-04-25 16:57:30.894941,2025-04-25 16:57:41.514122,0 days 00:00:10.619181,0.06668678160059216,144,288,336.0,48.0,4,0.0007152547629765919,0.6,checkpoints/mlp_Pc_trial_29_best_state.pt,"{'learning_rate': 0.0007152547629765919, 'lr_reduce': 0.6}",TPESampler,COMPLETE
30,0.0825318992137909,2025-04-25 16:57:32.356452,2025-04-25 16:57:42.691373,0 days 00:00:10.334921,0.029920165766650002,128,96,368.0,,3,0.0008666306198781074,0.6,checkpoints/mlp_Pc_trial_30_best_state.pt,"{'learning_rate': 0.0008666306198781074, 'lr_reduce': 0.6}",TPESampler,COMPLETE
31,0.08903174102306366,2025-04-25 16:57:36.642456,2025-04-25 16:58:06.541195,0 days 00:00:29.898739,0.0008109599650268206,160,256,256.0,,3,0.00020933498858792258,0.6,checkpoints/mlp_Pc_trial_31_best_state.pt,"{'learning_rate': 0.00020933498858792258, 'lr_reduce': 0.6}",TPESampler,COMPLETE
32,0.12512466311454773,2025-04-25 16:57:41.747537,2025-04-25 16:58:30.186660,0 days 00:00:48.439123,0.10899911185332395,32,128,,,2,0.0002652987021317188,0.6,checkpoints/mlp_Pc_trial_32_best_state.pt,"{'learning_rate': 0.0002652987021317188, 'lr_reduce': 0.6}",TPESampler,COMPLETE
33,0.07357972860336304,2025-04-25 16:57:42.912786,2025-04-25 16:57:55.799667,0 days 00:00:12.886881,0.02044762900140496,96,128,384.0,288.0,4,0.0038770176806360015,0.6,checkpoints/mlp_Pc_trial_33_best_state.pt,"{'learning_rate': 0.0038770176806360015, 'lr_reduce': 0.6}",TPESampler,COMPLETE
34,0.09082049876451492,2025-04-25 16:57:56.113856,2025-04-25 16:58:06.830553,0 days 00:00:10.716697,0.033775028969959084,128,144,400.0,304.0,4,0.002609251200872342,0.6,checkpoints/mlp_Pc_trial_34_best_state.pt,"{'learning_rate': 0.002609251200872342, 'lr_reduce': 0.6}",TPESampler,COMPLETE
35,0.08165322244167328,2025-04-25 16:58:06.743721,2025-04-25 16:58:12.694918,0 days 00:00:05.951197,0.0331808265456348,208,32,400.0,320.0,4,0.009541941095985669,0.6,checkpoints/mlp_Pc_trial_35_best_state.pt,"{'learning_rate': 0.009541941095985669, 'lr_reduce': 0.6}",TPESampler,COMPLETE
36,0.09176208078861237,2025-04-25 16:58:07.143087,2025-04-25 16:58:21.384060,0 days 00:00:14.240973,0.007849650682134217,144,224,,,2,0.0006557324974878078,0.6,checkpoints/mlp_Pc_trial_36_best_state.pt,"{'learning_rate': 0.0006557324974878078, 'lr_reduce': 0.6}",TPESampler,COMPLETE
37,0.07344648241996765,2025-04-25 16:58:12.974982,2025-04-25 16:58:24.173990,0 days 00:00:11.199008,0.007012425050925032,368,256,368.0,,3,0.0013123292032062813,0.6,checkpoints/mlp_Pc_trial_37_best_state.pt,"{'learning_rate': 0.0013123292032062813, 'lr_reduce': 0.6}",TPESampler,COMPLETE
38,0.08241664618253708,2025-04-25 16:58:21.649186,2025-04-25 16:58:30.984296,0 days 00:00:09.335110,0.0296556810090882,32,336,384.0,240.0,4,0.004782276594374899,0.6,checkpoints/mlp_Pc_trial_38_best_state.pt,"{'learning_rate': 0.004782276594374899, 'lr_reduce': 0.6}",TPESampler,COMPLETE
39,0.07566756010055542,2025-04-25 16:58:24.543790,2025-04-25 16:58:34.965826,0 days 00:00:10.422036,0.018343938690419444,384,240,368.0,,3,0.0015576624895340765,0.6,checkpoints/mlp_Pc_trial_39_best_state.pt,"{'learning_rate': 0.0015576624895340765, 'lr_reduce': 0.6}",TPESampler,COMPLETE
40,0.07404301315546036,2025-04-25 16:58:30.429687,2025-04-25 16:58:44.705223,0 days 00:00:14.275536,0.023150065528689836,496,384,352.0,,3,0.0013285267485816832,0.6,checkpoints/mlp_Pc_trial_40_best_state.pt,"{'learning_rate': 0.0013285267485816832, 'lr_reduce': 0.6}",TPESampler,COMPLETE
41,0.08757121115922928,2025-04-25 16:58:31.211692,2025-04-25 16:58:42.881452,0 days 00:00:11.669760,0.006997329837871425,32,80,,,2,0.0020974956908808703,0.6,checkpoints/mlp_Pc_trial_41_best_state.pt,"{'learning_rate': 0.0020974956908808703, 'lr_reduce': 0.6}",TPESampler,COMPLETE
42,0.11011196672916412,2025-04-25 16:58:35.206068,2025-04-25 16:58:53.132848,0 days 00:00:17.926780,0.1385532955822174,416,192,368.0,,3,0.0003401263108098039,0.6,checkpoints/mlp_Pc_trial_42_best_state.pt,"{'learning_rate': 0.0003401263108098039, 'lr_reduce': 0.6}",TPESampler,COMPLETE
