number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,params_subsample,system_attrs_auto:sampler,state
31,0.4270453874598602,2025-04-24 21:35:42.069776,2025-04-24 21:35:43.098105,0 days 00:00:01.028329,0.018933971226784287,6,,1,4,108,0.6160543382933575,TPESampler,COMPLETE
32,0.35414960659267497,2025-04-24 21:35:42.404763,2025-04-24 21:35:43.876621,0 days 00:00:01.471858,0.03786177705817233,8,,2,2,307,0.7845262213425053,TPESampler,COMPLETE
33,0.3085491905466674,2025-04-24 21:35:43.195175,2025-04-24 21:35:45.173495,0 days 00:00:01.978320,0.029018531112347166,9,,1,6,530,0.6995112519801217,TPESampler,COMPLETE
34,0.3102382063504603,2025-04-24 21:35:43.249622,2025-04-24 21:35:45.231351,0 days 00:00:01.981729,0.016265589939994548,12,,1,6,461,0.6554119412723634,TPESampler,COMPLETE
35,0.341961079454192,2025-04-24 21:35:44.048950,2025-04-24 21:35:45.269453,0 days 00:00:01.220503,0.053994900830055315,6,sqrt,1,7,534,0.6671318673786542,TPESampler,COMPLETE
36,0.3205799136114089,2025-04-24 21:35:45.337188,2025-04-24 21:35:48.303734,0 days 00:00:02.966546,0.011039721572942387,12,,3,10,879,0.6524182804192393,TPESampler,COMPLETE
37,0.40412992442004164,2025-04-24 21:35:45.361606,2025-04-24 21:35:46.968222,0 days 00:00:01.606616,0.010057827796017629,12,,2,4,211,0.6828901369751786,TPESampler,COMPLETE
38,0.3138586114404659,2025-04-24 21:35:45.428795,2025-04-24 21:35:47.984150,0 days 00:00:02.555355,0.011591440766049892,9,,1,10,772,0.6345467731870337,TPESampler,COMPLETE
39,0.38288466782411446,2025-04-24 21:35:47.153846,2025-04-24 21:35:48.055587,0 days 00:00:00.901741,0.02092952062773717,11,,3,9,157,0.780762433762755,TPESampler,COMPLETE
40,0.34968528139183913,2025-04-24 21:35:48.120800,2025-04-24 21:35:51.305776,0 days 00:00:03.184976,0.02223352015644782,12,,2,5,851,0.7489048239301045,TPESampler,COMPLETE
41,0.3488415505474028,2025-04-24 21:35:48.214849,2025-04-24 21:35:49.477594,0 days 00:00:01.262745,0.01743378208591447,12,sqrt,1,5,376,0.7260435682879828,TPESampler,COMPLETE
42,0.2981626795872784,2025-04-24 21:35:48.573439,2025-04-24 21:35:51.169958,0 days 00:00:02.596519,0.028636155975545342,8,,1,9,759,0.7188127211339416,TPESampler,COMPLETE
43,0.37254024614815884,2025-04-24 21:35:49.648604,2025-04-24 21:35:51.942134,0 days 00:00:02.293530,0.01150919618318727,10,sqrt,2,13,1394,0.6490005952986998,TPESampler,COMPLETE
44,0.28713696445361314,2025-04-24 21:35:51.359525,2025-04-24 21:35:53.536053,0 days 00:00:02.176528,0.050701420404994056,8,,1,11,746,0.7291367315737263,TPESampler,COMPLETE
45,0.2779887685179879,2025-04-24 21:35:51.547402,2025-04-24 21:35:54.091221,0 days 00:00:02.543819,0.0361051235659189,9,,1,7,836,0.6899243602482494,TPESampler,COMPLETE
46,0.321984639636059,2025-04-24 21:35:52.116224,2025-04-24 21:35:53.911341,0 days 00:00:01.795117,0.020541827648168507,12,,3,6,571,0.6246934912344099,TPESampler,COMPLETE
47,0.37920638186628514,2025-04-24 21:35:53.712667,2025-04-24 21:35:55.581865,0 days 00:00:01.869198,0.037870072697335264,8,log2,2,13,1079,0.7360839070599836,TPESampler,COMPLETE
48,0.2849915225043713,2025-04-24 21:35:54.146337,2025-04-24 21:35:57.465044,0 days 00:00:03.318707,0.022773045082894586,7,,1,9,1143,0.6302560653884064,TPESampler,COMPLETE
49,0.295821054961973,2025-04-24 21:35:54.298300,2025-04-24 21:35:56.841252,0 days 00:00:02.542952,0.05057191986302407,7,,1,10,638,0.7550228280798481,TPESampler,COMPLETE
50,0.2845705789407477,2025-04-24 21:35:55.969188,2025-04-24 21:35:58.866280,0 days 00:00:02.897092,0.04297806141308887,9,,1,17,873,0.7663974020964663,TPESampler,COMPLETE
51,0.38212262031473077,2025-04-24 21:35:57.034141,2025-04-24 21:35:58.148674,0 days 00:00:01.114533,0.06263076278478433,7,log2,1,12,464,0.7768203344798106,TPESampler,COMPLETE
52,0.3191209435931541,2025-04-24 21:35:57.692128,2025-04-24 21:36:00.842365,0 days 00:00:03.150237,0.02748393326607257,7,,3,9,1293,0.6160467899326715,TPESampler,COMPLETE
53,0.29507202106676594,2025-04-24 21:35:58.347826,2025-04-24 21:36:00.829441,0 days 00:00:02.481615,0.05808737866684017,7,,1,7,828,0.745589050354938,TPESampler,COMPLETE
54,0.2947913303657056,2025-04-24 21:35:59.071660,2025-04-24 21:36:01.081406,0 days 00:00:02.009746,0.036520035478043875,9,,1,14,635,0.7739506857830254,TPESampler,COMPLETE
