number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,params_subsample,system_attrs_auto:sampler,state
32,0.3454911821224302,2025-04-24 21:35:40.860409,2025-04-24 21:35:42.157898,0 days 00:00:01.297489,0.02311763891078913,12,sqrt,3,18,567,0.7534294059742367,TPESampler,COMPLETE
33,0.3345988117002815,2025-04-24 21:35:42.345791,2025-04-24 21:35:47.398780,0 days 00:00:05.052989,0.011089450495869948,9,,2,12,1095,0.8308473666336716,TPESampler,COMPLETE
34,0.4859310367161723,2025-04-24 21:35:42.640211,2025-04-24 21:35:43.917399,0 days 00:00:01.277188,0.012976744741909673,12,log2,2,9,618,0.7605711025429784,TPESampler,COMPLETE
35,0.3227590278385554,2025-04-24 21:35:42.681950,2025-04-24 21:35:47.396849,0 days 00:00:04.714899,0.01195205763120924,12,,2,13,800,0.8821929277080467,TPESampler,COMPLETE
36,0.3356220017018703,2025-04-24 21:35:44.084039,2025-04-24 21:35:47.637649,0 days 00:00:03.553610,0.020567236198319964,12,,1,20,654,0.7901084433800339,TPESampler,COMPLETE
37,0.3834215455223069,2025-04-24 21:35:47.536575,2025-04-24 21:35:49.894252,0 days 00:00:02.357677,0.028265291377683632,12,,5,16,304,0.9190018920899989,TPESampler,COMPLETE
38,0.38735989345387584,2025-04-24 21:35:47.590028,2025-04-24 21:35:50.862836,0 days 00:00:03.272808,0.01040304593914998,12,,5,7,500,0.8772365382589301,TPESampler,COMPLETE
39,0.41026374727649767,2025-04-24 21:35:47.841934,2025-04-24 21:35:49.311824,0 days 00:00:01.469890,0.022864686687390844,11,log2,1,14,732,0.8886662263732109,TPESampler,COMPLETE
40,0.32541035712023525,2025-04-24 21:35:49.477900,2025-04-24 21:35:54.923406,0 days 00:00:05.445506,0.051712487285616664,12,,3,17,971,0.8461778186045096,TPESampler,COMPLETE
41,0.3931357410024904,2025-04-24 21:35:50.064195,2025-04-24 21:35:51.425187,0 days 00:00:01.360992,0.01007601575476514,11,sqrt,3,13,668,0.8870921630011189,TPESampler,COMPLETE
42,0.42233052109442326,2025-04-24 21:35:51.065459,2025-04-24 21:35:52.945683,0 days 00:00:01.880224,0.02215417159708411,7,sqrt,7,7,1338,0.6155148863331471,TPESampler,COMPLETE
43,0.3380749789647226,2025-04-24 21:35:51.599510,2025-04-24 21:35:57.208753,0 days 00:00:05.609243,0.013671863528285763,12,,3,15,959,0.9246236177806949,TPESampler,COMPLETE
44,0.3283712589397532,2025-04-24 21:35:53.138860,2025-04-24 21:35:57.954094,0 days 00:00:04.815234,0.010197201521430459,12,,2,15,886,0.8255196133838532,TPESampler,COMPLETE
45,0.344723302641677,2025-04-24 21:35:55.101062,2025-04-24 21:35:57.080915,0 days 00:00:01.979853,0.05055323340011109,11,sqrt,4,19,1347,0.9135988815353863,TPESampler,COMPLETE
